,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
0,50000,1,1,1,1,8760,1,1,40035.57
1,,,,,,,,2,40215.57
2,,,,,,,,3,40257.57
3,,,,,,,,4,40382.57
4,,,,,,,,5,40860.57
5,,,,,,,,6,41803.57
6,,,,,,,,7,42902.57
7,,,,,,,,8,43435.57
8,,,,,,,,9,43956.57
9,,,,,,,,10,44780.57
10,,,,,,,,11,45272.57
11,,,,,,,,12,45320.57
12,,,,,,,,13,44897.57
13,,,,,,,,14,44387.57
14,,,,,,,,15,43997.57
15,,,,,,,,16,44022.57
16,,,,,,,,17,44860.57
17,,,,,,,,18,47105.57
18,,,,,,,,19,48465.57
19,,,,,,,,20,48309.57
20,,,,,,,,21,47902.57
21,,,,,,,,22,46946.57
22,,,,,,,,23,45228.57
23,,,,,,,,24,43494.57
24,,,,,,,,25,42229.57
25,,,,,,,,26,41551.57
26,,,,,,,,27,41406.57
27,,,,,,,,28,41808.57
28,,,,,,,,29,43066.57
29,,,,,,,,30,45511.57
30,,,,,,,,31,48363.57
31,,,,,,,,32,50512.57
32,,,,,,,,33,51654.57
33,,,,,,,,34,52801.57
34,,,,,,,,35,53817.57
35,,,,,,,,36,54399.57
36,,,,,,,,37,54559.57
37,,,,,,,,38,54600.57
38,,,,,,,,39,54406.57
39,,,,,,,,40,54290.57
40,,,,,,,,41,54525.57
41,,,,,,,,42,55879.57
42,,,,,,,,43,56447.57
43,,,,,,,,44,55466.57
44,,,,,,,,45,54183.57
45,,,,,,,,46,52309.57
46,,,,,,,,47,49709.57
47,,,,,,,,48,47337.57
48,,,,,,,,49,45496.57
49,,,,,,,,50,44457.57
50,,,,,,,,51,44068.57
51,,,,,,,,52,44026.57
52,,,,,,,,53,45019.57
53,,,,,,,,54,47071.57
54,,,,,,,,55,49652.57
55,,,,,,,,56,51358.57
56,,,,,,,,57,51793.57
57,,,,,,,,58,52007.57
58,,,,,,,,59,52139.57
59,,,,,,,,60,51647.57
60,,,,,,,,61,50585.57
61,,,,,,,,62,49389.57
62,,,,,,,,63,48278.57
63,,,,,,,,64,47583.57
64,,,,,,,,65,47829.57
65,,,,,,,,66,49592.57
66,,,,,,,,67,51703.57
67,,,,,,,,68,51924.57
68,,,,,,,,69,51755.57
69,,,,,,,,70,50861.57
70,,,,,,,,71,49093.57
71,,,,,,,,72,47240.57
72,,,,,,,,73,46096.57
73,,,,,,,,74,45542.57
74,,,,,,,,75,45392.57
75,,,,,,,,76,45761.57
76,,,,,,,,77,46746.57
77,,,,,,,,78,49092.57
78,,,,,,,,79,51934.57
79,,,,,,,,80,53289.57
80,,,,,,,,81,52409.57
81,,,,,,,,82,50198.57
82,,,,,,,,83,48106.57
83,,,,,,,,84,45892.57
84,,,,,,,,85,43743.57
85,,,,,,,,86,42175.57
86,,,,,,,,87,40918.57
87,,,,,,,,88,40010.57
88,,,,,,,,89,39699.57
89,,,,,,,,90,40920.57
90,,,,,,,,91,43145.57
91,,,,,,,,92,43524.57
92,,,,,,,,93,43721.57
93,,,,,,,,94,43573.57
94,,,,,,,,95,42767.57
95,,,,,,,,96,41611.57
96,,,,,,,,97,40766.57
97,,,,,,,,98,40460.57
98,,,,,,,,99,40528.57
99,,,,,,,,100,41022.57
100,,,,,,,,101,41904.57
101,,,,,,,,102,43397.57
102,,,,,,,,103,45338.57
103,,,,,,,,104,46943.57
104,,,,,,,,105,46905.57
105,,,,,,,,106,45029.57
106,,,,,,,,107,42815.57
107,,,,,,,,108,40742.57
108,,,,,,,,109,39134.57
109,,,,,,,,110,38018.57
110,,,,,,,,111,37287.57
111,,,,,,,,112,36881.57
112,,,,,,,,113,36805.57
113,,,,,,,,114,37742.57
114,,,,,,,,115,39604.57
115,,,,,,,,116,39634.57
116,,,,,,,,117,39237.57
117,,,,,,,,118,39002.57
118,,,,,,,,119,38264.57
119,,,,,,,,120,37436.57
120,,,,,,,,121,36404.57
121,,,,,,,,122,35811.57
122,,,,,,,,123,35592.57
123,,,,,,,,124,35744.57
124,,,,,,,,125,36274.57
125,,,,,,,,126,37211.57
126,,,,,,,,127,38602.57
127,,,,,,,,128,39687.57
128,,,,,,,,129,40319.57
129,,,,,,,,130,39941.57
130,,,,,,,,131,39030.57
131,,,,,,,,132,38400.57
132,,,,,,,,133,37906.57
133,,,,,,,,134,37583.57
134,,,,,,,,135,37207.57
135,,,,,,,,136,37101.57
136,,,,,,,,137,37315.57
137,,,,,,,,138,38410.57
138,,,,,,,,139,40245.57
139,,,,,,,,140,40219.57
140,,,,,,,,141,39526.57
141,,,,,,,,142,38334.57
142,,,,,,,,143,36437.57
143,,,,,,,,144,34324.57
144,,,,,,,,145,32811.57
145,,,,,,,,146,31734.57
146,,,,,,,,147,31350.57
147,,,,,,,,148,31288.57
148,,,,,,,,149,32084.57
149,,,,,,,,150,34047.57
150,,,,,,,,151,37081.57
151,,,,,,,,152,38543.57
152,,,,,,,,153,38779.57
153,,,,,,,,154,39155.57
154,,,,,,,,155,39671.57
155,,,,,,,,156,39911.57
156,,,,,,,,157,40084.57
157,,,,,,,,158,40359.57
158,,,,,,,,159,40374.57
159,,,,,,,,160,40212.57
160,,,,,,,,161,39994.57
161,,,,,,,,162,40637.57
162,,,,,,,,163,42318.57
163,,,,,,,,164,42016.57
164,,,,,,,,165,41070.57
165,,,,,,,,166,39640.57
166,,,,,,,,167,37414.57
167,,,,,,,,168,35077.57
168,,,,,,,,169,33384.57
169,,,,,,,,170,32507.57
170,,,,,,,,171,32173.57
171,,,,,,,,172,32286.57
172,,,,,,,,173,33120.57
173,,,,,,,,174,35558.57
174,,,,,,,,175,39322.57
175,,,,,,,,176,40881.57
176,,,,,,,,177,40486.57
177,,,,,,,,178,40385.57
178,,,,,,,,179,40507.57
179,,,,,,,,180,40540.57
180,,,,,,,,181,40509.57
181,,,,,,,,182,40504.57
182,,,,,,,,183,40344.57
183,,,,,,,,184,40010.57
184,,,,,,,,185,39907.57
185,,,,,,,,186,40857.57
186,,,,,,,,187,42700.57
187,,,,,,,,188,42612.57
188,,,,,,,,189,41936.57
189,,,,,,,,190,40488.57
190,,,,,,,,191,38225.57
191,,,,,,,,192,35994.57
192,,,,,,,,193,34586.57
193,,,,,,,,194,33896.57
194,,,,,,,,195,33793.57
195,,,,,,,,196,34029.57
196,,,,,,,,197,34991.57
197,,,,,,,,198,37585.57
198,,,,,,,,199,41853.57
199,,,,,,,,200,43521.57
200,,,,,,,,201,43179.57
201,,,,,,,,202,42885.57
202,,,,,,,,203,42400.57
203,,,,,,,,204,41608.57
204,,,,,,,,205,40705.57
205,,,,,,,,206,40135.57
206,,,,,,,,207,39621.57
207,,,,,,,,208,39294.57
208,,,,,,,,209,39558.57
209,,,,,,,,210,41055.57
210,,,,,,,,211,43519.57
211,,,,,,,,212,43957.57
212,,,,,,,,213,43791.57
213,,,,,,,,214,42832.57
214,,,,,,,,215,40720.57
215,,,,,,,,216,38690.57
216,,,,,,,,217,37487.57
217,,,,,,,,218,36936.57
218,,,,,,,,219,36753.57
219,,,,,,,,220,37069.57
220,,,,,,,,221,38139.57
221,,,,,,,,222,40829.57
222,,,,,,,,223,44974.57
223,,,,,,,,224,46323.57
224,,,,,,,,225,45571.57
225,,,,,,,,226,44982.57
226,,,,,,,,227,44356.57
227,,,,,,,,228,43512.57
228,,,,,,,,229,42618.57
229,,,,,,,,230,41918.57
230,,,,,,,,231,41353.57
231,,,,,,,,232,41115.57
232,,,,,,,,233,41522.57
233,,,,,,,,234,42758.57
234,,,,,,,,235,44685.57
235,,,,,,,,236,44849.57
236,,,,,,,,237,44451.57
237,,,,,,,,238,43200.57
238,,,,,,,,239,40911.57
239,,,,,,,,240,38762.57
240,,,,,,,,241,37319.57
241,,,,,,,,242,36543.57
242,,,,,,,,243,36197.57
243,,,,,,,,244,36282.57
244,,,,,,,,245,37225.57
245,,,,,,,,246,39640.57
246,,,,,,,,247,43405.57
247,,,,,,,,248,44821.57
248,,,,,,,,249,44412.57
249,,,,,,,,250,44393.57
250,,,,,,,,251,44314.57
251,,,,,,,,252,43756.57
252,,,,,,,,253,43027.57
253,,,,,,,,254,42511.57
254,,,,,,,,255,42202.57
255,,,,,,,,256,41922.57
256,,,,,,,,257,42148.57
257,,,,,,,,258,43104.57
258,,,,,,,,259,43793.57
259,,,,,,,,260,43055.57
260,,,,,,,,261,42201.57
261,,,,,,,,262,40924.57
262,,,,,,,,263,39100.57
263,,,,,,,,264,37186.57
264,,,,,,,,265,35676.57
265,,,,,,,,266,34643.57
266,,,,,,,,267,34032.57
267,,,,,,,,268,33933.57
268,,,,,,,,269,34428.57
269,,,,,,,,270,35724.57
270,,,,,,,,271,37547.57
271,,,,,,,,272,39297.57
272,,,,,,,,273,40486.57
273,,,,,,,,274,41325.57
274,,,,,,,,275,41862.57
275,,,,,,,,276,42104.57
276,,,,,,,,277,41893.57
277,,,,,,,,278,41508.57
278,,,,,,,,279,41116.57
279,,,,,,,,280,41043.57
280,,,,,,,,281,41143.57
281,,,,,,,,282,41949.57
282,,,,,,,,283,43462.57
283,,,,,,,,284,43354.57
284,,,,,,,,285,42957.57
285,,,,,,,,286,42377.57
286,,,,,,,,287,41543.57
287,,,,,,,,288,40398.57
288,,,,,,,,289,39405.57
289,,,,,,,,290,38918.57
290,,,,,,,,291,38809.57
291,,,,,,,,292,39026.57
292,,,,,,,,293,39629.57
293,,,,,,,,294,40775.57
294,,,,,,,,295,42472.57
295,,,,,,,,296,44164.57
296,,,,,,,,297,45434.57
297,,,,,,,,298,46023.57
298,,,,,,,,299,45688.57
