Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,533389.6975592666,69.0,0.8824526794376119
conventional_steam_coal_1,1,538119.2259090481,460.0,0.1335415986472731
conventional_steam_coal_2,1,664713.8268575937,566.0,0.13406461809574483
conventional_steam_coal_3,1,1.0816162038955814e6,606.2021367399589,0.20368151464870068
conventional_steam_coal_4,1,1.0530299585500916e6,893.0,0.1346124293145186
conventional_steam_coal_5,1,1.12466059524694e6,957.0,0.13415455872458015
conventional_steam_coal_6,1,44386.79294907598,174.6,0.029020535489518298
conventional_steam_coal_7,1,43425.2607936778,174.6,0.028391876012541447
conventional_steam_coal_8,1,2.31737341226546e6,916.8,0.2885474954907525
conventional_steam_coal_9,1,2.123368612525044e6,878.6,0.2758862704631094
conventional_steam_coal_10,1,121157.63012396172,614.6,0.022503709232860835
conventional_steam_coal_11,1,131906.08231407445,410.0,0.03672627305771114
conventional_steam_coal_12,1,4.788927756150249e6,1008.0,0.5423425106171497
natural_gas_fired_combined_cycle,1,777578.3797211102,780.0,0.11380084002475052
natural_gas_fired_combined_cycle_1,1,5.880861987442333e6,2121.0,0.3165163965607231
natural_gas_fired_combined_cycle_2,1,3.2194369451281995e7,4644.0,0.7913773320531969
natural_gas_fired_combined_cycle_3,1,2.744337090372284e6,746.0,0.4199470372232274
natural_gas_fired_combined_cycle_4,1,227289.63247841285,704.0,0.03685554698500648
natural_gas_fired_combined_cycle_5,1,2.5010696165990517e7,4029.0,0.7086379503732269
natural_gas_fired_combined_cycle_6,1,1.7159982039347296e6,1740.0,0.11258057811989851
natural_gas_fired_combined_cycle_7,1,5.16791318431968e6,1031.0,0.5722060401879314
natural_gas_fired_combined_cycle_8,1,6.029775325323827e7,8055.999999999999,0.8544321208906188
natural_gas_fired_combined_cycle_9,1,2.5702833644178947e6,532.0,0.5515250807708295
natural_gas_fired_combined_cycle_10,1,324716.22461938177,237.0,0.1564053256167196
natural_gas_fired_combined_cycle_11,1,2.800318419333844e6,1188.0,0.2690833774708522
natural_gas_fired_combined_cycle_12,1,3.1123816069562836e6,1026.0,0.3462911344936118
natural_gas_fired_combined_cycle_13,1,4.4265740260581724e7,7481.0,0.6754667419346975
natural_gas_fired_combined_cycle_14,1,2.8137837410712503e6,824.0,0.38981576410195135
natural_gas_fired_combustion_turbine,1,123738.80629669857,741.0,0.019062664654191146
natural_gas_fired_combustion_turbine_1,1,2.281599409006169e6,1073.0,0.24273676937513394
natural_gas_fired_combustion_turbine_2,1,4390.402465624037,81.0,0.006187499951553169
natural_gas_fired_combustion_turbine_3,1,43746.704369290346,180.0,0.02774397791050903
natural_gas_fired_combustion_turbine_4,1,41049.72778859914,91.0,0.05149496686813114
natural_gas_fired_combustion_turbine_5,1,551.1956250000001,13.0,0.004840144230769263
natural_gas_fired_combustion_turbine_6,1,100665.72443217914,354.0,0.03246192388107855
natural_gas_fired_combustion_turbine_7,1,855115.0983491233,557.0,0.17525292424951203
natural_gas_fired_combustion_turbine_8,1,302005.1344720083,1539.0,0.022401216355874384
natural_gas_fired_combustion_turbine_9,1,95156.0262681303,846.0,0.012839905527506683
natural_gas_fired_combustion_turbine_10,1,348982.24701078126,336.0,0.1185659406293432
natural_gas_fired_combustion_turbine_11,1,28608.679836906882,208.0,0.01570111072889614
natural_gas_fired_combustion_turbine_12,1,102873.01205736358,547.0,0.02146891138408844
natural_gas_fired_combustion_turbine_13,1,3220.8051236263746,41.0,0.008967605311355374
natural_gas_fired_combustion_turbine_14,1,369313.3420503402,276.0,0.15275020765102518
natural_gas_fired_combustion_turbine_15,1,11280.18461538461,84.0,0.015329670329670426
natural_gas_steam_turbine,1,1.5723724480406225e6,825.0,0.21756917781107418
natural_gas_steam_turbine_1,1,727476.7534134809,521.0,0.15939595294732772
natural_gas_steam_turbine_2,1,5344.375952212262,18.0,0.03389380994553715
natural_gas_steam_turbine_3,1,2.812947716227437e6,1326.0,0.24216648038763333
natural_gas_steam_turbine_4,1,95268.26793884132,167.0,0.06512199432562406
natural_gas_steam_turbine_5,1,105044.27561297799,171.0,0.0701248869215324
natural_gas_steam_turbine_6,1,7.322701167298479e6,2160.0,0.38700221795717743
natural_gas_steam_turbine_7,1,1.2154029710907997e6,1265.0,0.10967955051625315
natural_gas_steam_turbine_8,1,1.7686123320252327e6,844.0,0.23921372622557893
natural_gas_steam_turbine_9,1,1.3732696333181693e6,421.0,0.3723656529133121
natural_gas_steam_turbine_10,1,239892.74585466017,248.0,0.11042345423417559
natural_gas_steam_turbine_11,1,285950.23853065114,392.0,0.08327224819758557
natural_gas_steam_turbine_12,1,41961.72803667575,61.0,0.07852707544852913
natural_gas_steam_turbine_13,1,3.656956311103791e6,1461.0,0.2857363217712125
natural_gas_steam_turbine_14,1,948077.4314790161,430.0,0.2516930634700601
natural_gas_steam_turbine_15,1,419487.11696285935,169.0,0.28335300110971207
natural_gas_steam_turbine_16,1,143266.58326112232,169.0,0.09677297510275544
natural_gas_steam_turbine_17,1,73150.06714285714,122.0,0.06844642857142903
nuclear,1,2.0971440000000093e7,2520.0,0.9500000000000105
nuclear_1,1,2.047212000000004e7,2460.0,0.9500000000000082
onshore_wind_turbine,1,9.402511773127738e7,34061.0,0.3151246565934083
onshore_wind_turbine_exp,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_1,1,1.7932162630736136e6,527.7038365661275,0.38791655219780474
onshore_wind_turbine_ppa_2,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_3,1,0.0,0.0,0.0
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.0111727523351654e7,9147.0,0.2509958791208809
solar_photovoltaic_exp,1,2.5720844983185075e7,11814.029790612194,0.24853242887212174
solar_photovoltaic_ppa_1,1,0.0,0.0,0.0
solar_photovoltaic_ppa_2,1,0.0,0.0,0.0
solar_photovoltaic_ppa_3,1,0.0,0.0,0.0
Battery,1,577096.2236880377,726.0,0.0
Battery_exp,1,0.0,0.0,0.0
Battery_ppa_1,1,0.0,0.0,0.0
Battery_ppa_2,1,0.0,0.0,0.0
Battery_ppa_3,1,0.0,0.0,0.0
Flexible_demand_1,1,1.6858006206318208e6,200.0,0.0
Flexible_demand_2,1,1.714712077754926e6,200.0,0.0
Flexible_demand_3,1,1.715413081418995e6,200.0,0.0
Coal_retrofit_1,1,0.0,0.0,0.0
Coal_retrofit_2,1,0.0,0.0,0.0
Coal_retrofit_3,1,58547.02314365565,271.79786326004125,0.0
Coal_retrofit_4,1,0.0,0.0,0.0
Coal_retrofit_5,1,0.0,0.0,0.0
Coal_retrofit_6,1,0.0,0.0,0.0
Coal_retrofit_7,1,0.0,0.0,0.0
Coal_retrofit_8,1,0.0,0.0,0.0
Coal_retrofit_9,1,0.0,0.0,0.0
Coal_retrofit_10,1,0.0,0.0,0.0
Coal_retrofit_11,1,0.0,0.0,0.0
Coal_retrofit_12,1,0.0,0.0,0.0
