BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.1508404118484473e8,635643.2468316928,-858108.8553027378,5.11592577980575e6,-5.115925779805741e6,0.0,0.0,0.0,0.0,-4.148615755763734e8
t1,41235.57000000001,0.0,-0.0,600.0000000000001,-1799.9999999999998,0.0,0.0,0.0,0.0,-40035.57
t2,40572.55338779165,0.0,-0.0,600.0000000000001,-956.9833877916483,0.0,0.0,0.0,0.0,-40215.57
t3,41845.16782257003,0.0,-0.0,400.0,-1987.597822570021,0.0,0.0,0.0,0.0,-40257.57
t4,41343.17863074172,0.0,-0.0,600.0000000000001,-1560.6086307417124,0.0,0.0,0.0,0.0,-40382.57
t5,40260.57000000001,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-40860.57
t6,41203.57000000001,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-41803.57
t7,42302.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-42902.57
t8,42835.57000000001,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-43435.57
t9,43356.57000000001,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-43956.57
t10,44180.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-44780.57
t11,45251.99444209177,0.0,-222.9469614236312,400.0,-156.477480668139,0.0,0.0,0.0,0.0,-45272.57
t12,48169.32126685388,0.0,-726.0,400.0,-2522.751266853895,0.0,0.0,0.0,0.0,-45320.57
t13,47256.590051947416,0.0,-726.0,400.0,-2033.020051947426,0.0,0.0,0.0,0.0,-44897.57
t14,45944.669804023266,0.0,-726.0,600.0000000000001,-1431.0998040232832,0.0,0.0,0.0,0.0,-44387.57
t15,44170.64273222285,0.0,-173.0727322228444,600.0000000000001,-600.0000000000001,0.0,0.0,0.0,0.0,-43997.57
t16,44022.633130434784,0.0,-0.0631304347826863,600.0000000000001,-600.0000000000001,0.0,0.0,0.0,0.0,-44022.57
t17,44260.63313043477,0.0,-0.0631304347826863,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-44860.57
t18,46505.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-47105.57
t19,47139.56999999999,726.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-48465.57
t20,47312.23301260235,397.3369873976355,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-48309.57
t21,47206.737730757704,95.83226924228437,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-47902.57
t22,46346.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-46946.57
t23,44628.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-45228.57
t24,42894.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-43494.57
t25,41629.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-42229.57
t26,40951.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-41551.57
t27,40806.56999999999,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-41406.57
t28,41208.57000000001,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-41808.57
t29,42466.56999999999,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-43066.57
t30,44911.56999999999,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-45511.57
t31,47763.569999999985,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-48363.57
t32,49069.69691879816,842.8730812018177,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-50512.57
t33,50056.77213673995,997.7978632600413,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-51654.57
