Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.722164818562861e7
TX_W,conventional_steam_coal_1,1,1,4.754279023539443e7
TX_W,conventional_steam_coal_2,1,2,5.747266525217852e7
TX_W,conventional_steam_coal_3,1,3,1.0565506798770052e8
TX_FW,conventional_steam_coal_4,1,4,9.275118115019852e7
TX_FW,conventional_steam_coal_5,1,5,9.924664654164745e7
TX_FW,conventional_steam_coal_6,1,6,1.083402943970659e7
TX_FW,conventional_steam_coal_7,1,7,9.880452134469332e6
TX_FW,conventional_steam_coal_8,1,8,1.242375116593587e8
TX_FW,conventional_steam_coal_9,1,9,1.2251639777451283e8
TX_NC,conventional_steam_coal_10,1,10,2.6443728000836436e7
TX_W,conventional_steam_coal_11,1,11,2.7829020516357053e7
TX_FW,conventional_steam_coal_12,1,12,1.9421161424566847e8
TX,natural_gas_fired_combined_cycle,1,1,8.072850731759806e7
TX,natural_gas_fired_combined_cycle_1,1,2,3.090747077030269e8
TX,natural_gas_fired_combined_cycle_2,1,3,1.0879713847471159e9
TX,natural_gas_fired_combined_cycle_3,1,4,1.2634834577021012e8
TX,natural_gas_fired_combined_cycle_4,1,5,4.856915622710829e7
TX,natural_gas_fired_combined_cycle_5,1,6,8.921817405019776e8
TX,natural_gas_fired_combined_cycle_6,1,7,1.7370280565721455e8
TX,natural_gas_fired_combined_cycle_7,1,8,2.0552164038357753e8
TX,natural_gas_fired_combined_cycle_8,1,9,1.9672782835119324e9
TX,natural_gas_fired_combined_cycle_9,1,10,1.0089972155910183e8
TX,natural_gas_fired_combined_cycle_10,1,11,2.684216035253452e7
TX,natural_gas_fired_combined_cycle_11,1,12,1.643728935632887e8
TX,natural_gas_fired_combined_cycle_12,1,13,1.6013512830775103e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.6101276986065843e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.3525448038043725e8
TX,natural_gas_fired_combustion_turbine,1,16,4.1991821051671915e7
TX,natural_gas_fired_combustion_turbine_1,1,17,1.437785082815269e8
TX,natural_gas_fired_combustion_turbine_2,1,18,3.5024546423833016e6
