Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,532478.3149950744,69.0,0.8809448663144034
conventional_steam_coal_1,1,532911.1094879805,460.0,0.13224913378200914
conventional_steam_coal_2,1,656546.554012842,566.0,0.1324173794336702
conventional_steam_coal_3,1,1.5260041152710041e6,878.0,0.19840704216606525
conventional_steam_coal_4,1,1.0494303772898684e6,893.0,0.13415228250291147
conventional_steam_coal_5,1,1.1215171161793834e6,957.0,0.13377959044619445
conventional_steam_coal_6,1,44258.49264481808,174.6,0.028936651449116817
conventional_steam_coal_7,1,44102.08829873793,174.6,0.028834392701084687
conventional_steam_coal_8,1,2.126313182928946e6,916.8,0.26475765205371876
conventional_steam_coal_9,1,2.2002578237078236e6,878.6,0.285876376555354
conventional_steam_coal_10,1,98493.18775135528,533.5410399492773,0.021073382817106287
conventional_steam_coal_11,1,128979.32742186867,410.0,0.03591138418027328
conventional_steam_coal_12,1,4.777842610220699e6,1008.0,0.5410871260759507
natural_gas_fired_combined_cycle,1,772445.636073241,780.0,0.11304964817838165
natural_gas_fired_combined_cycle_1,1,5.586576016783556e6,2121.0,0.30067750505294916
natural_gas_fired_combined_cycle_2,1,3.215337769726322e7,4644.0,0.7903697041516581
natural_gas_fired_combined_cycle_3,1,2.6993180747203575e6,746.0,0.41305808677029016
natural_gas_fired_combined_cycle_4,1,183322.88915423196,704.0,0.02972623643664273
natural_gas_fired_combined_cycle_5,1,2.482434883300562e7,4029.0,0.703358097656312
natural_gas_fired_combined_cycle_6,1,1.5538166763223854e6,1740.0,0.10194042121466408
natural_gas_fired_combined_cycle_7,1,5.20237835294952e6,1031.0,0.5760221216433877
natural_gas_fired_combined_cycle_8,1,6.024061257610943e7,8055.999999999999,0.8536224252168303
natural_gas_fired_combined_cycle_9,1,2.4277128672948927e6,532.0,0.5209326542587008
natural_gas_fired_combined_cycle_10,1,312578.8091253416,237.0,0.15055912429211396
natural_gas_fired_combined_cycle_11,1,2.773863541044748e6,1188.0,0.2665413208420551
natural_gas_fired_combined_cycle_12,1,3.100172834739399e6,1026.0,0.344932756853701
natural_gas_fired_combined_cycle_13,1,4.417527027732766e7,7481.0,0.6740862281452122
natural_gas_fired_combined_cycle_14,1,2.8037790667393515e6,824.0,0.3884297372682773
natural_gas_fired_combustion_turbine,1,109032.63117128669,741.0,0.016797094998626964
natural_gas_fired_combustion_turbine_1,1,2.2985385011626324e6,1073.0,0.24453890014794943
natural_gas_fired_combustion_turbine_2,1,3222.5037774725283,81.0,0.004541552197802229
natural_gas_fired_combustion_turbine_3,1,42004.330267544676,180.0,0.026638971504023945
natural_gas_fired_combustion_turbine_4,1,37453.648535714325,91.0,0.04698385334903228
natural_gas_fired_combustion_turbine_5,1,444.57000000000005,13.0,0.0039038461538461805
natural_gas_fired_combustion_turbine_6,1,96963.74144332964,354.0,0.031268136316632576
natural_gas_fired_combustion_turbine_7,1,845765.3579312686,557.0,0.17333672682490067
natural_gas_fired_combustion_turbine_8,1,304330.9910008879,1539.0,0.022573736652283394
natural_gas_fired_combustion_turbine_9,1,88772.3936989129,846.0,0.011978528247205961
natural_gas_fired_combustion_turbine_10,1,346797.2316346517,336.0,0.11782358652514609
natural_gas_fired_combustion_turbine_11,1,26423.85581909204,208.0,0.014502028351714644
natural_gas_fired_combustion_turbine_12,1,103166.44046629444,547.0,0.021530147935667175
natural_gas_fired_combustion_turbine_13,1,2751.627706043957,41.0,0.007661286630036684
natural_gas_fired_combustion_turbine_14,1,360022.74351374496,276.0,0.1489075605162412
natural_gas_fired_combustion_turbine_15,1,10599.178846153844,84.0,0.014404189560439653
natural_gas_steam_turbine,1,1.5516593328277208e6,825.0,0.2147031040304042
natural_gas_steam_turbine_1,1,714095.0003896479,521.0,0.15646390423878664
natural_gas_steam_turbine_2,1,5289.8597559282825,18.0,0.033548070496754935
natural_gas_steam_turbine_3,1,2.826753345672834e6,1326.0,0.24335500610143918
natural_gas_steam_turbine_4,1,94288.9482093216,167.0,0.06445256624376058
natural_gas_steam_turbine_5,1,104018.22018269249,171.0,0.06943991841083419
natural_gas_steam_turbine_6,1,7.299521735008954e6,2160.0,0.38577719299683977
natural_gas_steam_turbine_7,1,1.2051657302747425e6,1265.0,0.10875572854285112
natural_gas_steam_turbine_8,1,1.7534881447417466e6,844.0,0.23716810371650518
natural_gas_steam_turbine_9,1,1.373223320640573e6,421.0,0.37235309510964926
natural_gas_steam_turbine_10,1,240801.61697540845,248.0,0.11084181073032205
natural_gas_steam_turbine_11,1,300054.73462970497,392.0,0.08737965200986247
natural_gas_steam_turbine_12,1,41648.125384804116,61.0,0.07794020021110186
natural_gas_steam_turbine_13,1,3.648747513749961e6,1461.0,0.2850949272992778
natural_gas_steam_turbine_14,1,947277.2060574073,430.0,0.25148062176314473
natural_gas_steam_turbine_15,1,414330.3033649331,169.0,0.2798697031726621
natural_gas_steam_turbine_16,1,140107.47977555436,169.0,0.09463908012182547
natural_gas_steam_turbine_17,1,72450.11612358145,122.0,0.06779148525673884
nuclear,1,2.0971440000000093e7,2520.0,0.9500000000000105
nuclear_1,1,2.047212000000004e7,2460.0,0.9500000000000082
onshore_wind_turbine,1,9.402511773127738e7,34061.0,0.3151246565934083
onshore_wind_turbine_exp,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_1,1,2.363359674339009e6,695.5369809629401,0.387887236115723
onshore_wind_turbine_ppa_2,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_3,1,0.0,0.0,0.0
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.0111727523351654e7,9147.0,0.2509958791208809
solar_photovoltaic_exp,1,2.5964137915214762e7,11944.699881606855,0.2481387321375331
solar_photovoltaic_ppa_1,1,0.0,0.0,0.0
solar_photovoltaic_ppa_2,1,0.0,0.0,0.0
solar_photovoltaic_ppa_3,1,0.0,0.0,0.0
Battery,1,573302.6204685989,726.0,0.0
Battery_exp,1,0.0,0.0,0.0
Battery_ppa_1,1,0.0,0.0,0.0
Battery_ppa_2,1,0.0,0.0,0.0
Battery_ppa_3,1,0.0,0.0,0.0
Flexible_demand_1,1,1.6821952425204916e6,200.0,0.0
Flexible_demand_2,1,1.7285758345793916e6,200.0,0.0
Flexible_demand_3,1,1.7251937413145623e6,200.0,0.0
Coal_retrofit_1,1,0.0,0.0,0.0
Coal_retrofit_2,1,0.0,0.0,0.0
Coal_retrofit_3,1,0.0,0.0,0.0
Coal_retrofit_4,1,0.0,0.0,0.0
Coal_retrofit_5,1,0.0,0.0,0.0
Coal_retrofit_6,1,0.0,0.0,0.0
Coal_retrofit_7,1,0.0,0.0,0.0
Coal_retrofit_8,1,0.0,0.0,0.0
Coal_retrofit_9,1,0.0,0.0,0.0
Coal_retrofit_10,1,0.0,0.0,0.0
Coal_retrofit_11,1,0.0,0.0,0.0
Coal_retrofit_12,1,0.0,0.0,0.0
