Resource,biomass,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,conventional_steam_coal_5,conventional_steam_coal_6,conventional_steam_coal_7,conventional_steam_coal_8,conventional_steam_coal_9,conventional_steam_coal_10,conventional_steam_coal_11,conventional_steam_coal_12,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,onshore_wind_turbine_exp,onshore_wind_turbine_ppa_1,onshore_wind_turbine_ppa_2,onshore_wind_turbine_ppa_3,small_hydroelectric,solar_photovoltaic,solar_photovoltaic_exp,solar_photovoltaic_ppa_1,solar_photovoltaic_ppa_2,solar_photovoltaic_ppa_3,Battery,Battery_exp,Battery_ppa_1,Battery_ppa_2,Battery_ppa_3,Flexible_demand_1,Flexible_demand_2,Flexible_demand_3,Coal_retrofit_1,Coal_retrofit_2,Coal_retrofit_3,Coal_retrofit_4,Coal_retrofit_5,Coal_retrofit_6,Coal_retrofit_7,Coal_retrofit_8,Coal_retrofit_9,Coal_retrofit_10,Coal_retrofit_11,Coal_retrofit_12,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,532478.3149950744,532911.1094879805,656546.5540128419,1.5260041152710041e6,1.0494303772898684e6,1.1215171161793834e6,44258.49264481808,44102.08829873793,2.126313182928946e6,2.2002578237078236e6,98493.18775135528,128979.32742186867,4.777842610220699e6,772445.636073241,5.586576016783556e6,3.215337769726322e7,2.6993180747203724e6,183322.88915423164,2.482434883300558e7,1.5538166763223857e6,5.20237835294952e6,6.024061257610943e7,2.4277128672948927e6,312578.8091253416,2.773863541044748e6,3.100172834739399e6,4.417527027732766e7,2.8037790667393515e6,109032.63117128669,2.298538501162633e6,3222.5037774725283,42004.330267544676,37453.64853571432,444.57000000000005,96963.74144332962,845765.357931267,304330.9910008878,88772.39369891286,346797.2316346517,26423.85581909204,103166.44046629444,2751.627706043957,360022.7435137449,10599.178846153842,1.5516593328277208e6,714095.0003896478,5289.8597559282825,2.826753345672834e6,94288.9482093216,104018.22018269249,7.299521735008955e6,1.2051657302747422e6,1.7534881447417466e6,1.3732233206405733e6,240801.61697540848,300054.7346297036,41648.12538480443,3.648747513749961e6,947277.2060574074,414330.3033649331,140107.47977555436,72450.11612358145,2.0971440000000093e7,2.047212000000004e7,9.402511773127739e7,0.0,2.3633596743390085e6,0.0,0.0,0.0,2.011172752335165e7,2.5964137915214762e7,0.0,0.0,0.0,573302.6204685977,0.0,0.0,0.0,0.0,1.6821952425204914e6,1.7285758345793916e6,1.7251937413145618e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.206750892126699e8
t1,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,4133.615768061067,343.90600000000006,0.0,2239.9434680610675,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,15259.328,0.0,276.8237184232502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788.577445245846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43012.72489049169
t2,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,3777.4443,343.90600000000006,0.0,1885.5720000000001,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,15395.572,0.0,242.74240635606608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.1971970565306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41615.96439411306
t3,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,3777.0243,343.90600000000006,0.0,1885.5720000000001,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,15872.426000000001,0.0,230.91827767969613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.807068380162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42303.184136760334
t4,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,3775.7742999999996,343.90600000000006,0.0,1885.5720000000001,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,15395.572,0.0,196.1414286315491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.9262193320115,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41352.42243866403
t5,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,2838.285408954654,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,13794.705,0.0,133.54310034488452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40260.57000000001
t6,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3626.1,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,4094.7161678213943,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,13181.607,0.0,128.67434147814393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41203.57000000001
t7,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3626.1,0.0,642.7077490058808,7250.4,335.692,0.0,0.0,235.98,6341.385049005881,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,11989.472,0.0,135.62971128777332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42302.57
t8,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,526.6674708916596,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3626.1,0.0,779.2857708916596,7250.4,407.246,0.0,0.0,235.98,6732.900000000001,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,11716.983999999999,0.0,127.28326751621805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42835.57000000001
t9,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,887.04,0.0,0.0,4179.599999999999,507.653,0.0,3626.1,0.0,927.9,7250.4,478.8,0.0,0.0,235.98,6732.900000000001,623.554236638006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,332.8229366380059,0.0,135.884,150.29700000000003,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,10933.581,0.0,134.23863732584746,0.0,0.0,0.0,100.617,131.3916986976754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43356.57000000001
t10,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3626.1,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,4677.3738368115655,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,10627.032,0.0,184.31729995517915,0.0,0.0,0.0,2122.1040000000003,2771.1703725327907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44180.57000000001
t11,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,3740.3360250905557,343.90600000000006,0.0,1899.033725090556,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,11478.557,0.0,257.34868295628786,0.0,0.0,0.0,3768.564,4921.216351222024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.9463016935335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45763.438576753426
t12,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,3726.3943,343.90600000000006,0.0,1885.5720000000001,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,12227.899,0.0,299.77643879502716,0.0,0.0,0.0,4491.177000000001,5864.847641868966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.4791730580141,0.0,1216.0536983064665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49973.63574272894
t13,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,3898.360647405593,343.90600000000006,0.0,2053.3083474055934,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,11785.106,0.0,280.3014033280649,0.0,0.0,0.0,4500.324,5876.792341750573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2285.0592305902996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49993.68846118059
t14,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,2329.4477,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,10116.116999999998,0.0,246.91562824184373,0.0,0.0,0.0,4664.97,6091.796939619497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2029.7137585618236,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49372.99751712363
t15,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,2325.5477,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,8889.921,0.0,238.5691844702885,0.0,0.0,0.0,4042.974,5279.55734767023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44870.60572284099
t16,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3338.9625382705085,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3474.652238270509,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,7152.8099999999995,0.0,244.82901729895494,0.0,0.0,0.0,4180.179,5458.727845894333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44622.63313043477
t17,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.96049070046803,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3626.1,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,5812.323423990414,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,0.0,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,5517.8820000000005,0.0,178.05746712651268,0.0,0.0,0.0,3969.798,5183.999748617375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44660.63313043477
t18,62.1,0.0,0.0,40.216431776318004,0.0,0.0,0.0,0.0,795.536490700468,773.1680000000001,0.0,0.0,887.04,0.0,1368.0449999999998,4179.599999999999,671.4,0.0,3626.1,0.0,927.9,7250.4,478.8,0.0,760.32,892.62,6732.900000000001,741.5999999999999,0.0,965.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,1540.0799999999997,0.0,135.884,276.597,0.0,0.0,0.0,989.097,177.69987091103621,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,3917.0150000000003,0.0,68.16262413436813,0.0,0.0,0.0,1353.7559999999999,1767.8155824778146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46505.57000000001
t19,62.1,0.0,0.0,422.2725336513381,0.0,0.0,0.0,0.0,825.1200000000001,790.7400000000002,0.0,0.0,907.2000000000002,0.0,1908.9,4179.599999999999,671.4,0.0,3626.1,0.0,927.9,7250.4,478.8,128.928,1007.0851436055988,923.3999999999999,6732.900000000001,741.5999999999999,0.0,965.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.68749999999994,232.10549999999998,0.0,835.38,0.0,0.0,1944.0,0.0,519.2177162901852,378.90000000000003,103.168,151.50799999999998,0.0,1314.9,270.90000000000003,106.47000000000001,12.621275138207304,0.0,2393.9999999999995,2336.9999999999995,3644.527,0.0,25.039331314665844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47865.56999999999
t20,62.1,0.0,0.0,422.2725336513381,0.0,0.0,0.0,0.0,825.1200000000001,790.7400000000002,0.0,0.0,907.2000000000002,0.0,1908.9,4179.599999999999,671.4,0.0,3626.1,0.0,927.9,7250.4,478.8,128.928,1012.2331436055987,923.3999999999999,6732.900000000001,741.5999999999999,0.0,965.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.68749999999994,232.10549999999998,0.0,835.38,0.0,0.0,1944.0,0.0,380.8464854943619,378.90000000000003,65.7491854943619,56.056,0.0,1314.9,270.90000000000003,106.47000000000001,5.56085884802203,0.0,2393.9999999999995,2336.9999999999995,4053.2589999999996,0.0,40.341144895850526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.12064801046307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47709.56999999999
t21,62.1,0.0,0.0,422.2725336513381,0.0,0.0,0.0,0.0,825.1200000000001,790.7400000000002,0.0,0.0,907.2000000000002,0.0,1908.9,4179.599999999999,671.4,0.0,3626.1,0.0,927.9,7250.4,478.8,128.928,1025.6641436055988,923.3999999999999,6732.900000000001,741.5999999999999,0.0,965.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.68749999999994,232.10549999999998,0.0,835.38,0.0,0.0,1944.0,0.0,422.3353,378.90000000000003,103.168,56.056,0.0,1314.9,270.90000000000003,106.47000000000001,5.56085884802203,0.0,2393.9999999999995,2336.9999999999995,3814.832,0.0,124.50111959236628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.049044302669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47302.569999999985
