BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.149658217737866e8,573302.6204685979,-677548.817881698,5.135964818414453e6,-5.135964818414448e6,0.0,0.0,0.0,0.0,-4.148615755763734e8
t1,41224.14744524586,0.0,-0.0,600.0000000000001,-1788.577445245846,0.0,0.0,0.0,0.0,-40035.57
t2,40615.767197056535,0.0,-0.0,600.0000000000001,-1000.1971970565306,0.0,0.0,0.0,0.0,-40215.57
t3,41080.37706838016,0.0,-0.0,400.0,-1222.807068380162,0.0,0.0,0.0,0.0,-40257.57
t4,40567.49621933202,0.0,-0.0,600.0000000000001,-784.9262193320114,0.0,0.0,0.0,0.0,-40382.57
t5,40260.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-40860.57
t6,41203.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-41803.57
t7,42302.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-42902.57
t8,42835.57000000001,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-43435.57
t9,43356.57000000001,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-43956.57
t10,44180.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-44780.57
t11,45379.49227505989,0.0,-122.97597336636096,400.0,-383.9463016935335,0.0,0.0,0.0,0.0,-45272.57
t12,47810.102871364455,0.0,-726.0,400.0,-2163.532871364481,0.0,0.0,0.0,0.0,-45320.57
t13,47708.62923059029,0.0,-726.0,200.0,-2285.0592305902996,0.0,0.0,0.0,0.0,-44897.57
t14,46943.2837585618,0.0,-726.0,600.0000000000001,-2429.713758561824,0.0,0.0,0.0,0.0,-44387.57
t15,44270.605722840985,0.0,-273.0357228409969,600.0000000000001,-600.0000000000001,0.0,0.0,0.0,0.0,-43997.57
t16,44022.63313043477,0.0,-0.0631304347826863,600.0000000000001,-600.0000000000001,0.0,0.0,0.0,0.0,-44022.57
t17,44460.63313043477,0.0,-0.0631304347826863,600.0000000000001,-200.0,0.0,0.0,0.0,0.0,-44860.57
t18,46505.57000000001,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-47105.57
t19,47139.56999999999,726.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-48465.57
t20,47290.44935198953,419.12064801046307,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-48309.57
t21,47228.52095569732,74.049044302669,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-47902.57
t22,46346.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-46946.57
t23,44628.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-45228.57
t24,42894.570000000014,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-43494.57
t25,41629.570000000014,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-42229.57
