Network_zones,Time_Index,ESR_1,ESR_2,ESR_3
z1,1,0.02104879,0.02104879,0.02104879
,2,0.0216003,0.0216003,0.0216003
,3,0.02229554,0.02229554,0.02229554
,4,0.02282841,0.02282841,0.02282841
,5,0.02313103,0.02313103,0.02313103
,6,0.02322449,0.02322449,0.02322449
,7,0.02303865,0.02303865,0.02303865
,8,0.0228752,0.0228752,0.0228752
,9,0.0222529,0.0222529,0.0222529
,10,0.02104117,0.02104117,0.02104117
,11,0.02001356,0.02001356,0.02001356
,12,0.01911625,0.01911625,0.01911625
,13,0.01852702,0.01852702,0.01852702
,14,0.01818094,0.01818094,0.01818094
,15,0.01807857,0.01807857,0.01807857
,16,0.0181051,0.0181051,0.0181051
,17,0.01806822,0.01806822,0.01806822
,18,0.01781261,0.01781261,0.01781261
,19,0.01737988,0.01737988,0.01737988
,20,0.01744335,0.01744335,0.01744335
,21,0.01750707,0.01750707,0.01750707
,22,0.01761354,0.01761354,0.01761354
,23,0.01789037,0.01789037,0.01789037
,24,0.01828121,0.01828121,0.01828121
,25,0.01869519,0.01869519,0.01869519
,26,0.01897554,0.01897554,0.01897554
,27,0.01903755,0.01903755,0.01903755
,28,0.01885898,0.01885898,0.01885898
,29,0.01841298,0.01841298,0.01841298
,30,0.01783383,0.01783383,0.01783383
,31,0.01709835,0.01709835,0.01709835
,32,0.01627501,0.01627501,0.01627501
,33,0.01563065,0.01563065,0.01563065
,34,0.01527694,0.01527694,0.01527694
,35,0.01534866,0.01534866,0.01534866
,36,0.01565237,0.01565237,0.01565237
,37,0.01603484,0.01603484,0.01603484
,38,0.01651987,0.01651987,0.01651987
,39,0.0170404,0.0170404,0.0170404
,40,0.01734014,0.01734014,0.01734014
,41,0.01730504,0.01730504,0.01730504
,42,0.01643625,0.01643625,0.01643625
,43,0.01549348,0.01549348,0.01549348
,44,0.01528483,0.01528483,0.01528483
,45,0.01529884,0.01529884,0.01529884
,46,0.01539396,0.01539396,0.01539396
,47,0.01580091,0.01580091,0.01580091
,48,0.01620797,0.01620797,0.01620797
,49,0.01651297,0.01651297,0.01651297
,50,0.01659884,0.01659884,0.01659884
,51,0.01655579,0.01655579,0.01655579
,52,0.01635159,0.01635159,0.01635159
,53,0.01590248,0.01590248,0.01590248
,54,0.0152114,0.0152114,0.0152114
,55,0.01438937,0.01438937,0.01438937
,56,0.01388924,0.01388924,0.01388924
,57,0.01404459,0.01404459,0.01404459
,58,0.01471201,0.01471201,0.01471201
,59,0.01552043,0.01552043,0.01552043
,60,0.01642321,0.01642321,0.01642321
,61,0.01725624,0.01725624,0.01725624
,62,0.01799822,0.01799822,0.01799822
