Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.5963578621602576e7
TX_W,conventional_steam_coal_1,1,1,0.0
TX_W,conventional_steam_coal_2,1,2,0.0
TX_W,conventional_steam_coal_3,1,3,0.0
TX_FW,conventional_steam_coal_4,1,4,0.0
TX_FW,conventional_steam_coal_5,1,5,0.0
TX_FW,conventional_steam_coal_6,1,6,0.0
TX_FW,conventional_steam_coal_7,1,7,0.0
TX_FW,conventional_steam_coal_8,1,8,1.9605984058698274e7
TX_FW,conventional_steam_coal_9,1,9,3.914202667802728e7
TX_NC,conventional_steam_coal_10,1,10,0.0
TX_W,conventional_steam_coal_11,1,11,0.0
TX_FW,conventional_steam_coal_12,1,12,1.476263841493809e8
TX,natural_gas_fired_combined_cycle,1,1,6.937388707416362e7
TX,natural_gas_fired_combined_cycle_1,1,2,2.477267879321829e8
TX,natural_gas_fired_combined_cycle_2,1,3,9.766598493941088e8
TX,natural_gas_fired_combined_cycle_3,1,4,1.065554897522767e8
TX,natural_gas_fired_combined_cycle_4,1,5,3.1955110557879362e7
TX,natural_gas_fired_combined_cycle_5,1,6,7.938899557596341e8
TX,natural_gas_fired_combined_cycle_6,1,7,1.3291710021087934e8
TX,natural_gas_fired_combined_cycle_7,1,8,1.6107407523593697e8
TX,natural_gas_fired_combined_cycle_8,1,9,1.7760503097704892e9
TX,natural_gas_fired_combined_cycle_9,1,10,8.021133885586075e7
TX,natural_gas_fired_combined_cycle_10,1,11,2.1294650242350105e7
TX,natural_gas_fired_combined_cycle_11,1,12,1.41168789869952e8
TX,natural_gas_fired_combined_cycle_12,1,13,1.3146697491779503e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.370899374680685e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.1882480005155423e8
TX,natural_gas_fired_combustion_turbine,1,16,3.329290230425162e7
TX,natural_gas_fired_combustion_turbine_1,1,17,1.2468476284087878e8
TX,natural_gas_fired_combustion_turbine_2,1,18,2.8658924970140015e6
TX,natural_gas_fired_combustion_turbine_3,1,19,6.800661916872606e6
TX,natural_gas_fired_combustion_turbine_4,1,20,4.911828964858312e6
TX,natural_gas_fired_combustion_turbine_5,1,21,427968.0118423857
TX,natural_gas_fired_combustion_turbine_6,1,22,1.436673655454609e7
TX,natural_gas_fired_combustion_turbine_7,1,23,4.6788789794828594e7
TX,natural_gas_fired_combustion_turbine_8,1,24,8.966543689086956e7
TX,natural_gas_fired_combustion_turbine_9,1,25,3.67230212350447e7
TX,natural_gas_fired_combustion_turbine_10,1,26,2.3778348172114864e7
TX,natural_gas_fired_combustion_turbine_11,1,27,7.927993171168829e6
TX,natural_gas_fired_combustion_turbine_12,1,28,2.437894954736781e7
TX,natural_gas_fired_combustion_turbine_13,1,29,1.9528136365099482e6
TX,natural_gas_fired_combustion_turbine_14,1,30,2.4177208652017828e7
TX,natural_gas_fired_combustion_turbine_15,1,31,3.134903162270221e6
TX,natural_gas_steam_turbine,1,32,7.902895144809997e7
TX,natural_gas_steam_turbine_1,1,33,4.817209779402409e7
TX,natural_gas_steam_turbine_2,1,34,891895.8149511075
TX,natural_gas_steam_turbine_3,1,35,1.314735293694787e8
TX,natural_gas_steam_turbine_4,1,36,6.833063420744213e6
TX,natural_gas_steam_turbine_5,1,37,7.162611916893189e6
TX,natural_gas_steam_turbine_6,1,38,3.0927385920617396e8
TX,natural_gas_steam_turbine_7,1,39,8.808546426243828e7
TX,natural_gas_steam_turbine_8,1,40,8.133386959076184e7
TX,natural_gas_steam_turbine_9,1,41,5.930937444679019e7
TX,natural_gas_steam_turbine_10,1,42,1.8101319127145212e7
TX,natural_gas_steam_turbine_11,1,43,2.2199370224168014e7
TX,natural_gas_steam_turbine_12,1,44,2.9409785641529826e6
TX,natural_gas_steam_turbine_13,1,45,1.8401239859129006e8
TX,natural_gas_steam_turbine_14,1,46,4.562936608117819e7
TX,natural_gas_steam_turbine_15,1,47,1.791358767804782e7
TX,natural_gas_steam_turbine_16,1,48,9.202238182159185e6
TX,natural_gas_steam_turbine_17,1,49,5.476600642454808e6
TX,nuclear,1,1,6.164113200222197e8
TX,nuclear_1,1,2,6.017348600216916e8
TX,onshore_wind_turbine,1,1,2.219138824435135e9
TX,onshore_wind_turbine_exp,1,2,0.0
TX_W,onshore_wind_turbine_ppa_1,1,2,1.46382331867611e8
TX_FW,onshore_wind_turbine_ppa_2,1,2,4.819661302340548e7
TX_NC,onshore_wind_turbine_ppa_3,1,2,1.3444991849267042e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,6.275390820000004e8
TX,solar_photovoltaic_exp,1,2,6.809164139276347e8
TX_W,solar_photovoltaic_ppa_1,1,2,7.043653458442947e7
TX_FW,solar_photovoltaic_ppa_2,1,2,1.2407566205701478e8
TX_NC,solar_photovoltaic_ppa_3,1,2,7.719322774718527e7
TX,Battery,1,1,5.8391263333503045e7
TX,Battery_exp,1,2,0.0
TX_W,Battery_ppa_1,1,1,2.1033557157408435e7
TX_FW,Battery_ppa_2,1,2,5.517462360175305e7
TX_NC,Battery_ppa_3,1,3,9.516187440687636e7
TX_W,Flexible_demand_1,1,3,5.142036666433088e7
TX_FW,Flexible_demand_2,1,3,5.146670336843472e7
TX_NC,Flexible_demand_3,1,3,5.123120802370844e7
TX_W,Coal_retrofit_1,1,1,0.0
TX_W,Coal_retrofit_2,1,2,0.0
TX_W,Coal_retrofit_3,1,3,4.369951720158466e7
TX_FW,Coal_retrofit_4,1,4,0.0
TX_FW,Coal_retrofit_5,1,5,0.0
TX_FW,Coal_retrofit_6,1,6,0.0
TX_FW,Coal_retrofit_7,1,7,0.0
TX_FW,Coal_retrofit_8,1,8,0.0
TX_FW,Coal_retrofit_9,1,9,3.1058779112056755e7
TX_NC,Coal_retrofit_10,1,10,0.0
TX_W,Coal_retrofit_11,1,11,0.0
TX_FW,Coal_retrofit_12,1,12,0.0
