Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,532624.8018550543,69.0,0.8811872176809242
conventional_steam_coal_1,1,0.0,-5.551115123125783e-14,0.0
conventional_steam_coal_2,1,0.0,0.0,0.0
conventional_steam_coal_3,1,0.0,1.1102230246251565e-13,0.0
conventional_steam_coal_4,1,0.0,0.0,0.0
conventional_steam_coal_5,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_6,1,0.0,2.7755575615628914e-14,0.0
conventional_steam_coal_7,1,0.0,0.0,0.0
conventional_steam_coal_8,1,346681.1567055696,166.30809911688172,0.23796480580272128
conventional_steam_coal_9,1,692062.2007903113,332.04767275307745,0.23792527645734524
conventional_steam_coal_10,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_11,1,0.0,0.0,0.0
conventional_steam_coal_12,1,3.3517437920250385e6,1008.0,0.37958249438567493
natural_gas_fired_combined_cycle,1,689802.577257122,780.0,0.10095459800625316
natural_gas_fired_combined_cycle_1,1,4.0179230373661243e6,2121.0,0.21625035992360322
natural_gas_fired_combined_cycle_2,1,3.026083031478417e7,4644.0,0.7438485539052789
natural_gas_fired_combined_cycle_3,1,2.229267490546341e6,746.0,0.3411294775402383
natural_gas_fired_combined_cycle_4,1,158128.43576346646,704.0,0.025640896728976546
natural_gas_fired_combined_cycle_5,1,2.2853004814028867e7,4029.0,0.6475032275712562
natural_gas_fired_combined_cycle_6,1,1.0504135974416642e6,1740.0,0.06891392414853771
natural_gas_fired_combined_cycle_7,1,3.735036488334026e6,1031.0,0.41355385872806594
natural_gas_fired_combined_cycle_8,1,5.722464606328318e7,8055.999999999999,0.8108855316336383
natural_gas_fired_combined_cycle_9,1,1.7899165688741808e6,532.0,0.38407589368845757
natural_gas_fired_combined_cycle_10,1,205031.29712472038,237.0,0.0987569587137168
natural_gas_fired_combined_cycle_11,1,2.4074316573238173e6,1188.0,0.23133077899657087
natural_gas_fired_combined_cycle_12,1,2.3944670234108455e6,1026.0,0.26641421482225397
natural_gas_fired_combined_cycle_13,1,3.755613585841708e7,7481.0,0.5730824917556337
natural_gas_fired_combined_cycle_14,1,2.5232524925983083e6,824.0,0.3495661674588716
natural_gas_fired_combustion_turbine,1,104086.85155047048,741.0,0.016035169607661985
natural_gas_fired_combustion_turbine_1,1,2.0456612115081602e6,1073.0,0.21763557255381935
natural_gas_fired_combustion_turbine_2,1,5980.820810439563,81.0,0.008428914835164893
natural_gas_fired_combustion_turbine_3,1,26622.037087912096,180.0,0.016883585164835284
natural_gas_fired_combustion_turbine_4,1,24444.50625000003,91.0,0.030664491758242002
natural_gas_fired_combustion_turbine_5,1,847.666875,13.0,0.007443509615384665
natural_gas_fired_combustion_turbine_6,1,60127.35703822058,354.0,0.019389416788632517
natural_gas_fired_combustion_turbine_7,1,394430.64288983506,557.0,0.08083721561402771
natural_gas_fired_combustion_turbine_8,1,257503.153227953,1539.0,0.019100284032799772
natural_gas_fired_combustion_turbine_9,1,85844.19993002336,846.0,0.011583411586356413
natural_gas_fired_combustion_turbine_10,1,212337.66866619748,336.0,0.07214124968274314
natural_gas_fired_combustion_turbine_11,1,25405.799216923664,208.0,0.013943295144518262
natural_gas_fired_combustion_turbine_12,1,101654.43532803156,547.0,0.021214602549404438
natural_gas_fired_combustion_turbine_13,1,4123.803090659341,41.0,0.011481799450549529
natural_gas_fired_combustion_turbine_14,1,233318.86389577916,276.0,0.09650207791334985
natural_gas_fired_combustion_turbine_15,1,11182.898076923071,84.0,0.015197458791208884
natural_gas_steam_turbine,1,962243.9835393388,825.0,0.13314570133379622
natural_gas_steam_turbine_1,1,584523.3732441847,521.0,0.12807372835085945
natural_gas_steam_turbine_2,1,4612.067802197804,18.0,0.02924954212454233
natural_gas_steam_turbine_3,1,1.7324635276225063e6,1326.0,0.149147668996477
natural_gas_steam_turbine_4,1,81573.50966595867,167.0,0.05576074540368524
natural_gas_steam_turbine_5,1,88296.95517512198,171.0,0.058944801713745734
natural_gas_steam_turbine_6,1,6.642651507940835e6,2160.0,0.35106182922907575
natural_gas_steam_turbine_7,1,1.0008745521311662e6,1265.0,0.09032022597606555
natural_gas_steam_turbine_8,1,1.0076342845571006e6,844.0,0.13628761233703218
natural_gas_steam_turbine_9,1,1.2184230386264853e6,421.0,0.330378593755489
natural_gas_steam_turbine_10,1,209998.2233037441,248.0,0.09666290290531811
natural_gas_steam_turbine_11,1,256391.45974109077,392.0,0.07466436601350424
natural_gas_steam_turbine_12,1,38467.29463935042,61.0,0.07198760131624873
natural_gas_steam_turbine_13,1,3.431438459346574e6,1461.0,0.26811548193257545
natural_gas_steam_turbine_14,1,676358.1524499737,430.0,0.17955775524317147
natural_gas_steam_turbine_15,1,252228.23991282267,169.0,0.17037383474698356
natural_gas_steam_turbine_16,1,115196.14291949774,169.0,0.07781209837581969
natural_gas_steam_turbine_17,1,66780.5501653724,122.0,0.06248647930737036
nuclear,1,2.0971440000000093e7,2520.0,0.9500000000000105
nuclear_1,1,2.047212000000004e7,2460.0,0.9500000000000082
onshore_wind_turbine,1,9.402511773127738e7,34061.0,0.3151246565934083
onshore_wind_turbine_exp,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_1,1,5.806551890412779e6,1687.3446577722734,0.3928352078298343
onshore_wind_turbine_ppa_2,1,1.9013196603771322e6,830.3100521068848,0.261403102106229
onshore_wind_turbine_ppa_3,1,5.170428993200585e6,1700.156466517795,0.34716311813187073
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.0111727523351654e7,9147.0,0.2509958791208809
solar_photovoltaic_exp,1,2.1822394454613913e7,9925.027168580504,0.2509958791208809
solar_photovoltaic_ppa_1,1,2.379625107790311e6,1309.8182016728808,0.2073926759115162
solar_photovoltaic_ppa_2,1,4.1576001983088916e6,2146.2344768644807,0.22113701923077042
solar_photovoltaic_ppa_3,1,2.6250152559279404e6,1601.0223895540803,0.18716744859159928
Battery,1,717834.5094861705,726.0,0.0
Battery_exp,1,0.0,0.0,0.0
Battery_ppa_1,1,344307.0618373454,238.40090849396304,0.0
Battery_ppa_2,1,1.1176189979606138e6,572.4902787609315,0.0
Battery_ppa_3,1,1.1938192054134987e6,1232.3960440456265,0.0
Flexible_demand_1,1,1.743942565327378e6,200.0,0.0
Flexible_demand_2,1,1.7458263506561064e6,200.0,0.0
Flexible_demand_3,1,1.7296673226510899e6,200.0,0.0
Coal_retrofit_1,1,0.0,0.0,0.0
Coal_retrofit_2,1,0.0,0.0,0.0
Coal_retrofit_3,1,267904.9111568343,494.1802005973267,0.0
Coal_retrofit_4,1,0.0,0.0,0.0
Coal_retrofit_5,1,0.0,0.0,0.0
Coal_retrofit_6,1,0.0,0.0,0.0
Coal_retrofit_7,1,0.0,0.0,0.0
Coal_retrofit_8,1,0.0,0.0,0.0
Coal_retrofit_9,1,217663.72254958507,352.7333234612192,0.0
Coal_retrofit_10,1,0.0,0.0,0.0
Coal_retrofit_11,1,0.0,0.0,0.0
Coal_retrofit_12,1,0.0,0.0,0.0
