BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.9542546772141665e8,3.8591484084040467e6,-5.447040553446799e6,5.2194362386345845e6,-5.219436238634576e6,0.0,0.0,0.0,0.0,-3.9383757557637346e8
t1,38740.556454587546,0.0,-212.55914112075075,600.0000000000001,-1492.4273134667842,0.0,0.0,0.0,0.0,-37635.57
t2,39077.16968445049,0.0,-198.04846016817112,600.0000000000001,-1663.5512242823056,0.0,0.0,0.0,0.0,-37815.57
t3,39229.53647233302,0.0,-187.80798500676033,600.0000000000001,-1784.1584873262452,0.0,0.0,0.0,0.0,-37857.57
t4,39507.98384894933,0.0,-127.31405317731453,600.0000000000001,-1998.0997957720047,0.0,0.0,0.0,0.0,-37982.57
t5,39835.64689498054,130.52035616567395,-22.41837140688589,600.0000000000001,-2083.1788797393247,0.0,0.0,0.0,0.0,-38460.57
t6,41145.316487422664,15.1362851913649,-54.8004634390544,600.0000000000001,-2302.0823091749694,0.0,0.0,0.0,0.0,-39403.57
t7,40648.12628399273,841.9906777683758,-81.37038510647471,600.0000000000001,-1506.176576654629,0.0,0.0,0.0,0.0,-40502.57
t8,40410.07964358126,1223.044458423006,-95.48565599229177,600.0000000000001,-1102.068446011968,0.0,0.0,0.0,0.0,-41035.57
t9,40595.83401647522,1256.6106725436146,-156.05063361008754,600.0000000000001,-739.8240554087416,0.0,0.0,0.0,0.0,-41556.57
t10,43283.35349876832,132.0729274946751,-276.45000906898787,600.0000000000001,-1358.4064171940029,0.0,0.0,0.0,0.0,-42380.57
t11,43516.90005565465,233.98464621744145,-819.4268961278082,600.0000000000001,-658.8878057442869,0.0,0.0,0.0,0.0,-42872.57
t12,44714.17922847357,86.30009285880097,-1959.7926946190894,600.0000000000001,-520.1166267132805,0.0,0.0,0.0,0.0,-42920.57
t13,45280.35791879617,0.0,-2583.3747557578345,400.0,-599.4131630383329,0.0,0.0,0.0,0.0,-42497.57
t14,44666.3966673901,0.0,-2678.8266673900957,600.0000000000001,-600.0000000000001,0.0,0.0,0.0,0.0,-41987.57
t15,43002.54018375513,0.0,-1804.9701837551227,400.0,-0.0,0.0,0.0,0.0,0.0,-41597.57
t16,41840.88697042205,0.0,-796.2124090265384,600.0000000000001,-22.104561395507204,0.0,0.0,0.0,0.0,-41622.57
t17,42342.948251011876,0.0,-0.24080758533075716,600.0000000000001,-482.13744342653746,0.0,0.0,0.0,0.0,-42460.57
t18,43887.18178639088,753.424905851315,-80.77921074164121,600.0000000000001,-454.2574815005503,0.0,0.0,0.0,0.0,-44705.57
t19,43240.402665295784,2444.9533829215675,-0.0,600.0000000000001,-219.7860482173589,0.0,0.0,0.0,0.0,-46065.57
t20,43684.93808755672,1624.6319124432705,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-45909.57
t21,43677.86780368004,1267.1401090419704,-0.0,600.0000000000001,-42.43791272201815,0.0,0.0,0.0,0.0,-45502.57
t22,43405.29395505804,721.6074259435075,-0.008436037706135869,600.0000000000001,-180.3229449638394,0.0,0.0,0.0,0.0,-44546.57
t23,42556.38444490522,94.6571595963708,-0.001002202936535107,600.0000000000001,-422.4706022986495,0.0,0.0,0.0,0.0,-42828.57
t24,41604.747506993466,0.0,-666.9640722954213,600.0000000000001,-443.2134346980458,0.0,0.0,0.0,0.0,-41094.57
t25,41269.09333739928,0.0,-1565.6759866725629,600.0000000000001,-473.84735072672265,0.0,0.0,0.0,0.0,-39829.57
t26,40436.24423715868,0.0,-1439.0889686228138,600.0000000000001,-445.58526853586534,0.0,0.0,0.0,0.0,-39151.57
t27,39800.0930916237,0.0,-844.0633732541909,600.0000000000001,-549.4597183695129,0.0,0.0,0.0,0.0,-39006.57
t28,39633.9546234621,0.0,-105.3892220817289,600.0000000000001,-719.9954013803703,0.0,0.0,0.0,0.0,-39408.57
t29,40606.331531801756,177.48699019084324,-0.020730513782046097,600.0000000000001,-717.2277914788112,0.0,0.0,0.0,0.0,-40666.57
t30,41656.69333286205,874.5853916128607,-19.708724474918203,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-43111.57
t31,43467.74103883365,1895.8289611663313,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-45963.57
t32,44008.98720744013,3503.5827925598496,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-48112.57
t33,45038.36924464092,3616.200755359067,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-49254.57
t34,49850.50501927806,368.1268079350094,-0.0,600.0000000000001,-417.061827213079,0.0,0.0,0.0,0.0,-50401.57
t35,51077.005941109004,0.0,-0.0,600.0000000000001,-259.4359411090169,0.0,0.0,0.0,0.0,-51417.57
t36,51561.5372197517,0.0,-0.0,600.0000000000001,-161.96721975170428,0.0,0.0,0.0,0.0,-51999.57
t37,51559.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-52159.57
t38,51600.57000000001,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-52200.57
t39,53085.46675909091,0.0,-1678.8967590909162,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-52006.57
t40,53497.610648619775,0.0,-2207.040648619778,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-51890.57
t41,52234.74977130259,0.0,-709.1797713025902,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-52125.57
t42,51848.32935178753,1066.5332628149085,-0.0,600.0000000000001,-35.29261460244021,0.0,0.0,0.0,0.0,-53479.57
t43,50867.30288179966,2580.267118200338,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-54047.57
t44,52313.892370187656,152.67762981234034,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-53066.57
t45,51116.58642985989,89.59409476168189,-0.0,600.0000000000001,-22.61052462157942,0.0,0.0,0.0,0.0,-51783.57
t46,49377.9245502711,0.0,-0.0,600.0000000000001,-68.35455027109627,0.0,0.0,0.0,0.0,-49909.57
t47,46826.89892815958,0.0,-0.0,600.0000000000001,-117.32892815957449,0.0,0.0,0.0,0.0,-47309.57
t48,44618.94002308133,0.0,-0.0,600.0000000000001,-281.37002308133344,0.0,0.0,0.0,0.0,-44937.57
t49,44488.764856620604,0.0,-0.0,600.0000000000001,-1992.1948566206022,0.0,0.0,0.0,0.0,-43096.57
t50,44308.07826088892,0.0,-0.0,600.0000000000001,-2850.508260888922,0.0,0.0,0.0,0.0,-42057.57
t51,43814.20814322027,0.0,-0.0,600.0000000000001,-2745.638143220274,0.0,0.0,0.0,0.0,-41668.57
t52,44196.365775386075,0.0,-0.0,600.0000000000001,-3169.7957753860755,0.0,0.0,0.0,0.0,-41626.57
t53,44586.611568559696,0.0,-0.0,600.0000000000001,-2567.041568559696,0.0,0.0,0.0,0.0,-42619.57
t54,44285.017876498096,0.0,-0.0,600.0000000000001,-213.4478764980889,0.0,0.0,0.0,0.0,-44671.57
t55,46848.43395280258,0.0,-0.0,600.0000000000001,-195.8639528025862,0.0,0.0,0.0,0.0,-47252.57
t56,48591.8605207533,0.0,-0.0,600.0000000000001,-233.29052075329594,0.0,0.0,0.0,0.0,-48958.57
t57,48882.86847726813,0.0,-0.0,600.0000000000001,-89.29847726814609,0.0,0.0,0.0,0.0,-49393.57
t58,50955.65258559783,0.0,-330.8080976175551,600.0000000000001,-1617.2744879802713,0.0,0.0,0.0,0.0,-49607.57
t59,51828.61222886787,0.0,-2689.042228867868,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-49739.57
t60,49702.82588788291,0.0,-1055.2558878829138,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-49247.57
t61,48513.73591696801,0.0,-928.1659169680197,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-48185.57
t62,48594.842728256335,0.0,-2205.2727282563415,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-46989.57
t63,47795.606393814436,0.0,-2517.0363938144433,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-45878.57
t64,46799.19414989265,0.0,-2215.6241498926574,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-45183.57
t65,44929.56992157578,0.0,-99.99992157577678,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-45429.57
t66,44378.08887237196,2214.4811276280298,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-47192.57
t67,45087.369244640926,3616.200755359067,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-49303.57
t68,45899.761164093165,3024.808835906829,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-49524.57
t69,46325.58600112936,2487.635706486776,-0.0,600.0000000000001,-57.651707616143256,0.0,0.0,0.0,0.0,-49355.57
t70,47804.058493551755,350.4408202898318,-0.0,600.0000000000001,-292.92931384158743,0.0,0.0,0.0,0.0,-48461.57
t71,46703.11674235216,0.0,-0.0,600.0000000000001,-609.5467423521648,0.0,0.0,0.0,0.0,-46693.57
t72,44794.82453904254,0.0,-0.0,600.0000000000001,-554.2545390425446,0.0,0.0,0.0,0.0,-44840.57
t73,43652.49850682114,0.0,-0.0,600.0000000000001,-555.9285068211408,0.0,0.0,0.0,0.0,-43696.57
t74,43398.735479850846,0.0,-222.20410200386192,600.0000000000001,-633.9613778469917,0.0,0.0,0.0,0.0,-43142.57
t75,43283.78799627039,0.0,-328.7725734966256,600.0000000000001,-562.445422773765,0.0,0.0,0.0,0.0,-42992.57
t76,43379.29065220827,0.0,-0.0,600.0000000000001,-617.7206522082664,0.0,0.0,0.0,0.0,-43361.57
t77,44359.21225620579,0.0,-0.0,600.0000000000001,-612.6422562057974,0.0,0.0,0.0,0.0,-44346.57
t78,46564.85792235107,0.0,-0.0,600.0000000000001,-472.28792235107875,0.0,0.0,0.0,0.0,-46692.57
t79,48635.3571573619,299.212842638104,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-49534.57
t80,50050.374802325816,239.19519767418313,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-50889.57
t81,49409.56999999999,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-50009.57
t82,47198.56999999999,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-47798.57
t83,45706.57,0.0,-0.0,600.0000000000001,-600.0000000000006,0.0,0.0,0.0,0.0,-45706.57
t84,45218.913110847054,0.0,-496.1983555591438,600.0000000000001,-1830.144755287903,0.0,0.0,0.0,0.0,-43492.57
t85,44272.54361220964,0.0,-1684.2367995900408,600.0000000000001,-1844.736812619609,0.0,0.0,0.0,0.0,-41343.57
t86,43534.68196217027,0.0,-2769.287231300521,600.0000000000001,-1589.8247308697523,0.0,0.0,0.0,0.0,-39775.57
t87,41893.70612259855,0.0,-2684.2690615478127,600.0000000000001,-1290.8670610507413,0.0,0.0,0.0,0.0,-38518.57
t88,40466.13717889692,0.0,-2401.4135232978283,600.0000000000001,-1054.1536555990958,0.0,0.0,0.0,0.0,-37610.57
t89,40328.19691618233,0.0,-2005.480199851287,600.0000000000001,-1623.1467163310463,0.0,0.0,0.0,0.0,-37299.57
t90,39392.54675803426,0.0,-0.24080758533075716,600.0000000000001,-1471.7359504489211,0.0,0.0,0.0,0.0,-38520.57
t91,38108.013916802774,2585.4763153012914,-65.17018117728213,600.0000000000001,-482.75005092677844,0.0,0.0,0.0,0.0,-40745.57
t92,38344.68530881086,2697.2280572107857,-50.81452715229717,600.0000000000001,-466.52883886934694,0.0,0.0,0.0,0.0,-41124.57
t93,38193.28017203306,2816.4006467610375,-0.0,600.0000000000001,-288.1108187941,0.0,0.0,0.0,0.0,-41321.57
t94,38686.247205075575,2160.0858960785326,-119.84542522088908,600.0000000000001,-152.9176759332155,0.0,0.0,0.0,0.0,-41173.57
t95,39644.72738364833,408.9429258911552,-0.0075021076057912375,600.0000000000001,-286.0928074318829,0.0,0.0,0.0,0.0,-40367.57
t96,38984.8260149315,0.0,-0.0,600.0000000000001,-373.25601493149935,0.0,0.0,0.0,0.0,-39211.57
t97,38089.99334132172,0.0,-0.0,600.0000000000001,-323.42334132171743,0.0,0.0,0.0,0.0,-38366.57
t98,38217.90118161343,0.0,-473.34841199426734,600.0000000000001,-283.9827696191591,0.0,0.0,0.0,0.0,-38060.57
t99,38264.821862488716,0.0,-481.5431429283127,600.0000000000001,-254.70871956040452,0.0,0.0,0.0,0.0,-38128.57
t100,38314.797366435654,0.0,-41.448094679178844,600.0000000000001,-250.77927175647707,0.0,0.0,0.0,0.0,-38622.57
t101,38965.3681648853,92.05189420200014,-0.0,600.0000000000001,-152.85005908730432,0.0,0.0,0.0,0.0,-39504.57
t102,40169.91088543708,227.65911456292537,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-40997.57
t103,42135.347187871645,203.22281212835958,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-42938.57
t104,43623.27488501566,320.295114984345,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-44543.57
t105,43905.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-44505.57
t106,42029.56999999999,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-42629.57
t107,39815.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-40415.57
t108,37742.57,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-38342.57
