Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.593938383778429e7
TX_W,conventional_steam_coal_1,1,1,0.0
TX_W,conventional_steam_coal_2,1,2,0.0
TX_W,conventional_steam_coal_3,1,3,0.0
TX_FW,conventional_steam_coal_4,1,4,0.0
TX_FW,conventional_steam_coal_5,1,5,0.0
TX_FW,conventional_steam_coal_6,1,6,0.0
TX_FW,conventional_steam_coal_7,1,7,0.0
TX_FW,conventional_steam_coal_8,1,8,3.848174423828743e7
TX_FW,conventional_steam_coal_9,1,9,4.120588014314583e7
TX_NC,conventional_steam_coal_10,1,10,0.0
TX_W,conventional_steam_coal_11,1,11,0.0
TX_FW,conventional_steam_coal_12,1,12,1.3861421507863134e8
TX,natural_gas_fired_combined_cycle,1,1,6.802747899247807e7
TX,natural_gas_fired_combined_cycle_1,1,2,2.4657995242262045e8
TX,natural_gas_fired_combined_cycle_2,1,3,9.731220241275029e8
TX,natural_gas_fired_combined_cycle_3,1,4,1.0632441665994824e8
TX,natural_gas_fired_combined_cycle_4,1,5,3.0957028980065685e7
TX,natural_gas_fired_combined_cycle_5,1,6,7.918226573973978e8
TX,natural_gas_fired_combined_cycle_6,1,7,1.2701312752449717e8
TX,natural_gas_fired_combined_cycle_7,1,8,1.5874215453584164e8
TX,natural_gas_fired_combined_cycle_8,1,9,1.775328204690262e9
TX,natural_gas_fired_combined_cycle_9,1,10,8.030097086755343e7
TX,natural_gas_fired_combined_cycle_10,1,11,2.1248009123197302e7
TX,natural_gas_fired_combined_cycle_11,1,12,1.3890577755328795e8
TX,natural_gas_fired_combined_cycle_12,1,13,1.2975833767706975e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.3547781695060124e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.1788641203280276e8
TX,natural_gas_fired_combustion_turbine,1,16,3.2676541831013974e7
TX,natural_gas_fired_combustion_turbine_1,1,17,1.2106924683507824e8
TX,natural_gas_fired_combustion_turbine_2,1,18,2.812111380328038e6
TX,natural_gas_fired_combustion_turbine_3,1,19,6.681404600862942e6
TX,natural_gas_fired_combustion_turbine_4,1,20,5.029392111566693e6
TX,natural_gas_fired_combustion_turbine_5,1,21,418479.4934706764
TX,natural_gas_fired_combustion_turbine_6,1,22,1.3608546305078968e7
TX,natural_gas_fired_combustion_turbine_7,1,23,4.640839938104199e7
TX,natural_gas_fired_combustion_turbine_8,1,24,8.738003760048571e7
TX,natural_gas_fired_combustion_turbine_9,1,25,3.6180786728832215e7
TX,natural_gas_fired_combustion_turbine_10,1,26,2.3568606368752275e7
TX,natural_gas_fired_combustion_turbine_11,1,27,7.690319162784989e6
TX,natural_gas_fired_combustion_turbine_12,1,28,2.3524575242856275e7
TX,natural_gas_fired_combustion_turbine_13,1,29,1.928092253703794e6
TX,natural_gas_fired_combustion_turbine_14,1,30,2.409101116823696e7
TX,natural_gas_fired_combustion_turbine_15,1,31,3.0434241314989673e6
TX,natural_gas_steam_turbine,1,32,7.745930510612026e7
TX,natural_gas_steam_turbine_1,1,33,4.753141271492387e7
TX,natural_gas_steam_turbine_2,1,34,888775.2440902105
