Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,529860.8280392402,69.0,0.8766144332592876
conventional_steam_coal_1,1,0.0,-5.551115123125783e-14,0.0
conventional_steam_coal_2,1,0.0,0.0,0.0
conventional_steam_coal_3,1,0.0,0.0,0.0
conventional_steam_coal_4,1,0.0,0.0,0.0
conventional_steam_coal_5,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_6,1,0.0,0.0,0.0
conventional_steam_coal_7,1,0.0,0.0,0.0
conventional_steam_coal_8,1,668980.6424071868,330.75556703658606,0.23088848942754983
conventional_steam_coal_9,1,717787.3248175718,353.6208119956249,0.23171484695246772
conventional_steam_coal_10,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_11,1,0.0,0.0,0.0
conventional_steam_coal_12,1,2.9441471941329986e6,1008.0,0.33342248248407924
natural_gas_fired_combined_cycle,1,615522.726666905,780.0,0.09008352749486435
natural_gas_fired_combined_cycle_1,1,3.9632880474644126e6,2121.0,0.21330982668770218
natural_gas_fired_combined_cycle_2,1,3.0075323479785554e7,4644.0,0.7392885669677808
natural_gas_fired_combined_cycle_3,1,2.2216144091330976e6,746.0,0.33995837910761695
natural_gas_fired_combined_cycle_4,1,142273.96141780083,704.0,0.023070056529194197
natural_gas_fired_combined_cycle_5,1,2.27383332134624e7,4029.0,0.6442541917406608
natural_gas_fired_combined_cycle_6,1,832429.0702946908,1740.0,0.05461272964196559
natural_gas_fired_combined_cycle_7,1,3.623411464359292e6,1031.0,0.40119441872271416
natural_gas_fired_combined_cycle_8,1,5.727256898558528e7,8055.999999999999,0.8115646097407427
natural_gas_fired_combined_cycle_9,1,1.7949850140305008e6,532.0,0.38516346818040664
natural_gas_fired_combined_cycle_10,1,198725.7484391712,237.0,0.09571977941504949
natural_gas_fired_combined_cycle_11,1,2.3159918507260783e6,1188.0,0.222544302492783
natural_gas_fired_combined_cycle_12,1,2.3218831846272144e6,1026.0,0.2583383606846678
natural_gas_fired_combined_cycle_13,1,3.670602484098738e7,7481.0,0.5601103440891602
natural_gas_fired_combined_cycle_14,1,2.4830334135152963e6,824.0,0.34399429965134337
natural_gas_fired_combustion_turbine,1,87622.5765108275,741.0,0.013498754692663265
natural_gas_fired_combustion_turbine_1,1,1.9085664716448921e6,1073.0,0.20305021891050407
natural_gas_fired_combustion_turbine_2,1,5251.010289632689,81.0,0.007400375288393828
natural_gas_fired_combustion_turbine_3,1,25317.24828947546,180.0,0.01605609353721184
natural_gas_fired_combustion_turbine_4,1,27895.28557674406,91.0,0.034993333304160074
natural_gas_fired_combustion_turbine_5,1,760.20375,13.0,0.006675480769230814
natural_gas_fired_combustion_turbine_6,1,54087.438339777815,354.0,0.017441709342600604
natural_gas_fired_combustion_turbine_7,1,372931.6346513813,557.0,0.07643106716742984
natural_gas_fired_combustion_turbine_8,1,242018.31149727045,1539.0,0.01795169664056243
natural_gas_fired_combustion_turbine_9,1,73925.32420315577,846.0,0.009975134692827415
natural_gas_fired_combustion_turbine_10,1,211124.31297827986,336.0,0.07172901479203403
natural_gas_fired_combustion_turbine_11,1,19374.71254870933,208.0,0.01063329411919864
natural_gas_fired_combustion_turbine_12,1,87886.815463963,547.0,0.018341392123071378
natural_gas_fired_combustion_turbine_13,1,3524.2986126373635,41.0,0.009812614468864536
natural_gas_fired_combustion_turbine_14,1,225446.39794823312,276.0,0.09324597890122865
natural_gas_fired_combustion_turbine_15,1,9165.474667674926,84.0,0.012455798363333043
natural_gas_steam_turbine,1,899782.1535764759,825.0,0.12450285783540636
natural_gas_steam_turbine_1,1,554932.0686899136,521.0,0.12159003775009361
natural_gas_steam_turbine_2,1,4595.154453730481,18.0,0.02914227837221278
natural_gas_steam_turbine_3,1,1.6417890598015147e6,1326.0,0.14134151013808186
natural_gas_steam_turbine_4,1,86278.11840659333,167.0,0.0589766483516487
natural_gas_steam_turbine_5,1,38342.14452524581,171.0,0.02559624057067349
natural_gas_steam_turbine_6,1,6.586770848974494e6,2160.0,0.34810855577617844
natural_gas_steam_turbine_7,1,547405.9437365917,1265.0,0.04939862686452933
natural_gas_steam_turbine_8,1,907584.8198044432,844.0,0.12275541829032888
natural_gas_steam_turbine_9,1,1.2206868045702204e6,421.0,0.330992419812099
natural_gas_steam_turbine_10,1,202288.6563755336,248.0,0.0931141627888565
natural_gas_steam_turbine_11,1,251135.9849907881,392.0,0.07313390672781829
natural_gas_steam_turbine_12,1,13272.833434290109,61.0,0.024838748099203153
natural_gas_steam_turbine_13,1,3.295985188284006e6,1461.0,0.25753183910157457
natural_gas_steam_turbine_14,1,632958.4962942514,430.0,0.16803613048058183
natural_gas_steam_turbine_15,1,235835.2447679049,169.0,0.15930077866573888
natural_gas_steam_turbine_16,1,112678.1802808922,169.0,0.07611127791797909
natural_gas_steam_turbine_17,1,65196.751100132,122.0,0.06100452045449924
nuclear,1,2.0971440000000093e7,2520.0,0.9500000000000105
nuclear_1,1,2.047212000000004e7,2460.0,0.9500000000000082
onshore_wind_turbine,1,9.402511773127738e7,34061.0,0.3151246565934083
onshore_wind_turbine_exp,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_1,1,5.864576886490409e6,1705.524189607211,0.3925316635177384
onshore_wind_turbine_ppa_2,1,2.021977615495389e6,893.5634937617132,0.25831333096182624
onshore_wind_turbine_ppa_3,1,5.845916498251258e6,1921.7045529554382,0.34726569439828814
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.0111727523351654e7,9147.0,0.2509958791208809
solar_photovoltaic_exp,1,2.333636432078877e7,10673.692710453897,0.24958265166855645
solar_photovoltaic_ppa_1,1,2.5811474981775135e6,1447.1046296495895,0.20361453819631178
solar_photovoltaic_ppa_2,1,4.002764756056666e6,2100.4663750695863,0.21754055261801994
solar_photovoltaic_ppa_3,1,2.493029125576548e6,1562.925929225879,0.1820894775700324
Battery,1,677372.0077627682,726.0,0.0
Battery_exp,1,0.0,0.0,0.0
Battery_ppa_1,1,826116.7677942716,738.9767100015777,0.0
Battery_ppa_2,1,1.3322576838945986e6,889.7927487375586,0.0
Battery_ppa_3,1,1.0553773609278598e6,1127.739533011988,0.0
Flexible_demand_1,1,1.7401412136855267e6,200.0,0.0
Flexible_demand_2,1,1.74620475869899e6,200.0,0.0
Flexible_demand_3,1,1.73017194486528e6,200.0,0.0
Coal_retrofit_1,1,0.0,0.0,0.0
Coal_retrofit_2,1,0.0,0.0,0.0
Coal_retrofit_3,1,0.0,0.0,0.0
Coal_retrofit_4,1,0.0,0.0,0.0
Coal_retrofit_5,1,0.0,0.0,0.0
Coal_retrofit_6,1,0.0,0.0,0.0
Coal_retrofit_7,1,0.0,0.0,0.0
Coal_retrofit_8,1,0.0,0.0,0.0
Coal_retrofit_9,1,0.0,0.0,0.0
Coal_retrofit_10,1,0.0,0.0,0.0
Coal_retrofit_11,1,0.0,0.0,0.0
Coal_retrofit_12,1,0.0,0.0,0.0
