BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.94544783324398e8,3.8911238203794984e6,-4.5983315684033185e6,5.216517917249806e6,-5.216517917249793e6,0.0,0.0,0.0,0.0,-3.9383757557637346e8
t1,38733.32100091723,0.0,-238.41508130455125,600.0000000000001,-1459.3359196126787,0.0,0.0,0.0,0.0,-37635.57
t2,39070.82502784009,0.0,-223.81129163659256,600.0000000000001,-1631.443736203491,0.0,0.0,0.0,0.0,-37815.57
t3,39223.50086776381,0.0,-212.1464867534279,600.0000000000001,-1753.7843810103784,0.0,0.0,0.0,0.0,-37857.57
t4,39502.85722097188,0.0,-143.4549536444978,600.0000000000001,-1976.8322673273688,0.0,0.0,0.0,0.0,-37982.57
t5,39829.00163364313,125.00821301221693,-24.126214331566253,600.0000000000001,-2069.313632323784,0.0,0.0,0.0,0.0,-38460.57
t6,40991.96489895657,86.14260717380246,-58.97519058827307,600.0000000000001,-2215.562315542095,0.0,0.0,0.0,0.0,-39403.57
t7,40637.16463215082,843.0404222981734,-87.56922238864789,600.0000000000001,-1490.065832060342,0.0,0.0,0.0,0.0,-40502.57
t8,40405.95694419927,1217.7929047469393,-102.75980178259701,600.0000000000001,-1085.4200471636161,0.0,0.0,0.0,0.0,-41035.57
t9,40408.42666924831,1331.4970409666223,-164.38107147786965,600.0000000000001,-618.9726387370531,0.0,0.0,0.0,0.0,-41556.57
t10,43208.8587903375,139.11763066532365,-272.4035876688405,600.0000000000001,-1295.0028333339874,0.0,0.0,0.0,0.0,-42380.57
t11,43586.64094045299,230.55961425029332,-949.3515301618718,600.0000000000001,-595.2790245414145,0.0,0.0,0.0,0.0,-42872.57
t12,45143.288675585245,82.22810331683523,-2342.363786737553,600.0000000000001,-562.5829921645479,0.0,0.0,0.0,0.0,-42920.57
t13,45870.94697044054,0.0,-3195.084627460281,384.98494489468453,-563.2772878749571,0.0,0.0,0.0,0.0,-42497.57
t14,45187.84856322539,0.0,-3200.2785632253876,600.0000000000001,-600.0000000000001,0.0,0.0,0.0,0.0,-41987.57
t15,43528.25773609158,0.0,-1978.9948272749104,48.30709118331508,-0.0,0.0,0.0,0.0,0.0,-41597.57
t16,42355.62169603888,0.0,-1119.6365751455623,387.8751703587409,-1.2902912520547694,0.0,0.0,0.0,0.0,-41622.57
t17,42313.57241990311,0.0,-0.30282686884812143,600.0000000000001,-452.6995930342711,0.0,0.0,0.0,0.0,-42460.57
t18,43120.54714205317,1040.9040206362192,-0.0,600.0000000000001,-55.88116268938242,0.0,0.0,0.0,0.0,-44705.57
t19,43336.24858694059,2129.5599109635887,-0.0,600.0000000000001,-0.238497904162806,0.0,0.0,0.0,0.0,-46065.57
t20,43773.486265611115,1536.0837343888918,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-45909.57
t21,43673.47834290008,1229.0916570998966,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-45502.57
t22,43143.53001515697,803.039984843037,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-44546.57
t23,41890.27700634151,370.8611682827739,-0.0,600.0000000000001,-32.56817462427843,0.0,0.0,0.0,0.0,-42828.57
t24,41708.77612789164,0.0,-794.4597200475345,600.0000000000001,-419.7464078441044,0.0,0.0,0.0,0.0,-41094.57
t25,41113.82513246903,0.0,-1450.3479808780355,600.0000000000001,-433.90715159100046,0.0,0.0,0.0,0.0,-39829.57
t26,40576.721719990914,0.0,-1691.3922912477228,600.0000000000001,-333.75942874319026,0.0,0.0,0.0,0.0,-39151.57
t27,39430.60161308202,0.0,-568.9548241427683,600.0000000000001,-455.07678893925487,0.0,0.0,0.0,0.0,-39006.57
t28,39434.48183552274,0.0,-0.0,600.0000000000001,-625.9118355227399,0.0,0.0,0.0,0.0,-39408.57
