Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.6181583820704691e7
TX_W,conventional_steam_coal_1,1,1,1.031092832892751e7
TX_W,conventional_steam_coal_2,1,2,1.2468893974503016e7
TX_W,conventional_steam_coal_3,1,3,2.730676225736166e7
TX_FW,conventional_steam_coal_4,1,4,1.6195131616879594e7
TX_FW,conventional_steam_coal_5,1,5,1.5699956719796658e7
TX_FW,conventional_steam_coal_6,1,6,0.0
TX_FW,conventional_steam_coal_7,1,7,0.0
TX_FW,conventional_steam_coal_8,1,8,9.690405056375998e7
TX_FW,conventional_steam_coal_9,1,9,0.0
TX_NC,conventional_steam_coal_10,1,10,0.0
TX_W,conventional_steam_coal_11,1,11,0.0
TX_FW,conventional_steam_coal_12,1,12,1.5256139440415806e8
TX,natural_gas_fired_combined_cycle,1,1,7.062857940619138e7
TX,natural_gas_fired_combined_cycle_1,1,2,2.6312731192646903e8
TX,natural_gas_fired_combined_cycle_2,1,3,9.85367942742605e8
TX,natural_gas_fired_combined_cycle_3,1,4,1.0928471412395541e8
TX,natural_gas_fired_combined_cycle_4,1,5,4.1152468841908254e7
TX,natural_gas_fired_combined_cycle_5,1,6,8.036192526987948e8
TX,natural_gas_fired_combined_cycle_6,1,7,1.5738474998204705e8
TX,natural_gas_fired_combined_cycle_7,1,8,1.6880228023027578e8
TX,natural_gas_fired_combined_cycle_8,1,9,1.8053594067321417e9
TX,natural_gas_fired_combined_cycle_9,1,10,8.579288321269129e7
TX,natural_gas_fired_combined_cycle_10,1,11,2.2492402734790444e7
TX,natural_gas_fired_combined_cycle_11,1,12,1.4799980427224198e8
TX,natural_gas_fired_combined_cycle_12,1,13,1.3679309867744526e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.3808423654726362e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.2211250081553917e8
TX,natural_gas_fired_combustion_turbine,1,16,3.7877264739819184e7
TX,natural_gas_fired_combustion_turbine_1,1,17,1.2978984090757307e8
TX,natural_gas_fired_combustion_turbine_2,1,18,3.408726244504807e6
TX,natural_gas_fired_combustion_turbine_3,1,19,8.520535930230686e6
TX,natural_gas_fired_combustion_turbine_4,1,20,5.781528695822569e6
TX,natural_gas_fired_combustion_turbine_5,1,21,522231.29295309563
TX,natural_gas_fired_combustion_turbine_6,1,22,2.0120106053922035e7
TX,natural_gas_fired_combustion_turbine_7,1,23,4.9915908903837465e7
TX,natural_gas_fired_combustion_turbine_8,1,24,1.010268798405682e8
TX,natural_gas_fired_combustion_turbine_9,1,25,4.2087694435823865e7
TX,natural_gas_fired_combustion_turbine_10,1,26,2.64361413554588e7
TX,natural_gas_fired_combustion_turbine_11,1,27,9.338526979820218e6
