Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,529853.7230357133,69.0,0.8766026785714328
conventional_steam_coal_1,1,134382.34520447595,116.75311725612625,0.13139221227091405
conventional_steam_coal_2,1,166034.2794942275,144.38762006091628,0.1312694597069606
conventional_steam_coal_3,1,388150.81551630324,247.95420816021206,0.1787001485267489
conventional_steam_coal_4,1,214391.61533205304,186.76723179093636,0.13103973569769156
conventional_steam_coal_5,1,208841.57027198054,181.51193631584695,0.13134321845209082
conventional_steam_coal_6,1,0.0,0.0,0.0
conventional_steam_coal_7,1,0.0,0.0,0.0
conventional_steam_coal_8,1,1.6032893201704368e6,795.6961791745107,0.23001731035896544
conventional_steam_coal_9,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_10,1,0.0,-5.551115123125783e-14,0.0
conventional_steam_coal_11,1,0.0,0.0,0.0
conventional_steam_coal_12,1,3.317928816895307e6,1008.0,0.37575297357388937
natural_gas_fired_combined_cycle,1,564505.7468663694,780.0,0.08261704526202628
natural_gas_fired_combined_cycle_1,1,4.1712396480333623e6,2121.0,0.22450207901596075
natural_gas_fired_combined_cycle_2,1,2.9306527556687336e7,4644.0,0.7203906144100979
natural_gas_fired_combined_cycle_3,1,2.1747204770332607e6,746.0,0.3327825230809791
natural_gas_fired_combined_cycle_4,1,241255.65147227127,704.0,0.03912016972036388
natural_gas_fired_combined_cycle_5,1,2.2212009044450883e7,4029.0,0.6293416408110556
natural_gas_fired_combined_cycle_6,1,1.3777077900414765e6,1740.0,0.09038653952405695
natural_gas_fired_combined_cycle_7,1,3.843404191770178e6,1031.0,0.42555263894279655
natural_gas_fired_combined_cycle_8,1,5.6693779196465336e7,8055.999999999999,0.803363034053658
natural_gas_fired_combined_cycle_9,1,1.9286127506221328e6,532.0,0.41383697913923195
natural_gas_fired_combined_cycle_10,1,201941.94545058618,237.0,0.0972689177169853
natural_gas_fired_combined_cycle_11,1,2.4167600362254786e6,1188.0,0.23222714552541152
natural_gas_fired_combined_cycle_12,1,2.367611148937328e6,1026.0,0.2634261650219124
natural_gas_fired_combined_cycle_13,1,3.584439968909357e7,7481.0,0.5469624981321601
natural_gas_fired_combined_cycle_14,1,2.4749367496142928e6,824.0,0.3428726046258242
natural_gas_fired_combustion_turbine,1,90272.19578530527,741.0,0.013906943564063416
natural_gas_fired_combustion_turbine_1,1,2.00801654701739e6,1073.0,0.21363059946054497
natural_gas_fired_combustion_turbine_2,1,5338.756730769233,81.0,0.007524038461538516
natural_gas_fired_combustion_turbine_3,1,42118.445083379636,180.0,0.02671134264547179
natural_gas_fired_combustion_turbine_4,1,33912.082035318184,91.0,0.04254112353268905
natural_gas_fired_combustion_turbine_5,1,704.085,13.0,0.006182692307692349
