BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.9633295675896925e8,2.0791153823756913e6,-4.574496564971326e6,5.185187361804531e6,-5.185187361804514e6,0.0,0.0,0.0,0.0,-3.9383757557637346e8
t1,38293.80904433331,0.0,-0.0,600.0000000000001,-1258.2390443333172,0.0,0.0,0.0,0.0,-37635.57
t2,38547.035642519164,0.0,-0.0,600.0000000000001,-1331.465642519168,0.0,0.0,0.0,0.0,-37815.57
t3,38659.023227439175,0.0,-0.0,600.0000000000001,-1401.4532274391768,0.0,0.0,0.0,0.0,-37857.57
t4,39050.94015801777,0.0,-0.0,600.0000000000001,-1668.3701580177567,0.0,0.0,0.0,0.0,-37982.57
t5,39825.44974633618,0.0,-0.0,600.0000000000001,-1964.8797463361668,0.0,0.0,0.0,0.0,-38460.57
t6,40884.72755829192,0.0,-0.0,600.0000000000001,-2081.157558291898,0.0,0.0,0.0,0.0,-39403.57
t7,41475.1250077299,262.7827759529759,-0.0,600.0000000000001,-1835.3377836828645,0.0,0.0,0.0,0.0,-40502.57
t8,41322.51378364368,583.4874541925441,-0.0,600.0000000000001,-1470.4312378362151,0.0,0.0,0.0,0.0,-41035.57
t9,41403.08128209232,569.8311778705288,-0.0,600.0000000000001,-1016.3424599628397,0.0,0.0,0.0,0.0,-41556.57
t10,42707.28107761351,0.0,-0.0,600.0000000000001,-926.7110776134983,0.0,0.0,0.0,0.0,-42380.57
t11,42680.223319689736,0.0,-0.0,600.0000000000001,-407.65331968972544,0.0,0.0,0.0,0.0,-42872.57
t12,44235.909041643936,0.0,-726.0,600.0000000000001,-1189.3390416439452,0.0,0.0,0.0,0.0,-42920.57
t13,43663.111078631075,0.0,-726.0,400.0,-839.5410786310786,0.0,0.0,0.0,0.0,-42497.57
t14,43686.64441302425,0.0,-726.0,600.0000000000001,-1573.0744130242592,0.0,0.0,0.0,0.0,-41987.57
t15,41397.633130434784,0.0,-0.0631304347826863,200.0,-0.0,0.0,0.0,0.0,0.0,-41597.57
t16,41213.10410728918,0.0,-0.0631304347826863,409.5290231456232,-0.0,0.0,0.0,0.0,0.0,-41622.57
t17,41915.66629885918,0.0,-0.0631304347826863,600.0000000000001,-55.033168424383085,0.0,0.0,0.0,0.0,-42460.57
t18,44947.57240218481,0.0,-0.0,600.0000000000001,-842.0024021847958,0.0,0.0,0.0,0.0,-44705.57
t19,44421.69237066565,1439.14211397518,-0.0,600.0000000000001,-395.2644846408313,0.0,0.0,0.0,0.0,-46065.57
t20,44889.13737796804,1101.7210353646435,-0.0,600.0000000000001,-681.2884133326814,0.0,0.0,0.0,0.0,-45909.57
t21,45002.837610640614,609.5155463153417,-0.0,600.0000000000001,-709.7831569559545,0.0,0.0,0.0,0.0,-45502.57
t22,44134.76732211235,0.0,-0.0,600.0000000000001,-188.19732211234813,0.0,0.0,0.0,0.0,-44546.57
t23,42451.73240689151,0.0,-0.0,600.0000000000001,-223.1624068915043,0.0,0.0,0.0,0.0,-42828.57
t24,40885.27376224311,0.0,-126.09743019252073,600.0000000000001,-264.6063320505798,0.0,0.0,0.0,0.0,-41094.57
t25,39999.72712411373,0.0,-726.0,600.0000000000001,-44.157124113717195,0.0,0.0,0.0,0.0,-39829.57
t26,39327.89831282699,0.0,-726.0,600.0000000000001,-50.32831282697663,0.0,0.0,0.0,0.0,-39151.57
t27,38584.480500961916,0.0,-86.35858582933518,600.0000000000001,-91.55191513257832,0.0,0.0,0.0,0.0,-39006.57
t28,39027.83281378799,0.0,-0.0,600.0000000000001,-219.26281378797773,0.0,0.0,0.0,0.0,-39408.57
t29,40571.54785765763,0.0,-0.0,600.0000000000001,-504.9778576576174,0.0,0.0,0.0,0.0,-40666.57
t30,42865.41035522845,0.0,-0.0,600.0000000000001,-353.8403552284487,0.0,0.0,0.0,0.0,-43111.57
t31,45029.14634428031,566.4683389826855,-0.0,600.0000000000001,-232.04468326299494,0.0,0.0,0.0,0.0,-45963.57
t32,45598.61656338302,1913.953436616968,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-48112.57
t33,46555.65152943361,2098.9184705663793,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-49254.57
t34,49744.08315387616,184.9650339494111,-0.0,600.0000000000001,-127.47818782558484,0.0,0.0,0.0,0.0,-50401.57
t35,51019.64066406225,0.0,-0.0,600.0000000000001,-202.07066406224297,0.0,0.0,0.0,0.0,-51417.57
t36,51505.024959171125,0.0,-0.0,600.0000000000001,-105.45495917112173,0.0,0.0,0.0,0.0,-51999.57
t37,51559.56999999999,0.0,-0.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-52159.57
t38,51826.83778162313,0.0,-226.26778162312888,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-52200.57
t39,52132.57,0.0,-726.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-52006.57
t40,52016.56999999999,0.0,-726.0,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-51890.57
t41,51562.91176546222,0.0,-37.34176546222347,600.0000000000001,-0.0,0.0,0.0,0.0,0.0,-52125.57
