region,Technology,Resource_Type,Existing_Cap_MW,Cap_Size,CapRes,Commit,cluster,Down_Time,DR,Eff_Down,Eff_Up,ESR_1,ESR_2,ESR_3,Existing_Cap_MWh,Existing_Charge_Cap_MW,Fixed_OM_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fuel,Heat_Rate_MMBTU_per_MWh,HYDRO,Hydro_Energy_to_Power_Ratio,Hydro_level,Inv_Cost_Charge_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_per_MWyr,LDS,MaxCapTag,MaxCapTag_1,MaxCapTag_2,MinCapTag,MinCapTag_1,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Max_Duration,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Min_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Min_Power,MUST_RUN,New_Build,Num_VRE_Bins,plant_inv_cost_mwyr,Ramp_Dn_Percentage,Ramp_Up_Percentage,Ratio_power_to_energy,Reg_Cost,Reg_Max,Rsv_Max,Resource,RPS,Rsv_Cost,Self_Disch,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,STOR,THERM,Up_Time,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE,Zone,FLEX,RETRO
TX,Biomass,Biomass,69,1.559,0.9,1,1,1,0,1,1,0,0,0,0,0,0,0,158822.98,None,13.899,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.582,0,0,0,0,1,1,1,0,0.3,0.3,biomass,0,0,0,0,0,0,1,1,5.20142,0,0,1,0,0
TX_W,Conventional Steam Coal,Conventional Steam Coal,460,200,0.9,1,1,24,0,1,1,0,0,0,0,0,0,0,66305.41574,coal,10.878,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0.31,0,2,0,0,0.57,0.57,1,0,0.3,0.3,conventional_steam_coal_1,0,0,0,120,16.5,0,1,24,1.93238,0,0,1,0,0
TX_W,Conventional Steam Coal,Conventional Steam Coal,566,200,0.9,1,2,24,0,1,1,0,0,0,0,0,0,0,66305.41574,coal,10.878,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0.31,0,2,0,0,0.57,0.57,1,0,0.3,0.3,conventional_steam_coal_2,0,0,0,120,16.5,0,1,24,1.93238,0,0,1,0,0
TX_W,Conventional Steam Coal,Conventional Steam Coal,878,200,0.9,1,3,24,0,1,1,0,0,0,0,0,0,0,66305.41574,coal,9.572,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0.31,0,2,0,0,0.57,0.57,1,0,0.3,0.3,conventional_steam_coal_3,0,0,0,120,16.5,0,1,24,1.93238,0,0,1,0,0
TX_FW,Conventional Steam Coal,Conventional Steam Coal,893,200,0.9,1,4,24,0,1,1,0,0,0,0,0,0,0,66305.41574,coal,10.878,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0.31,0,2,0,0,0.57,0.57,1,0,0.3,0.3,conventional_steam_coal_4,0,0,0,120,16.5,0,1,24,1.93238,0,0,1,0,0
TX_FW,Conventional Steam Coal,Conventional Steam Coal,957,200,0.9,1,5,24,0,1,1,0,0,0,0,0,0,0,66305.41574,coal,10.878,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0.31,0,2,0,0,0.57,0.57,1,0,0.3,0.3,conventional_steam_coal_5,0,0,0,120,16.5,0,1,24,1.93238,0,0,1,0,0
TX_FW,Conventional Steam Coal,Conventional Steam Coal,174.6,200,0.9,1,6,24,0,1,1,0,0,0,0,0,0,0,66305.41574,coal,12.618,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0.31,0,2,0,0,0.57,0.57,1,0,0.3,0.3,conventional_steam_coal_6,0,0,0,120,16.5,0,1,24,1.93238,0,0,1,0,0
TX_FW,Conventional Steam Coal,Conventional Steam Coal,174.6,200,0.9,1,7,24,0,1,1,0,0,0,0,0,0,0,66305.41574,coal,12.618,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0.31,0,2,0,0,0.57,0.57,1,0,0.3,0.3,conventional_steam_coal_7,0,0,0,120,16.5,0,1,24,1.93238,0,0,1,0,0
TX_FW,Conventional Steam Coal,Conventional Steam Coal,916.8,200,0.9,1,8,24,0,1,1,0,0,0,0,0,0,0,66305.41574,coal,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0.31,0,2,0,0,0.57,0.57,1,0,0.3,0.3,conventional_steam_coal_8,0,0,0,120,16.5,0,1,24,1.93238,0,0,1,0,0
TX_FW,Conventional Steam Coal,Conventional Steam Coal,878.6,200,0.9,1,9,24,0,1,1,0,0,0,0,0,0,0,66305.41574,coal,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0.31,0,2,0,0,0.57,0.57,1,0,0.3,0.3,conventional_steam_coal_9,0,0,0,120,16.5,0,1,24,1.93238,0,0,1,0,0
