,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
0,50000,1,1,1,1,8760,1,1,40635.57
1,,,,,,,,2,40815.57
2,,,,,,,,3,40857.57
3,,,,,,,,4,40982.57
4,,,,,,,,5,41460.57
5,,,,,,,,6,42403.57
6,,,,,,,,7,43502.57
7,,,,,,,,8,44035.57
8,,,,,,,,9,44556.57
9,,,,,,,,10,45380.57
10,,,,,,,,11,45872.57
11,,,,,,,,12,45920.57
12,,,,,,,,13,45497.57
13,,,,,,,,14,44987.57
14,,,,,,,,15,44597.57
15,,,,,,,,16,44622.57
16,,,,,,,,17,45460.57
17,,,,,,,,18,47705.57
18,,,,,,,,19,49065.57
19,,,,,,,,20,48909.57
20,,,,,,,,21,48502.57
21,,,,,,,,22,47546.57
22,,,,,,,,23,45828.57
23,,,,,,,,24,44094.57
24,,,,,,,,25,42829.57
25,,,,,,,,26,42151.57
26,,,,,,,,27,42006.57
27,,,,,,,,28,42408.57
28,,,,,,,,29,43666.57
29,,,,,,,,30,46111.57
30,,,,,,,,31,48963.57
31,,,,,,,,32,51112.57
32,,,,,,,,33,52254.57
33,,,,,,,,34,53401.57
34,,,,,,,,35,54417.57
35,,,,,,,,36,54999.57
36,,,,,,,,37,55159.57
37,,,,,,,,38,55200.57
38,,,,,,,,39,55006.57
39,,,,,,,,40,54890.57
40,,,,,,,,41,55125.57
41,,,,,,,,42,56479.57
42,,,,,,,,43,57047.57
43,,,,,,,,44,56066.57
44,,,,,,,,45,54783.57
45,,,,,,,,46,52909.57
46,,,,,,,,47,50309.57
47,,,,,,,,48,47937.57
48,,,,,,,,49,46096.57
49,,,,,,,,50,45057.57
50,,,,,,,,51,44668.57
51,,,,,,,,52,44626.57
52,,,,,,,,53,45619.57
53,,,,,,,,54,47671.57
54,,,,,,,,55,50252.57
55,,,,,,,,56,51958.57
56,,,,,,,,57,52393.57
57,,,,,,,,58,52607.57
58,,,,,,,,59,52739.57
59,,,,,,,,60,52247.57
60,,,,,,,,61,51185.57
61,,,,,,,,62,49989.57
62,,,,,,,,63,48878.57
63,,,,,,,,64,48183.57
64,,,,,,,,65,48429.57
65,,,,,,,,66,50192.57
66,,,,,,,,67,52303.57
67,,,,,,,,68,52524.57
68,,,,,,,,69,52355.57
69,,,,,,,,70,51461.57
70,,,,,,,,71,49693.57
71,,,,,,,,72,47840.57
72,,,,,,,,73,46696.57
73,,,,,,,,74,46142.57
74,,,,,,,,75,45992.57
75,,,,,,,,76,46361.57
76,,,,,,,,77,47346.57
77,,,,,,,,78,49692.57
78,,,,,,,,79,52534.57
79,,,,,,,,80,53889.57
80,,,,,,,,81,53009.57
81,,,,,,,,82,50798.57
82,,,,,,,,83,48706.57
83,,,,,,,,84,46492.57
84,,,,,,,,85,44343.57
85,,,,,,,,86,42775.57
86,,,,,,,,87,41518.57
87,,,,,,,,88,40610.57
88,,,,,,,,89,40299.57
89,,,,,,,,90,41520.57
90,,,,,,,,91,43745.57
91,,,,,,,,92,44124.57
92,,,,,,,,93,44321.57
93,,,,,,,,94,44173.57
94,,,,,,,,95,43367.57
95,,,,,,,,96,42211.57
96,,,,,,,,97,41366.57
97,,,,,,,,98,41060.57
98,,,,,,,,99,41128.57
99,,,,,,,,100,41622.57
100,,,,,,,,101,42504.57
101,,,,,,,,102,43997.57
102,,,,,,,,103,45938.57
103,,,,,,,,104,47543.57
104,,,,,,,,105,47505.57
105,,,,,,,,106,45629.57
106,,,,,,,,107,43415.57
107,,,,,,,,108,41342.57
108,,,,,,,,109,39734.57
109,,,,,,,,110,38618.57
110,,,,,,,,111,37887.57
111,,,,,,,,112,37481.57
112,,,,,,,,113,37405.57
113,,,,,,,,114,38342.57
114,,,,,,,,115,40204.57
115,,,,,,,,116,40234.57
116,,,,,,,,117,39837.57
117,,,,,,,,118,39602.57
118,,,,,,,,119,38864.57
119,,,,,,,,120,38036.57
120,,,,,,,,121,37004.57
121,,,,,,,,122,36411.57
122,,,,,,,,123,36192.57
123,,,,,,,,124,36344.57
124,,,,,,,,125,36874.57
125,,,,,,,,126,37811.57
126,,,,,,,,127,39202.57
127,,,,,,,,128,40287.57
128,,,,,,,,129,40919.57
129,,,,,,,,130,40541.57
130,,,,,,,,131,39630.57
131,,,,,,,,132,39000.57
132,,,,,,,,133,38506.57
133,,,,,,,,134,38183.57
134,,,,,,,,135,37807.57
135,,,,,,,,136,37701.57
136,,,,,,,,137,37915.57
137,,,,,,,,138,39010.57
138,,,,,,,,139,40845.57
139,,,,,,,,140,40819.57
140,,,,,,,,141,40126.57
141,,,,,,,,142,38934.57
142,,,,,,,,143,37037.57
143,,,,,,,,144,34924.57
144,,,,,,,,145,33411.57
145,,,,,,,,146,32334.57
146,,,,,,,,147,31950.57
147,,,,,,,,148,31888.57
148,,,,,,,,149,32684.57
