Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.827037931541327e7
TX_W,conventional_steam_coal_1,1,1,5.475369278811546e7
TX_W,conventional_steam_coal_2,1,2,6.730779768326066e7
TX_W,conventional_steam_coal_3,1,3,1.2204294159032504e8
TX_FW,conventional_steam_coal_4,1,4,1.0668837898989782e8
TX_FW,conventional_steam_coal_5,1,5,1.145232056508984e8
TX_FW,conventional_steam_coal_6,1,6,1.3146019849684801e7
TX_FW,conventional_steam_coal_7,1,7,1.0755575176384827e7
TX_FW,conventional_steam_coal_8,1,8,1.4049075075628546e8
TX_FW,conventional_steam_coal_9,1,9,1.348433459963479e8
TX_NC,conventional_steam_coal_10,1,10,3.67741052914651e7
TX_W,conventional_steam_coal_11,1,11,3.259336201983884e7
TX_FW,conventional_steam_coal_12,1,12,2.112728517033333e8
TX,natural_gas_fired_combined_cycle,1,1,9.315554327429204e7
TX,natural_gas_fired_combined_cycle_1,1,2,3.383986695490386e8
TX,natural_gas_fired_combined_cycle_2,1,3,1.1584731469442117e9
TX,natural_gas_fired_combined_cycle_3,1,4,1.4138047604690796e8
TX,natural_gas_fired_combined_cycle_4,1,5,5.5945147726410985e7
TX,natural_gas_fired_combined_cycle_5,1,6,9.604214662050205e8
TX,natural_gas_fired_combined_cycle_6,1,7,2.047179043610382e8
TX,natural_gas_fired_combined_cycle_7,1,8,2.2333944167079628e8
TX,natural_gas_fired_combined_cycle_8,1,9,2.0849086205250378e9
TX,natural_gas_fired_combined_cycle_9,1,10,1.1093935883676082e8
TX,natural_gas_fired_combined_cycle_10,1,11,3.1006789363516923e7
TX,natural_gas_fired_combined_cycle_11,1,12,1.853676077651498e8
TX,natural_gas_fired_combined_cycle_12,1,13,1.7820510413904348e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.7331557522534902e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.4965624121723554e8
TX,natural_gas_fired_combustion_turbine,1,16,5.089930771523599e7
TX,natural_gas_fired_combustion_turbine_1,1,17,1.6274920045707124e8
TX,natural_gas_fired_combustion_turbine_2,1,18,4.502016307435933e6
TX,natural_gas_fired_combustion_turbine_3,1,19,1.0685042352359641e7
TX,natural_gas_fired_combustion_turbine_4,1,20,8.65417734244358e6
TX,natural_gas_fired_combustion_turbine_5,1,21,700654.4690857814
TX,natural_gas_fired_combustion_turbine_6,1,22,2.7429479741223857e7
TX,natural_gas_fired_combustion_turbine_7,1,23,7.413151085010128e7
TX,natural_gas_fired_combustion_turbine_8,1,24,1.3528720693115467e8
TX,natural_gas_fired_combustion_turbine_9,1,25,5.5495062512671694e7
TX,natural_gas_fired_combustion_turbine_10,1,26,4.0030953602934964e7
TX,natural_gas_fired_combustion_turbine_11,1,27,1.2233216438593054e7
TX,natural_gas_fired_combustion_turbine_12,1,28,4.248154705026373e7
TX,natural_gas_fired_combustion_turbine_13,1,29,2.9101910904269447e6
TX,natural_gas_fired_combustion_turbine_14,1,30,3.5654917911433324e7
TX,natural_gas_fired_combustion_turbine_15,1,31,4.9653611923363e6
TX,natural_gas_steam_turbine,1,32,1.1741436529889423e8
TX,natural_gas_steam_turbine_1,1,33,6.752758432986756e7
TX,natural_gas_steam_turbine_2,1,34,1.3205190717550854e6
TX,natural_gas_steam_turbine_3,1,35,1.9708961035284194e8
TX,natural_gas_steam_turbine_4,1,36,1.367284062066009e7
TX,natural_gas_steam_turbine_5,1,37,1.4074788001677586e7
TX,natural_gas_steam_turbine_6,1,38,3.9328824775929743e8
TX,natural_gas_steam_turbine_7,1,39,1.3356777113916668e8
TX,natural_gas_steam_turbine_8,1,40,1.244289016364995e8
TX,natural_gas_steam_turbine_9,1,41,7.592111521044053e7
TX,natural_gas_steam_turbine_10,1,42,2.723492016550307e7
TX,natural_gas_steam_turbine_11,1,43,3.928333955213703e7
TX,natural_gas_steam_turbine_12,1,44,5.224921514279206e6
TX,natural_gas_steam_turbine_13,1,45,2.3644527978586215e8
TX,natural_gas_steam_turbine_14,1,46,6.4496865518211655e7
TX,natural_gas_steam_turbine_15,1,47,2.6755209976058647e7
TX,natural_gas_steam_turbine_16,1,48,1.6616213567917626e7
TX,natural_gas_steam_turbine_17,1,49,1.0260687806058897e7
TX,nuclear,1,1,7.044098732453676e8
TX,nuclear_1,1,2,6.876382095966684e8
TX,onshore_wind_turbine,1,1,2.5128959889816294e9
TX,onshore_wind_turbine_exp,1,2,0.0
TX_W,onshore_wind_turbine_ppa_1,1,2,1.446679294023393e8
TX_FW,onshore_wind_turbine_ppa_2,1,2,0.0
TX_NC,onshore_wind_turbine_ppa_3,1,2,1.9078652760515116e7
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,6.275390820000002e8
TX,solar_photovoltaic_exp,1,2,8.817274588335439e8
TX_W,solar_photovoltaic_ppa_1,1,2,0.0
TX_FW,solar_photovoltaic_ppa_2,1,2,0.0
TX_NC,solar_photovoltaic_ppa_3,1,2,0.0
TX,Battery,1,1,8.825483915184522e7
TX,Battery_exp,1,2,1.9167340415880293e7
TX_W,Battery_ppa_1,1,1,1.9445192195351236e7
TX_FW,Battery_ppa_2,1,2,1.9506123002320234e7
TX_NC,Battery_ppa_3,1,3,1.988972787011963e7
TX_W,Flexible_demand_1,1,3,0.0
TX_FW,Flexible_demand_2,1,3,0.0
TX_NC,Flexible_demand_3,1,3,0.0
TX_W,Coal_retrofit_1,1,1,0.0
TX_W,Coal_retrofit_2,1,2,0.0
TX_W,Coal_retrofit_3,1,3,0.0
TX_FW,Coal_retrofit_4,1,4,0.0
TX_FW,Coal_retrofit_5,1,5,0.0
TX_FW,Coal_retrofit_6,1,6,0.0
TX_FW,Coal_retrofit_7,1,7,0.0
TX_FW,Coal_retrofit_8,1,8,0.0
TX_FW,Coal_retrofit_9,1,9,0.0
TX_NC,Coal_retrofit_10,1,10,0.0
TX_W,Coal_retrofit_11,1,11,0.0
TX_FW,Coal_retrofit_12,1,12,0.0
