Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,525103.388324376,69.0,0.868743611151445
conventional_steam_coal_1,1,536057.6592182075,460.0,0.13302999285740794
conventional_steam_coal_2,1,664482.7528660273,566.0,0.1340180133085725
conventional_steam_coal_3,1,1.6091311562975112e6,878.0,0.2092150014428706
conventional_steam_coal_4,1,1.0549305158442217e6,893.0,0.13485538406840478
conventional_steam_coal_5,1,1.1243978740095028e6,957.0,0.1341232201573494
conventional_steam_coal_6,1,44728.491868445075,174.6,0.02924394170919399
conventional_steam_coal_7,1,44626.93632847912,174.6,0.029177543666985346
conventional_steam_coal_8,1,2.1834830273275953e6,916.8,0.27187614893968226
conventional_steam_coal_9,1,2.100774000889675e6,878.6,0.2729505846382956
conventional_steam_coal_10,1,122494.5041220788,614.6,0.022752019006696936
conventional_steam_coal_11,1,131868.72296891714,410.0,0.03671587119081134
conventional_steam_coal_12,1,4.820805251936412e6,1008.0,0.5459526133326589
natural_gas_fired_combined_cycle,1,775988.6262782799,780.0,0.11356817502023843
natural_gas_fired_combined_cycle_1,1,5.392231345077819e6,2121.0,0.2902175970819019
natural_gas_fired_combined_cycle_2,1,3.197804320354239e7,4644.0,0.786059765916413
natural_gas_fired_combined_cycle_3,1,2.828985276069041e6,746.0,0.43290016711182006
natural_gas_fired_combined_cycle_4,1,181547.3972098181,704.0,0.029438336253667773
natural_gas_fired_combined_cycle_5,1,2.5063609388046097e7,4029.0,0.7101371616297331
natural_gas_fired_combined_cycle_6,1,1.6822103588434048e6,1740.0,0.11036387700384559
natural_gas_fired_combined_cycle_7,1,5.224956267339918e6,1031.0,0.5785220125138905
natural_gas_fired_combined_cycle_8,1,5.971282040004735e7,8055.999999999999,0.8461434966655749
natural_gas_fired_combined_cycle_9,1,2.4938367602510503e6,532.0,0.5351213565272486
natural_gas_fired_combined_cycle_10,1,328286.058142717,237.0,0.15812479921330136
natural_gas_fired_combined_cycle_11,1,2.8565842509274352e6,1188.0,0.2744899769121441
natural_gas_fired_combined_cycle_12,1,3.128635337635595e6,1026.0,0.34809956403326475
natural_gas_fired_combined_cycle_13,1,4.4383307025531285e7,7481.0,0.6772607351947854
natural_gas_fired_combined_cycle_14,1,2.857813797871573e6,824.0,0.3959155968590116
natural_gas_fired_combustion_turbine,1,124505.00912264184,741.0,0.01918070254355811
natural_gas_fired_combustion_turbine_1,1,2.3661580988178225e6,1073.0,0.25173287233100533
natural_gas_fired_combustion_turbine_2,1,5402.110302197804,81.0,0.007613324175824229
natural_gas_fired_combustion_turbine_3,1,27174.350274725282,180.0,0.017233859890110007
natural_gas_fired_combustion_turbine_4,1,51120.050681109205,91.0,0.06412771674583465
natural_gas_fired_combustion_turbine_5,1,813.0375,13.0,0.007139423076923125
natural_gas_fired_combustion_turbine_6,1,101471.54278996788,354.0,0.03272177810991427
natural_gas_fired_combustion_turbine_7,1,869470.2186523497,557.0,0.17819495721788187
natural_gas_fired_combustion_turbine_8,1,305985.5245456259,1539.0,0.022696461598561295
natural_gas_fired_combustion_turbine_9,1,90292.14328021577,846.0,0.012183596090144376
natural_gas_fired_combustion_turbine_10,1,347865.8153131309,336.0,0.11818663544830849
natural_gas_fired_combustion_turbine_11,1,29633.992807070787,208.0,0.016263826400087254
