Resource,biomass,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,conventional_steam_coal_5,conventional_steam_coal_6,conventional_steam_coal_7,conventional_steam_coal_8,conventional_steam_coal_9,conventional_steam_coal_10,conventional_steam_coal_11,conventional_steam_coal_12,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,onshore_wind_turbine_exp,onshore_wind_turbine_ppa_1,onshore_wind_turbine_ppa_2,onshore_wind_turbine_ppa_3,small_hydroelectric,solar_photovoltaic,solar_photovoltaic_exp,solar_photovoltaic_ppa_1,solar_photovoltaic_ppa_2,solar_photovoltaic_ppa_3,Battery,Battery_exp,Battery_ppa_1,Battery_ppa_2,Battery_ppa_3,Flexible_demand_1,Flexible_demand_2,Flexible_demand_3,Coal_retrofit_1,Coal_retrofit_2,Coal_retrofit_3,Coal_retrofit_4,Coal_retrofit_5,Coal_retrofit_6,Coal_retrofit_7,Coal_retrofit_8,Coal_retrofit_9,Coal_retrofit_10,Coal_retrofit_11,Coal_retrofit_12,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,525103.388324376,536057.6592182075,664482.7528660273,1.6091311562975114e6,1.0549305158442217e6,1.1243978740095028e6,44728.491868445075,44626.93632847912,2.1834830273275953e6,2.100774000889675e6,122494.50412207881,131868.72296891714,4.820805251936412e6,775988.6262782799,5.392231345077819e6,3.197804320354239e7,2.8289852760690604e6,181547.39720981783,2.506360938804599e7,1.6822103588434048e6,5.224956267339918e6,5.971282040004735e7,2.4938367602510513e6,328286.058142717,2.8565842509274352e6,3.1286353376355944e6,4.4383307025531285e7,2.857813797871573e6,124505.00912264184,2.3661580988178225e6,5402.110302197804,27174.350274725286,51120.05068110918,813.0374999999999,101471.54278996788,869470.2186523483,305985.5245456259,90292.14328021578,347865.81531313097,29633.992807070787,108046.29896085906,3663.9171291208795,377128.7312031743,12001.621153846148,1.6099509679114795e6,739448.9543952671,5084.289658274376,2.8044063350584013e6,101807.13197614235,105809.35392836094,7.41886863442123e6,1.210247610396698e6,1.8197596015892639e6,1.3780250217181984e6,227661.62467774923,310913.4140271763,41696.741986476045,3.783738228828317e6,913218.7952577977,432914.09104438685,141830.91749402042,80138.84327936448,2.0971440000000093e7,2.047212000000004e7,9.401748783836181e7,0.0,4.746153174786235e6,0.0,548410.393789825,0.0,2.011172752335165e7,2.7701022702404957e7,0.0,0.0,0.0,746101.7792406193,149563.50070726124,156472.23751781258,157609.7615514925,158430.66619220847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2173453237290156e8
t1,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.85120544273616,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,3773.2442999999994,343.90600000000006,0.0,1885.5720000000001,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,42.73370701969776,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,15259.328,0.0,565.0037377425599,0.0,19.65771281515581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40870.86666302015
t2,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.85120544273616,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,3771.4442999999997,343.90600000000006,0.0,1885.5720000000001,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,42.73370701969776,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,15395.572,0.0,495.4429760606868,0.0,21.71709225293404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40937.809280776055
t3,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.85120544273616,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,3771.0242999999996,343.90600000000006,0.0,1885.5720000000001,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,42.73370701969776,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,15872.426000000001,0.0,471.3096505792208,0.0,20.406578065256987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41388.79944110691
t4,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.85120544273616,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,3844.8524820723587,343.90600000000006,0.0,1960.650182072359,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,42.73370701969776,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,15395.572,0.0,400.329281516085,0.0,13.105141876770542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40982.57000000001
t5,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.85120544273616,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3522.5759631667534,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3632.645663166754,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,42.73370701969776,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,13794.705,0.0,272.5646172024409,0.0,11.98184400161878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41460.57
t6,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.85120544273616,272.36600000000004,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3626.1,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,5100.398934753059,440.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,42.73370701969776,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,13181.607,0.0,262.6273655336019,0.0,6.739787250910564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42403.57000000001
t7,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.85120544273616,272.36600000000004,0.0,0.0,584.6400000000001,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3626.1,0.0,872.377878345366,7250.4,407.246,0.0,0.0,235.98,6732.900000000001,475.8055783453661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,42.73370701969776,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,11989.472,0.0,276.82343934622907,0.0,4.493191500607042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43502.57000000001
t8,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.85120544273616,272.36600000000004,0.0,0.0,888.8331024138525,0.0,0.0,4179.599999999999,507.653,0.0,3626.1,0.0,927.9,7250.4,478.8,0.0,0.0,235.98,6732.900000000001,590.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,144.07680241385245,0.0,42.73370701969776,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,11716.983999999999,0.0,259.78815077107646,0.0,9.548031938789965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44035.57000000001
