BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.203663544276921e8,1.3681779452093956e6,-1.6169567965278814e6,0.0,0.0,0.0,0.0,0.0,0.0,-4.2011757557637334e8
t1,40870.866663020155,0.0,-235.296663020147,0.0,-0.0,0.0,0.0,0.0,0.0,-40635.57
t2,40937.80928077605,0.0,-122.23928077605234,0.0,-0.0,0.0,0.0,0.0,0.0,-40815.57
t3,41388.79944110691,0.0,-531.2294411069105,0.0,-0.0,0.0,0.0,0.0,0.0,-40857.57
t4,40982.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40982.57
t5,41460.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41460.57
t6,42403.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42403.57
t7,43502.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43502.57
t8,44035.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44035.57
t9,44272.896221100156,283.67377889985426,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44556.57
t10,45380.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45380.57
t11,46079.369103731995,0.0,-206.7991037319811,0.0,-0.0,0.0,0.0,0.0,0.0,-45872.57
t12,47315.17022354484,0.0,-1394.6002235448464,0.0,-0.0,0.0,0.0,0.0,0.0,-45920.57
t13,46892.170223544854,0.0,-1394.6002235448464,0.0,-0.0,0.0,0.0,0.0,0.0,-45497.57
t14,46382.17022354485,0.0,-1394.6002235448464,0.0,-0.0,0.0,0.0,0.0,0.0,-44987.57
t15,44597.691269584655,0.0,-0.12126958465631725,0.0,-0.0,0.0,0.0,0.0,0.0,-44597.57
t16,44622.69126958466,0.0,-0.12126958465631725,0.0,-0.0,0.0,0.0,0.0,0.0,-44622.57
t17,45460.691269584655,0.0,-0.12126958465631725,0.0,-0.0,0.0,0.0,0.0,0.0,-45460.57
t18,47705.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47705.57
t19,47670.96977645515,1394.6002235448464,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49065.57
t20,48103.225482778485,806.3445172215208,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48909.57
t21,48048.82991916056,453.7400808394314,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48502.57
t22,47546.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47546.57
t23,45828.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45828.57
t24,44094.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44094.57
t25,42829.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42829.57
t26,42151.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42151.57
t27,42006.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42006.57
t28,42408.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42408.57
t29,43666.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43666.57
t30,46111.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46111.57
t31,48963.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48963.57
t32,50030.63767140005,1081.9323285999494,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51112.57
t33,50859.969776455146,1394.6002235448464,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52254.57
t34,53401.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-53401.57
t35,54417.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54417.57
t36,54999.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54999.57
t37,55159.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-55159.57
t38,55200.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-55200.57
t39,55555.91750786407,0.0,-549.3475078640745,0.0,-0.0,0.0,0.0,0.0,0.0,-55006.57
t40,55616.569999999985,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54890.57
t41,55965.41600968629,0.0,-839.846009686299,0.0,-0.0,0.0,0.0,0.0,0.0,-55125.57
t42,56083.965016481874,395.6049835181288,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-56479.57
t43,55652.96977645516,1394.6002235448464,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-57047.57
t44,56066.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-56066.57
t45,54783.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54783.57
t46,52909.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52909.57
t47,50309.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50309.57
t48,47937.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47937.57
t49,46272.46835839254,0.0,-175.8983583925414,0.0,-0.0,0.0,0.0,0.0,0.0,-46096.57
t50,46142.56599893501,0.0,-1084.9959989350118,0.0,-0.0,0.0,0.0,0.0,0.0,-45057.57
t51,45686.17277809642,0.0,-1017.6027780964123,0.0,-0.0,0.0,0.0,0.0,0.0,-44668.57
t52,46021.17022354484,0.0,-1394.6002235448464,0.0,-0.0,0.0,0.0,0.0,0.0,-44626.57
t53,46936.63458864017,0.0,-1317.0645886401587,0.0,-0.0,0.0,0.0,0.0,0.0,-45619.57
t54,47671.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47671.57
t55,50252.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50252.57
t56,51958.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51958.57
t57,52393.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52393.57
t58,53054.99408570128,0.0,-447.4240857012699,0.0,-0.0,0.0,0.0,0.0,0.0,-52607.57
t59,53366.218685350716,0.0,-626.6486853507306,0.0,-0.0,0.0,0.0,0.0,0.0,-52739.57
t60,52247.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52247.57
t61,51185.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51185.57
t62,49989.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49989.57
t63,48878.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48878.57
t64,48184.176323669846,0.0,-0.6063236698491112,0.0,-0.0,0.0,0.0,0.0,0.0,-48183.57
t65,48429.691269584655,0.0,-0.12126958465631725,0.0,-0.0,0.0,0.0,0.0,0.0,-48429.57
t66,49208.84884447203,983.7211555279811,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50192.57
t67,50908.96977645516,1394.6002235448464,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52303.57
t68,51129.96977645514,1394.6002235448464,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52524.57
t69,51550.789652566484,804.7803474335169,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52355.57
t70,51461.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51461.57
t71,49693.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49693.57
t72,47840.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47840.57
t73,46696.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46696.57
t74,46566.42392946748,0.0,-423.85392946746225,0.0,-0.0,0.0,0.0,0.0,0.0,-46142.57
t75,46044.97993242156,0.0,-52.40993242154787,0.0,-0.0,0.0,0.0,0.0,0.0,-45992.57
t76,46361.570000000014,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46361.57
t77,47346.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47346.57
t78,49692.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49692.57
t79,52534.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52534.57
t80,53889.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-53889.57
t81,52052.48978356952,957.0802164304974,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-53009.57
t82,50798.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50798.57
t83,48706.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48706.57
t84,46492.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46492.57
t85,44828.8545100159,0.0,-485.28451001590355,0.0,-0.0,0.0,0.0,0.0,0.0,-44343.57
t86,44170.17022354485,0.0,-1394.6002235448464,0.0,-0.0,0.0,0.0,0.0,0.0,-42775.57
t87,42913.17022354485,0.0,-1394.6002235448464,0.0,-0.0,0.0,0.0,0.0,0.0,-41518.57
t88,42005.170223544854,0.0,-1394.6002235448464,0.0,-0.0,0.0,0.0,0.0,0.0,-40610.57
t89,41694.17022354485,0.0,-1394.6002235448464,0.0,-0.0,0.0,0.0,0.0,0.0,-40299.57
t90,41520.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41520.57
t91,42641.57383368283,1103.9961663171846,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43745.57
t92,43205.35032536237,919.2196746376299,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44124.57
t93,42926.96977645516,1394.6002235448464,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44321.57
t94,43097.207621943155,1076.3623780568437,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44173.57
t95,43367.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43367.57
t96,42211.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42211.57
t97,41366.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41366.57
t98,41060.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41060.57
t99,41128.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41128.57
t100,41622.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41622.57
t101,42504.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42504.57
t102,43997.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43997.57
t103,45938.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45938.57
t104,46991.926164558354,551.6438354416481,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47543.57
t105,47419.774966915,85.79503308499564,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47505.57
t106,45629.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45629.57
t107,43415.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43415.57
t108,41342.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41342.57
t109,39734.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39734.57
t110,39487.85558744994,0.0,-869.2855874499435,0.0,-0.0,0.0,0.0,0.0,0.0,-38618.57
t111,39282.17022354484,0.0,-1394.6002235448464,0.0,-0.0,0.0,0.0,0.0,0.0,-37887.57
t112,38876.17022354485,0.0,-1394.6002235448464,0.0,-0.0,0.0,0.0,0.0,0.0,-37481.57
t113,37612.900842523166,0.0,-207.3308425231689,0.0,-0.0,0.0,0.0,0.0,0.0,-37405.57
t114,36947.96977645515,1394.6002235448464,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38342.57
t115,38809.969776455146,1394.6002235448464,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40204.57
t116,39882.76525691614,351.8047430838669,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40234.57
t117,39837.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39837.57
t118,39602.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39602.57
t119,38864.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38864.57
t120,38036.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38036.57
t121,37004.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37004.57
t122,36411.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36411.57
t123,36192.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36192.57
t124,36344.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36344.57
t125,36874.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36874.57
t126,37811.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37811.57
t127,39202.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39202.57
t128,40156.80677586792,130.76322413208,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40287.57
t129,40919.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40919.57
t130,40541.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40541.57
t131,39630.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39630.57
