Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.8270379451603454e7
TX_W,conventional_steam_coal_1,1,1,5.488897682128143e7
TX_W,conventional_steam_coal_2,1,2,6.68511102275982e7
TX_W,conventional_steam_coal_3,1,3,1.2204294817195158e8
TX_FW,conventional_steam_coal_4,1,4,1.0704635736012293e8
TX_FW,conventional_steam_coal_5,1,5,1.1448665403716014e8
TX_FW,conventional_steam_coal_6,1,6,1.3153376009258924e7
TX_FW,conventional_steam_coal_7,1,7,1.0748219603046834e7
TX_FW,conventional_steam_coal_8,1,8,1.4034499290239078e8
TX_FW,conventional_steam_coal_9,1,9,1.3498911730884457e8
TX_NC,conventional_steam_coal_10,1,10,3.67741066869984e7
TX_W,conventional_steam_coal_11,1,11,3.2593363010486536e7
TX_FW,conventional_steam_coal_12,1,12,2.1127285908936873e8
TX,natural_gas_fired_combined_cycle,1,1,9.315554958373621e7
TX,natural_gas_fired_combined_cycle_1,1,2,3.383986876731495e8
TX,natural_gas_fired_combined_cycle_2,1,3,1.1584731709108868e9
TX,natural_gas_fired_combined_cycle_3,1,4,1.4138048265942097e8
TX,natural_gas_fired_combined_cycle_4,1,5,5.594515052823195e7
TX,natural_gas_fired_combined_cycle_5,1,6,9.604214894721383e8
TX,natural_gas_fired_combined_cycle_6,1,7,2.0471791904686353e8
TX,natural_gas_fired_combined_cycle_7,1,8,2.233394464375704e8
TX,natural_gas_fired_combined_cycle_8,1,9,2.0849086360543332e9
TX,natural_gas_fired_combined_cycle_9,1,10,1.1093936106993502e8
TX,natural_gas_fired_combined_cycle_10,1,11,3.1006791124852564e7
TX,natural_gas_fired_combined_cycle_11,1,12,1.853676172099497e8
TX,natural_gas_fired_combined_cycle_12,1,13,1.78205110455629e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.7331557975269012e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.4965624857709253e8
TX,natural_gas_fired_combustion_turbine,1,16,5.089931246060315e7
TX,natural_gas_fired_combustion_turbine_1,1,17,1.6274920847357133e8
TX,natural_gas_fired_combustion_turbine_2,1,18,4.502016697353543e6
TX,natural_gas_fired_combustion_turbine_3,1,19,1.068504321884322e7
TX,natural_gas_fired_combustion_turbine_4,1,20,8.65417772568986e6
TX,natural_gas_fired_combustion_turbine_5,1,21,700654.5230482736
TX,natural_gas_fired_combustion_turbine_6,1,22,2.7429480147424914e7
TX,natural_gas_fired_combustion_turbine_7,1,23,7.413151484030789e7
TX,natural_gas_fired_combustion_turbine_8,1,24,1.352872196646692e8
TX,natural_gas_fired_combustion_turbine_9,1,25,5.5495067887574434e7
TX,natural_gas_fired_combustion_turbine_10,1,26,4.0030956538623005e7
TX,natural_gas_fired_combustion_turbine_11,1,27,1.223321751379328e7
TX,natural_gas_fired_combustion_turbine_12,1,28,4.2481549300812095e7
TX,natural_gas_fired_combustion_turbine_13,1,29,2.9101913841829738e6
TX,natural_gas_fired_combustion_turbine_14,1,30,3.565492002221683e7
TX,natural_gas_fired_combustion_turbine_15,1,31,4.965361596695304e6
TX,natural_gas_steam_turbine,1,32,1.1741436998606811e8
TX,natural_gas_steam_turbine_1,1,33,6.75275878318045e7
TX,natural_gas_steam_turbine_2,1,34,1.32051913214745e6
TX,natural_gas_steam_turbine_3,1,35,1.9708961869697118e8
TX,natural_gas_steam_turbine_4,1,36,1.3672840583471615e7
TX,natural_gas_steam_turbine_5,1,37,1.4074787978678746e7
TX,natural_gas_steam_turbine_6,1,38,3.93288265131042e8
TX,natural_gas_steam_turbine_7,1,39,1.3356777607427572e8
TX,natural_gas_steam_turbine_8,1,40,1.2442890691354531e8
TX,natural_gas_steam_turbine_9,1,41,7.592111923533992e7
TX,natural_gas_steam_turbine_10,1,42,2.7234921329651956e7
TX,natural_gas_steam_turbine_11,1,43,3.928334108295169e7
TX,natural_gas_steam_turbine_12,1,44,5.224921573706124e6
TX,natural_gas_steam_turbine_13,1,45,2.364452902363547e8
TX,natural_gas_steam_turbine_14,1,46,6.449686863115681e7
TX,natural_gas_steam_turbine_15,1,47,2.675521109941166e7
TX,natural_gas_steam_turbine_16,1,48,1.6616214299121331e7
TX,natural_gas_steam_turbine_17,1,49,1.0260687801811347e7
TX,nuclear,1,1,7.044098785746626e8
TX,nuclear_1,1,2,6.876382147990752e8
TX,onshore_wind_turbine,1,1,2.512895951013863e9
TX,onshore_wind_turbine_exp,1,2,0.0
