Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,525103.388324376,69.0,0.868743611151445
conventional_steam_coal_1,1,539937.3627056555,460.0,0.1339927940008088
conventional_steam_coal_2,1,659288.9557301634,566.0,0.13297048819121768
conventional_steam_coal_3,1,1.6091311562975051e6,878.0,0.2092150014428698
conventional_steam_coal_4,1,1.0561408309426606e6,893.0,0.13501010279631373
conventional_steam_coal_5,1,1.1245016525594802e6,957.0,0.13413559932812869
conventional_steam_coal_6,1,44978.21150801347,174.6,0.029407210942698624
conventional_steam_coal_7,1,44377.216688910514,174.6,0.029014274433480577
conventional_steam_coal_8,1,2.177587440996664e6,916.8,0.27114206065626806
conventional_steam_coal_9,1,2.106669587220606e6,878.6,0.2737165898035973
conventional_steam_coal_10,1,122494.50412207913,614.6,0.022752019006696995
conventional_steam_coal_11,1,131868.72296891717,410.0,0.03671587119081135
conventional_steam_coal_12,1,4.820805251601547e6,1008.0,0.5459526132947357
natural_gas_fired_combined_cycle,1,775988.6262782797,780.0,0.11356817502023839
natural_gas_fired_combined_cycle_1,1,5.392231345077813e6,2121.0,0.2902175970819016
natural_gas_fired_combined_cycle_2,1,3.1978043202406205e7,4644.0,0.7860597658884843
natural_gas_fired_combined_cycle_3,1,2.828985275734174e6,746.0,0.43290016706057766
natural_gas_fired_combined_cycle_4,1,181547.3972098179,704.0,0.029438336253667742
natural_gas_fired_combined_cycle_5,1,2.5063609388046097e7,4029.0,0.7101371616297331
natural_gas_fired_combined_cycle_6,1,1.6822103588434036e6,1740.0,0.1103638770038455
natural_gas_fired_combined_cycle_7,1,5.224956267339918e6,1031.0,0.5785220125138905
natural_gas_fired_combined_cycle_8,1,5.971282040129266e7,8055.999999999999,0.8461434966832212
natural_gas_fired_combined_cycle_9,1,2.4938367602510503e6,532.0,0.5351213565272486
natural_gas_fired_combined_cycle_10,1,328286.0581427169,237.0,0.15812479921330128
natural_gas_fired_combined_cycle_11,1,2.856584250927434e6,1188.0,0.27448997691214394
natural_gas_fired_combined_cycle_12,1,3.128635337635593e6,1026.0,0.34809956403326453
natural_gas_fired_combined_cycle_13,1,4.438330702553128e7,7481.0,0.6772607351947852
natural_gas_fired_combined_cycle_14,1,2.857813797871579e6,824.0,0.3959155968590124
natural_gas_fired_combustion_turbine,1,124505.00912264129,741.0,0.019180702543558026
natural_gas_fired_combustion_turbine_1,1,2.366158098817822e6,1073.0,0.2517328723310053
natural_gas_fired_combustion_turbine_2,1,5402.110302197804,81.0,0.007613324175824229
natural_gas_fired_combustion_turbine_3,1,27174.350274725282,180.0,0.017233859890110007
natural_gas_fired_combustion_turbine_4,1,51120.0506811092,91.0,0.06412771674583463
natural_gas_fired_combustion_turbine_5,1,813.0375,13.0,0.007139423076923125
natural_gas_fired_combustion_turbine_6,1,101471.54278996788,354.0,0.03272177810991427
natural_gas_fired_combustion_turbine_7,1,869470.2186523495,557.0,0.17819495721788187
natural_gas_fired_combustion_turbine_8,1,305985.5245456259,1539.0,0.022696461598561295
natural_gas_fired_combustion_turbine_9,1,90292.14328021574,846.0,0.01218359609014437
natural_gas_fired_combustion_turbine_10,1,347865.81531313085,336.0,0.11818663544830846
natural_gas_fired_combustion_turbine_11,1,29633.992807070787,208.0,0.016263826400087254
natural_gas_fired_combustion_turbine_12,1,108046.29896085925,547.0,0.022548541851539733
natural_gas_fired_combustion_turbine_13,1,3663.9171291208795,41.0,0.010201350732600803
natural_gas_fired_combustion_turbine_14,1,377128.73120317416,276.0,0.1559826993593974
natural_gas_fired_combustion_turbine_15,1,12001.621153846148,84.0,0.016310096153846255
natural_gas_steam_turbine,1,1.609950967911479e6,825.0,0.222768917657602
natural_gas_steam_turbine_1,1,739448.9543952668,521.0,0.16201915757265
natural_gas_steam_turbine_2,1,5084.289658274376,18.0,0.03224435348981742
natural_gas_steam_turbine_3,1,2.804406335058402e6,1326.0,0.24143115345516958
natural_gas_steam_turbine_4,1,101807.13197614161,167.0,0.06959172885471679
natural_gas_steam_turbine_5,1,105809.35392836091,171.0,0.07063563374747096
natural_gas_steam_turbine_6,1,7.418868635830227e6,2160.0,0.39208463532842236
natural_gas_steam_turbine_7,1,1.210247610396698e6,1265.0,0.10921432403818163
natural_gas_steam_turbine_8,1,1.8197596015892625e6,844.0,0.246131652057672
natural_gas_steam_turbine_9,1,1.378025021718199e6,421.0,0.37365508891587984
natural_gas_steam_turbine_10,1,227661.62467774845,248.0,0.10479342717896135
natural_gas_steam_turbine_11,1,310913.4140271781,392.0,0.09054183383048531
natural_gas_steam_turbine_12,1,41696.74198647575,61.0,0.07803118120083095
natural_gas_steam_turbine_13,1,3.783738228828314e6,1461.0,0.2956424283133417
natural_gas_steam_turbine_14,1,913218.7952577972,430.0,0.24243888586009435
