Network_zones,Time_Index,ESR_1,ESR_2,ESR_3
z1,1,0.02631099,0.02631099,0.02631099
,2,0.02700038,0.02700038,0.02700038
,3,0.02786943,0.02786943,0.02786943
,4,0.02853551,0.02853551,0.02853551
,5,0.02891379,0.02891379,0.02891379
,6,0.02903061,0.02903061,0.02903061
,7,0.02879832,0.02879832,0.02879832
,8,0.028594,0.028594,0.028594
,9,0.02781612,0.02781612,0.02781612
,10,0.02630146,0.02630146,0.02630146
,11,0.02501695,0.02501695,0.02501695
,12,0.02389531,0.02389531,0.02389531
,13,0.02315877,0.02315877,0.02315877
,14,0.02272618,0.02272618,0.02272618
,15,0.02259821,0.02259821,0.02259821
,16,0.02263138,0.02263138,0.02263138
,17,0.02258527,0.02258527,0.02258527
,18,0.02226577,0.02226577,0.02226577
,19,0.02172485,0.02172485,0.02172485
,20,0.02180419,0.02180419,0.02180419
,21,0.02188383,0.02188383,0.02188383
,22,0.02201692,0.02201692,0.02201692
,23,0.02236297,0.02236297,0.02236297
,24,0.02285152,0.02285152,0.02285152
,25,0.02336898,0.02336898,0.02336898
,26,0.02371942,0.02371942,0.02371942
,27,0.02379694,0.02379694,0.02379694
,28,0.02357372,0.02357372,0.02357372
,29,0.02301622,0.02301622,0.02301622
,30,0.02229228,0.02229228,0.02229228
,31,0.02137294,0.02137294,0.02137294
,32,0.02034377,0.02034377,0.02034377
,33,0.01953831,0.01953831,0.01953831
,34,0.01909617,0.01909617,0.01909617
,35,0.01918583,0.01918583,0.01918583
,36,0.01956547,0.01956547,0.01956547
,37,0.02004355,0.02004355,0.02004355
,38,0.02064984,0.02064984,0.02064984
,39,0.0213005,0.0213005,0.0213005
,40,0.02167517,0.02167517,0.02167517
,41,0.0216313,0.0216313,0.0216313
,42,0.02054531,0.02054531,0.02054531
,43,0.01936685,0.01936685,0.01936685
,44,0.01910604,0.01910604,0.01910604
,45,0.01912355,0.01912355,0.01912355
,46,0.01924244,0.01924244,0.01924244
,47,0.01975114,0.01975114,0.01975114
,48,0.02025996,0.02025996,0.02025996
,49,0.02064122,0.02064122,0.02064122
,50,0.02074855,0.02074855,0.02074855
,51,0.02069473,0.02069473,0.02069473
,52,0.02043949,0.02043949,0.02043949
,53,0.01987811,0.01987811,0.01987811
,54,0.01901425,0.01901425,0.01901425
,55,0.01798672,0.01798672,0.01798672
,56,0.01736155,0.01736155,0.01736155
,57,0.01755574,0.01755574,0.01755574
,58,0.01839001,0.01839001,0.01839001
,59,0.01940053,0.01940053,0.01940053
,60,0.02052901,0.02052901,0.02052901
,61,0.0215703,0.0215703,0.0215703
,62,0.02249777,0.02249777,0.02249777
,63,0.02322335,0.02322335,0.02322335
,64,0.02357119,0.02357119,0.02357119
,65,0.02348442,0.02348442,0.02348442
,66,0.02228939,0.02228939,0.02228939
,67,0.02082411,0.02082411,0.02082411
,68,0.02043953,0.02043953,0.02043953
,69,0.02031221,0.02031221,0.02031221
,70,0.02057836,0.02057836,0.02057836
