Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.4924106566903932e7
TX_W,conventional_steam_coal_1,1,1,0.0
TX_W,conventional_steam_coal_2,1,2,0.0
TX_W,conventional_steam_coal_3,1,3,0.0
TX_FW,conventional_steam_coal_4,1,4,0.0
TX_FW,conventional_steam_coal_5,1,5,0.0
TX_FW,conventional_steam_coal_6,1,6,0.0
TX_FW,conventional_steam_coal_7,1,7,0.0
TX_FW,conventional_steam_coal_8,1,8,0.0
TX_FW,conventional_steam_coal_9,1,9,0.0
TX_NC,conventional_steam_coal_10,1,10,0.0
TX_W,conventional_steam_coal_11,1,11,0.0
TX_FW,conventional_steam_coal_12,1,12,0.0
TX,natural_gas_fired_combined_cycle,1,1,5.7001751843690716e7
TX,natural_gas_fired_combined_cycle_1,1,2,2.2068795772982204e8
TX,natural_gas_fired_combined_cycle_2,1,3,8.971954883948741e8
TX,natural_gas_fired_combined_cycle_3,1,4,9.43937236368249e7
TX,natural_gas_fired_combined_cycle_4,1,5,2.4853523142107803e7
TX,natural_gas_fired_combined_cycle_5,1,6,7.295697356597722e8
TX,natural_gas_fired_combined_cycle_6,1,7,1.1424785274906568e8
TX,natural_gas_fired_combined_cycle_7,1,8,1.403576932294215e8
TX,natural_gas_fired_combined_cycle_8,1,9,1.6431503656037495e9
TX,natural_gas_fired_combined_cycle_9,1,10,7.03097563421557e7
TX,natural_gas_fired_combined_cycle_10,1,11,1.9424842566193994e7
TX,natural_gas_fired_combined_cycle_11,1,12,1.2252342450144644e8
TX,natural_gas_fired_combined_cycle_12,1,13,1.1528282345737086e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.2613351002688596e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.0560077797035448e8
TX,natural_gas_fired_combustion_turbine,1,16,2.6421908717189748e7
TX,natural_gas_fired_combustion_turbine_1,1,17,1.0691313424740706e8
TX,natural_gas_fired_combustion_turbine_2,1,18,2.299552452566699e6
TX,natural_gas_fired_combustion_turbine_3,1,19,5.604867209083181e6
TX,natural_gas_fired_combustion_turbine_4,1,20,4.2174743646885855e6
TX,natural_gas_fired_combustion_turbine_5,1,21,341079.4182748501
TX,natural_gas_fired_combustion_turbine_6,1,22,1.1006015979637532e7
TX,natural_gas_fired_combustion_turbine_7,1,23,4.82249043968304e7
TX,natural_gas_fired_combustion_turbine_8,1,24,7.198957234281738e7
TX,natural_gas_fired_combustion_turbine_9,1,25,2.976963717727863e7
TX,natural_gas_fired_combustion_turbine_10,1,26,1.9546104278568417e7
TX,natural_gas_fired_combustion_turbine_11,1,27,6.301811967857725e6
