Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,525702.9179300686,69.0,0.869735487277605
conventional_steam_coal_1,1,0.0,-5.551115123125783e-14,0.0
conventional_steam_coal_2,1,0.0,0.0,0.0
conventional_steam_coal_3,1,0.0,2.220446049250313e-13,0.0
conventional_steam_coal_4,1,0.0,0.0,0.0
conventional_steam_coal_5,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_6,1,0.0,0.0,0.0
conventional_steam_coal_7,1,0.0,0.0,0.0
conventional_steam_coal_8,1,0.0,0.0,0.0
conventional_steam_coal_9,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_10,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_11,1,0.0,0.0,0.0
conventional_steam_coal_12,1,0.0,-1.1102230246251565e-13,0.0
natural_gas_fired_combined_cycle,1,632109.8006500461,780.0,0.09251109364390213
natural_gas_fired_combined_cycle_1,1,4.095718549148112e6,2121.0,0.22043742554602735
natural_gas_fired_combined_cycle_2,1,2.943419663143935e7,4644.0,0.7235288778233941
natural_gas_fired_combined_cycle_3,1,2.136804274096794e6,746.0,0.3269804672250209
natural_gas_fired_combined_cycle_4,1,147874.97842890557,704.0,0.023978274574010798
natural_gas_fired_combined_cycle_5,1,2.258522693769879e7,4029.0,0.6399161710503839
natural_gas_fired_combined_cycle_6,1,1.3367220698536886e6,1740.0,0.08769761125896883
natural_gas_fired_combined_cycle_7,1,3.4090015423069065e6,1031.0,0.3774543425838894
natural_gas_fired_combined_cycle_8,1,5.632526783578902e7,8055.999999999999,0.7981411488840356
natural_gas_fired_combined_cycle_9,1,1.6687223139278197e6,532.0,0.35807032863147636
natural_gas_fired_combined_cycle_10,1,270935.9520476354,237.0,0.13050110400537493
natural_gas_fired_combined_cycle_11,1,2.3519773197593265e6,1188.0,0.2260021562427315
natural_gas_fired_combined_cycle_12,1,2.3228036664240295e6,1026.0,0.2584407757243251
natural_gas_fired_combined_cycle_13,1,3.7707230532524765e7,7481.0,0.5753880993574172
natural_gas_fired_combined_cycle_14,1,2.4255430695309825e6,824.0,0.3360297066225305
natural_gas_fired_combustion_turbine,1,95937.59930641095,741.0,0.014779731096816628
natural_gas_fired_combustion_turbine_1,1,1.9810268327339904e6,1073.0,0.2107591944165014
natural_gas_fired_combustion_turbine_2,1,7243.01888736264,81.0,0.01020776098901113
natural_gas_fired_combustion_turbine_3,1,31981.2635850021,180.0,0.020282384313167506
natural_gas_fired_combustion_turbine_4,1,50442.62045286413,91.0,0.06327791215422851
natural_gas_fired_combustion_turbine_5,1,1018.213125,13.0,0.008941105769230889
natural_gas_fired_combustion_turbine_6,1,64762.61341867729,354.0,0.02088415932031775
natural_gas_fired_combustion_turbine_7,1,780967.5895700268,557.0,0.16005664510014453
natural_gas_fired_combustion_turbine_8,1,302593.5905540781,1539.0,0.02244486505752135
natural_gas_fired_combustion_turbine_9,1,104184.88737400447,846.0,0.014058217474390072
natural_gas_fired_combustion_turbine_10,1,218630.8242846399,336.0,0.07427933527826798
natural_gas_fired_combustion_turbine_11,1,24815.52428793558,208.0,0.01361933849662798
natural_gas_fired_combustion_turbine_12,1,102225.55401098904,547.0,0.0213337912087915
natural_gas_fired_combustion_turbine_13,1,4540.8496840659345,41.0,0.012642971611721782
natural_gas_fired_combustion_turbine_14,1,255012.05925177253,276.0,0.10547451328989474
natural_gas_fired_combustion_turbine_15,1,12292.395123042132,84.0,0.016705255385739148
natural_gas_steam_turbine,1,838370.3533547283,825.0,0.11600530695374837
natural_gas_steam_turbine_1,1,0.0,0.0,0.0
natural_gas_steam_turbine_2,1,0.0,0.0,0.0
natural_gas_steam_turbine_3,1,1.6550270698832753e6,1326.0,0.1424811695389107
natural_gas_steam_turbine_4,1,92360.25665886077,167.0,0.06313418140353676
natural_gas_steam_turbine_5,1,0.0,0.0,0.0
natural_gas_steam_turbine_6,1,5.326053952663929e6,2160.0,0.2814801048888043
natural_gas_steam_turbine_7,1,1.1996975465371737e6,1265.0,0.1082622725050255
natural_gas_steam_turbine_8,1,59601.67788843972,53.1051921515282,0.12812013726264335
natural_gas_steam_turbine_9,1,1.2490388398448394e6,421.0,0.3386801483326435
natural_gas_steam_turbine_10,1,0.0,0.0,0.0
natural_gas_steam_turbine_11,1,257750.93474767607,392.0,0.07506026195941651
natural_gas_steam_turbine_12,1,0.0,0.0,0.0
natural_gas_steam_turbine_13,1,3.5608026871744515e6,1461.0,0.27822335730316217
natural_gas_steam_turbine_14,1,636483.9911898674,430.0,0.16897206944618134
natural_gas_steam_turbine_15,1,224018.4711617632,169.0,0.15131884518235536
natural_gas_steam_turbine_16,1,127136.99780050381,169.0,0.08587784564082672
natural_gas_steam_turbine_17,1,69139.8582145004,122.0,0.0646940809702273
nuclear,1,2.0971440000000026e7,2520.0,0.9500000000000138
nuclear_1,1,2.0472120000000015e7,2460.0,0.9500000000000133
onshore_wind_turbine,1,9.581229012597468e7,34061.0,0.32111435488617707
onshore_wind_turbine_exp,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_1,1,8.982916408426665e6,2888.2963892066473,0.35503526660890944
onshore_wind_turbine_ppa_2,1,4.508979054271693e6,2103.910666756452,0.24465089914008983
onshore_wind_turbine_ppa_3,1,9.26030114917614e6,3217.4110930765255,0.32855981804917594
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.0051558356318694e7,9147.0,0.2502449633699669
solar_photovoltaic_exp,1,1.886730782035963e7,8606.775671300686,0.2502449633699666
solar_photovoltaic_ppa_1,1,4.228229671190184e6,2304.041664763858,0.20949040435358418
solar_photovoltaic_ppa_2,1,6.347085686814262e6,3284.29968031753,0.22061115949236226
solar_photovoltaic_ppa_3,1,5.613704393207404e6,3443.1315852966986,0.18611947262707212
Battery,1,869639.3777816801,726.0,0.0
Battery_exp,1,0.0,0.0,0.0
Battery_ppa_1,1,1.3385616210663682e6,794.5511385378454,0.0
Battery_ppa_2,1,1.8511537676433085e6,980.9537287757475,0.0
Battery_ppa_3,1,3.2617143782509663e6,3303.9849235401025,0.0
Flexible_demand_1,1,0.0,0.0,0.0
Flexible_demand_2,1,0.0,0.0,0.0
Flexible_demand_3,1,0.0,0.0,0.0
Coal_retrofit_1,1,0.0,0.0,0.0
Coal_retrofit_2,1,0.0,0.0,0.0
Coal_retrofit_3,1,463956.4970868136,877.9999999999999,0.0
Coal_retrofit_4,1,0.0,0.0,0.0
Coal_retrofit_5,1,0.0,0.0,0.0
Coal_retrofit_6,1,0.0,0.0,0.0
Coal_retrofit_7,1,0.0,0.0,0.0
Coal_retrofit_8,1,0.0,0.0,0.0
Coal_retrofit_9,1,0.0,0.0,0.0
Coal_retrofit_10,1,0.0,0.0,0.0
Coal_retrofit_11,1,0.0,0.0,0.0
Coal_retrofit_12,1,727021.4206435725,807.0686476314397,0.0
