BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.018249291300653e8,8.512047062472707e6,-1.2233491193087544e7,0.0,0.0,0.0,0.0,0.0,0.0,-3.9810348499945015e8
t1,37747.92598890318,1556.3697097185507,-1668.7256986217412,0.0,-0.0,0.0,0.0,0.0,0.0,-37635.57
t2,37695.67856118564,1679.7652424530474,-1559.8738036386953,0.0,-0.0,0.0,0.0,0.0,0.0,-37815.57
t3,37789.69343492187,1849.2827488930827,-1781.4061838149628,0.0,-0.0,0.0,0.0,0.0,0.0,-37857.57
t4,37289.22804417343,2190.7985532429043,-1497.456597416341,0.0,-0.0,0.0,0.0,0.0,0.0,-37982.57
t5,36441.503370870625,2518.849728093902,-499.7830989645434,0.0,-0.0,0.0,0.0,0.0,0.0,-38460.57
t6,37155.705269044585,2642.709284473189,-394.844553517785,0.0,-0.0,0.0,0.0,0.0,0.0,-39403.57
t7,38133.372104000024,2652.599007575935,-283.40111157596886,0.0,-0.0,0.0,0.0,0.0,0.0,-40502.57
t8,38856.09035833259,2585.5173340912893,-406.0376924238948,0.0,-0.0,0.0,0.0,0.0,0.0,-41035.57
t9,40213.58686026947,1985.5781236142036,-642.5949838836701,0.0,-0.0,0.0,0.0,0.0,0.0,-41556.57
t10,42364.88985636236,1148.4991722305485,-1132.8190285929188,0.0,-0.0,0.0,0.0,0.0,0.0,-42380.57
t11,44654.63893521206,421.36848343727263,-2203.4374186493283,0.0,-0.0,0.0,0.0,0.0,0.0,-42872.57
t12,45831.42347584544,49.00094412065003,-2959.854419966097,0.0,-0.0,0.0,0.0,0.0,0.0,-42920.57
t13,46436.98334512267,0.0,-3939.4133451226717,0.0,-0.0,0.0,0.0,0.0,0.0,-42497.57
t14,46483.429111973506,0.0,-4495.859111973517,0.0,-0.0,0.0,0.0,0.0,0.0,-41987.57
t15,45370.67371999294,0.0,-3773.1037199929574,0.0,-0.0,0.0,0.0,0.0,0.0,-41597.57
t16,43675.997412100114,0.0,-2053.427412100121,0.0,-0.0,0.0,0.0,0.0,0.0,-41622.57
t17,44016.98946569902,134.33002057073557,-1690.7494862697672,0.0,-0.0,0.0,0.0,0.0,0.0,-42460.57
t18,43608.94651997749,1096.6234800224943,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44705.57
t19,40035.22475222222,6030.345247777777,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46065.57
t20,40577.84539729784,5331.724602702166,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45909.57
t21,40761.48558579189,4741.084414208109,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45502.57
t22,41719.2299385612,2827.3400614387915,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44546.57
t23,42375.03991434092,453.5300856590684,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42828.57
t24,43738.40881389655,158.52253087975646,-2802.3613447763237,0.0,-0.0,0.0,0.0,0.0,0.0,-41094.57
t25,43557.46855955472,0.0,-3727.898559554726,0.0,-0.0,0.0,0.0,0.0,0.0,-39829.57
t26,42792.03839426267,0.0,-3640.4683942626834,0.0,-0.0,0.0,0.0,0.0,0.0,-39151.57
t27,41457.78241404273,120.66682153359199,-2571.879235576329,0.0,-0.0,0.0,0.0,0.0,0.0,-39006.57
t28,41106.156099790554,279.08955397894175,-1976.6756537695005,0.0,-0.0,0.0,0.0,0.0,0.0,-39408.57
t29,41489.042507240665,633.5540790162067,-1456.0265862568642,0.0,-0.0,0.0,0.0,0.0,0.0,-40666.57
t30,41160.11038326725,1951.459616732746,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43111.57
t31,41019.01223130841,4944.557768691587,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45963.57
t32,41623.97252107998,6488.5974789200245,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48112.57
t33,42838.06461962672,6416.505380373291,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49254.57
t34,50204.96037424347,226.73271644513522,-30.123090688609224,0.0,-0.0,0.0,0.0,0.0,0.0,-50401.57
t35,51392.07467387545,25.49618395883885,-0.0008578342947011911,0.0,-0.0,0.0,0.0,0.0,0.0,-51417.57
t36,51999.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51999.57
t37,52159.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52159.57
t38,53910.18296470218,0.0,-1709.612964702187,0.0,-0.0,0.0,0.0,0.0,0.0,-52200.57
t39,54891.45176579699,0.0,-2884.8817657969953,0.0,-0.0,0.0,0.0,0.0,0.0,-52006.57
t40,54951.20684254699,0.0,-3060.6368425469973,0.0,-0.0,0.0,0.0,0.0,0.0,-51890.57
t41,53084.16841169409,0.0,-958.5984116940851,0.0,-0.0,0.0,0.0,0.0,0.0,-52125.57
t42,50988.76022622966,2490.8097737703474,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-53479.57
t43,49416.319048167585,4631.250951832411,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54047.57
t44,52898.451126131295,168.11887386870984,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-53066.57
t45,51783.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51783.57
t46,49909.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49909.57
t47,47309.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47309.57
t48,44937.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44937.57
t49,43096.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43096.57
t50,43396.0641166167,0.0,-1338.4941166167134,0.0,-0.0,0.0,0.0,0.0,0.0,-42057.57
t51,43650.925204244566,0.0,-1982.3552042445658,0.0,-0.0,0.0,0.0,0.0,0.0,-41668.57
t52,43914.44634341303,0.0,-2287.8763434130306,0.0,-0.0,0.0,0.0,0.0,0.0,-41626.57
t53,44439.611704761715,0.0,-1820.0417047617148,0.0,-0.0,0.0,0.0,0.0,0.0,-42619.57
t54,44671.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44671.57
t55,47252.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47252.57
t56,48958.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48958.57
t57,49393.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49393.57
t58,51788.292542002564,0.0,-2180.7225420025725,0.0,-0.0,0.0,0.0,0.0,0.0,-49607.57
t59,53303.00837083736,0.0,-3563.438370837362,0.0,-0.0,0.0,0.0,0.0,0.0,-49739.57
t60,51487.179740396365,0.0,-2239.609740396371,0.0,-0.0,0.0,0.0,0.0,0.0,-49247.57
t61,50396.32139225354,0.0,-2210.7513922535377,0.0,-0.0,0.0,0.0,0.0,0.0,-48185.57
