Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.4778677753772985e7
TX_W,conventional_steam_coal_1,1,1,0.0
TX_W,conventional_steam_coal_2,1,2,0.0
TX_W,conventional_steam_coal_3,1,3,0.0
TX_FW,conventional_steam_coal_4,1,4,0.0
TX_FW,conventional_steam_coal_5,1,5,0.0
TX_FW,conventional_steam_coal_6,1,6,0.0
TX_FW,conventional_steam_coal_7,1,7,0.0
TX_FW,conventional_steam_coal_8,1,8,0.0
TX_FW,conventional_steam_coal_9,1,9,0.0
TX_NC,conventional_steam_coal_10,1,10,0.0
TX_W,conventional_steam_coal_11,1,11,0.0
TX_FW,conventional_steam_coal_12,1,12,0.0
TX,natural_gas_fired_combined_cycle,1,1,5.652700412210174e7
TX,natural_gas_fired_combined_cycle_1,1,2,2.1328402605394787e8
TX,natural_gas_fired_combined_cycle_2,1,3,8.834282588597074e8
TX,natural_gas_fired_combined_cycle_3,1,4,9.118436962047721e7
TX,natural_gas_fired_combined_cycle_4,1,5,2.2865870628577262e7
TX,natural_gas_fired_combined_cycle_5,1,6,7.027923026363993e8
TX,natural_gas_fired_combined_cycle_6,1,7,1.015381373304791e8
TX,natural_gas_fired_combined_cycle_7,1,8,1.3701999637938622e8
TX,natural_gas_fired_combined_cycle_8,1,9,1.625956906392653e9
TX,natural_gas_fired_combined_cycle_9,1,10,6.824582078813322e7
TX,natural_gas_fired_combined_cycle_10,1,11,1.9124646477310136e7
TX,natural_gas_fired_combined_cycle_11,1,12,1.1697713366528016e8
TX,natural_gas_fired_combined_cycle_12,1,13,1.1086018073960799e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.2316502520467713e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.0205430839819226e8
TX,natural_gas_fired_combustion_turbine,1,16,2.5903305522440452e7
TX,natural_gas_fired_combustion_turbine_1,1,17,1.0250759211160909e8
TX,natural_gas_fired_combustion_turbine_2,1,18,2.226521627594211e6
TX,natural_gas_fired_combustion_turbine_3,1,19,5.32514794636417e6
TX,natural_gas_fired_combustion_turbine_4,1,20,3.478105731459295e6
TX,natural_gas_fired_combustion_turbine_5,1,21,330830.43379346875
TX,natural_gas_fired_combustion_turbine_6,1,22,1.0321900903152596e7
TX,natural_gas_fired_combustion_turbine_7,1,23,4.314080784290953e7
TX,natural_gas_fired_combustion_turbine_8,1,24,6.941910089196213e7
TX,natural_gas_fired_combustion_turbine_9,1,25,2.869879867734542e7
TX,natural_gas_fired_combustion_turbine_10,1,26,1.8368143136560004e7
TX,natural_gas_fired_combustion_turbine_11,1,27,6.062308712207655e6
