Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,526329.8159648469,69.0,0.8707726423877538
conventional_steam_coal_1,1,0.0,-5.551115123125783e-14,0.0
conventional_steam_coal_2,1,0.0,0.0,0.0
conventional_steam_coal_3,1,0.0,0.0,0.0
conventional_steam_coal_4,1,0.0,0.0,0.0
conventional_steam_coal_5,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_6,1,0.0,0.0,0.0
conventional_steam_coal_7,1,0.0,0.0,0.0
conventional_steam_coal_8,1,0.0,0.0,0.0
conventional_steam_coal_9,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_10,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_11,1,0.0,0.0,0.0
conventional_steam_coal_12,1,0.0,0.0,0.0
natural_gas_fired_combined_cycle,1,637289.4585327805,780.0,0.09326915152394172
natural_gas_fired_combined_cycle_1,1,3.9287494134556088e6,2121.0,0.21145090804585484
natural_gas_fired_combined_cycle_2,1,2.9117453359628472e7,4644.0,0.7157429373106965
natural_gas_fired_combined_cycle_3,1,2.073675124884542e6,746.0,0.31732024754314786
natural_gas_fired_combined_cycle_4,1,98685.72786022785,704.0,0.016002122227232053
natural_gas_fired_combined_cycle_5,1,2.1496053125687715e7,4029.0,0.6090561784847527
natural_gas_fired_combined_cycle_6,1,943256.4484961849,1740.0,0.061883722281018565
natural_gas_fired_combined_cycle_7,1,3.3524588914683047e6,1031.0,0.3711937795318139
natural_gas_fired_combined_cycle_8,1,5.6213560750984356e7,8055.999999999999,0.7965582354877886
natural_gas_fired_combined_cycle_9,1,1.6335916193661757e6,532.0,0.3505320706230897
natural_gas_fired_combined_cycle_10,1,268471.23505222116,237.0,0.12931392937413286
natural_gas_fired_combined_cycle_11,1,2.2203316179294284e6,1188.0,0.21335228405914722
natural_gas_fired_combined_cycle_12,1,2.2056274652424194e6,1026.0,0.24540346707549474
natural_gas_fired_combined_cycle_13,1,3.691353605189304e7,7481.0,0.5632768317773905
natural_gas_fired_combined_cycle_14,1,2.3571838487862283e6,824.0,0.3265593619478238
natural_gas_fired_combustion_turbine,1,90226.7560474426,741.0,0.01389994331482259
natural_gas_fired_combustion_turbine_1,1,1.8623761410812843e6,1073.0,0.19813608211106457
natural_gas_fired_combustion_turbine_2,1,6005.187568681321,81.0,0.00846325549450561
natural_gas_fired_combustion_turbine_3,1,25766.512132126943,180.0,0.016341014797138058
natural_gas_fired_combustion_turbine_4,1,28130.371481124796,91.0,0.035288237594868245
natural_gas_fired_combustion_turbine_5,1,892.288125,13.0,0.007835336538461643
natural_gas_fired_combustion_turbine_6,1,51682.49903867874,354.0,0.016666182647975977
