Resource,biomass,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,conventional_steam_coal_5,conventional_steam_coal_6,conventional_steam_coal_7,conventional_steam_coal_8,conventional_steam_coal_9,conventional_steam_coal_10,conventional_steam_coal_11,conventional_steam_coal_12,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,onshore_wind_turbine_exp,onshore_wind_turbine_ppa_1,onshore_wind_turbine_ppa_2,onshore_wind_turbine_ppa_3,small_hydroelectric,solar_photovoltaic,solar_photovoltaic_exp,solar_photovoltaic_ppa_1,solar_photovoltaic_ppa_2,solar_photovoltaic_ppa_3,Battery,Battery_exp,Battery_ppa_1,Battery_ppa_2,Battery_ppa_3,Flexible_demand_1,Flexible_demand_2,Flexible_demand_3,Coal_retrofit_1,Coal_retrofit_2,Coal_retrofit_3,Coal_retrofit_4,Coal_retrofit_5,Coal_retrofit_6,Coal_retrofit_7,Coal_retrofit_8,Coal_retrofit_9,Coal_retrofit_10,Coal_retrofit_11,Coal_retrofit_12,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,526329.8159648469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637289.4585327805,3.9287494134556088e6,2.911745335962847e7,2.0736751248845437e6,98685.72786022784,2.149605312568782e7,943256.4484961848,3.3524588914683047e6,5.6213560750984356e7,1.6335916193661762e6,268471.23505222116,2.220331617929428e6,2.205627465242419e6,3.691353605189304e7,2.357183848786229e6,90226.7560474426,1.8623761410812843e6,6005.187568681321,25766.512132126936,28130.37148112479,892.288125,51682.49903867874,592260.5316351922,253794.80296162795,81371.58220307941,216394.19276463188,19545.54142857143,94130.38891261678,4144.400521978023,222828.94956701322,9369.830769230768,796484.12534403,0.0,0.0,1.587575476017384e6,89038.67657967031,0.0,4.434238910670029e6,1.1481263723420063e6,0.0,1.2248256626609655e6,0.0,256836.81953450546,0.0,3.4287549275601003e6,0.0,212885.832412412,125971.02855798347,68097.74820650066,2.0971440000000026e7,2.0472120000000015e7,9.59140957070312e7,0.0,1.1372654992121326e7,4.396955801609184e6,9.241159033294134e6,0.0,2.0051558356318694e7,1.9684203698541757e7,4.518266419053839e6,6.667683310752942e6,5.590449284622916e6,804510.3915377059,0.0,2.4626107679400267e6,3.076232945111243e6,2.979019757369057e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.091209699766606e8
t1,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3397.193504734171,0.0,0.0,1885.5720000000001,0.0,64.7423858171288,7250.4,0.0,0.0,0.0,0.0,3321.5640000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,0.0,36.62700000000001,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2393.9999999999995,2336.9999999999995,15259.328,0.0,1461.2283750885078,85.19255024059932,337.8281647730349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.036555673701,652.4009411412652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39915.420477468404
t2,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3662.01364822558,0.0,0.0,1885.5720000000001,0.0,64.7423858171288,7250.4,0.0,0.0,0.0,0.0,3321.5640000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,0.0,36.62700000000001,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2393.9999999999995,2336.9999999999995,15395.572,0.0,1281.3283992610282,2.0778670790390077,373.2196867968767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.9568928375612,647.8150731197235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40198.195953136936
t3,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3140.7252303951236,0.0,0.0,1885.5720000000001,0.0,64.7423858171288,7250.4,0.0,0.0,0.0,0.0,3321.5640000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,0.0,36.62700000000001,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2393.9999999999995,2336.9999999999995,15872.426000000001,0.0,1218.914121933127,6.233601237117023,350.69780914534107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.8352958479832,704.3710879397591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40159.41553231558
t4,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3525.569761334048,0.0,0.0,1885.5720000000001,0.0,64.7423858171288,7250.4,0.0,0.0,0.0,0.0,3321.5640000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,0.0,36.62700000000001,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2393.9999999999995,2336.9999999999995,15395.572,0.0,1035.3427180275355,20.77867079039008,225.21877651535667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.50928803316461,1063.07333527031,858.6332295453434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39989.91016533328
t5,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3794.9943,0.0,0.0,1885.5720000000001,0.0,64.7423858171288,7250.4,0.0,0.0,0.0,0.0,3321.5640000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,0.0,36.62700000000001,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2393.9999999999995,2336.9999999999995,13794.705,0.0,704.914190997471,56.10241113405319,205.9143099568975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.1266532628291,1055.938433126247,906.1265343034025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38743.034218598026
t6,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4179.599999999999,0.0,0.0,2931.9596209170973,0.0,64.7423858171288,7250.4,0.0,0.0,0.0,0.0,3321.5640000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,0.0,36.62700000000001,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2393.9999999999995,2336.9999999999995,13181.607,0.0,679.2141944506882,137.1392272165745,115.82679935075483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.69547882701175,1006.7704460611253,1028.0828739269452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39656.53602656732
t7,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4179.599999999999,0.0,0.0,3626.1,0.0,64.7423858171288,7250.4,0.0,0.0,0.0,0.0,4878.952539115321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,0.0,36.62700000000001,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2393.9999999999995,2336.9999999999995,11989.472,0.0,715.9284752318066,203.63097374582276,77.21786623383656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.4774964505934,962.7749979365772,1089.1881054485632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40783.418839979655
t8,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4179.599999999999,0.0,0.0,3626.1,0.0,64.7423858171288,7250.4,0.0,0.0,0.0,0.0,5785.739028279255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.87999999999994,0.0,0.0,36.62700000000001,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2393.9999999999995,2336.9999999999995,11716.983999999999,0.0,671.8713382944645,238.9547140894859,164.08796574690268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.49975028553564,934.4163744905142,1009.2831228330977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41438.612679836384
