BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.9979859611470246e8,9.322373861958032e6,-1.1017484977209974e7,0.0,0.0,0.0,0.0,0.0,0.0,-3.9810348499945015e8
t1,38357.98298065344,1557.4374968149662,-2279.85047746841,0.0,-0.0,0.0,0.0,0.0,0.0,-37635.57
t2,38531.42398717965,1666.7719659572847,-2382.625953136944,0.0,-0.0,0.0,0.0,0.0,0.0,-37815.57
t3,38406.209148527836,1753.2063837877422,-2301.845532315585,0.0,-0.0,0.0,0.0,0.0,0.0,-37857.57
t4,38019.69431248446,1970.215852848818,-2007.340165333282,0.0,-0.0,0.0,0.0,0.0,0.0,-37982.57
t5,36373.842597905554,2369.1916206924784,-282.4642185980397,0.0,-0.0,0.0,0.0,0.0,0.0,-38460.57
t6,37156.987227752245,2499.5487988150826,-252.96602656732935,0.0,-0.0,0.0,0.0,0.0,0.0,-39403.57
t7,38280.97824014391,2502.440599835734,-280.8488399796593,0.0,-0.0,0.0,0.0,0.0,0.0,-40502.57
t8,38993.41343222724,2445.1992476091477,-403.0426798363886,0.0,-0.0,0.0,0.0,0.0,0.0,-41035.57
t9,40081.65317464568,1833.370210937048,-358.4533855827377,0.0,-0.0,0.0,0.0,0.0,0.0,-41556.57
t10,42797.78384023139,922.3788031443519,-1339.5926433757531,0.0,-0.0,0.0,0.0,0.0,0.0,-42380.57
t11,44222.21414302321,397.7188685498937,-1747.3630115731064,0.0,-0.0,0.0,0.0,0.0,0.0,-42872.57
t12,47027.92246612853,18.898767242243206,-4126.251233370792,0.0,-0.0,0.0,0.0,0.0,0.0,-42920.57
t13,47629.8679189824,0.0,-5132.297918982413,0.0,-0.0,0.0,0.0,0.0,0.0,-42497.57
