Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,0.0
TX_W,conventional_steam_coal_1,1,1,0.0
TX_W,conventional_steam_coal_2,1,2,0.0
TX_W,conventional_steam_coal_3,1,3,0.0
TX_FW,conventional_steam_coal_4,1,4,0.0
TX_FW,conventional_steam_coal_5,1,5,0.0
TX_FW,conventional_steam_coal_6,1,6,0.0
TX_FW,conventional_steam_coal_7,1,7,0.0
TX_FW,conventional_steam_coal_8,1,8,0.0
TX_FW,conventional_steam_coal_9,1,9,0.0
TX_NC,conventional_steam_coal_10,1,10,0.0
TX_W,conventional_steam_coal_11,1,11,0.0
TX_FW,conventional_steam_coal_12,1,12,0.0
TX,natural_gas_fired_combined_cycle,1,1,0.0
TX,natural_gas_fired_combined_cycle_1,1,2,0.0
TX,natural_gas_fired_combined_cycle_2,1,3,0.0
TX,natural_gas_fired_combined_cycle_3,1,4,0.0
TX,natural_gas_fired_combined_cycle_4,1,5,0.0
TX,natural_gas_fired_combined_cycle_5,1,6,0.0
TX,natural_gas_fired_combined_cycle_6,1,7,0.0
TX,natural_gas_fired_combined_cycle_7,1,8,0.0
TX,natural_gas_fired_combined_cycle_8,1,9,0.0
TX,natural_gas_fired_combined_cycle_9,1,10,0.0
TX,natural_gas_fired_combined_cycle_10,1,11,0.0
TX,natural_gas_fired_combined_cycle_11,1,12,0.0
TX,natural_gas_fired_combined_cycle_12,1,13,0.0
TX,natural_gas_fired_combined_cycle_13,1,14,0.0
TX,natural_gas_fired_combined_cycle_14,1,15,0.0
TX,natural_gas_fired_combustion_turbine,1,16,0.0
TX,natural_gas_fired_combustion_turbine_1,1,17,0.0
TX,natural_gas_fired_combustion_turbine_2,1,18,0.0
TX,natural_gas_fired_combustion_turbine_3,1,19,0.0
TX,natural_gas_fired_combustion_turbine_4,1,20,0.0
TX,natural_gas_fired_combustion_turbine_5,1,21,0.0
TX,natural_gas_fired_combustion_turbine_6,1,22,0.0
TX,natural_gas_fired_combustion_turbine_7,1,23,0.0
TX,natural_gas_fired_combustion_turbine_8,1,24,0.0
TX,natural_gas_fired_combustion_turbine_9,1,25,0.0
TX,natural_gas_fired_combustion_turbine_10,1,26,0.0
TX,natural_gas_fired_combustion_turbine_11,1,27,0.0
TX,natural_gas_fired_combustion_turbine_12,1,28,0.0
TX,natural_gas_fired_combustion_turbine_13,1,29,0.0
TX,natural_gas_fired_combustion_turbine_14,1,30,0.0
TX,natural_gas_fired_combustion_turbine_15,1,31,0.0
TX,natural_gas_steam_turbine,1,32,0.0
TX,natural_gas_steam_turbine_1,1,33,0.0
TX,natural_gas_steam_turbine_2,1,34,0.0
TX,natural_gas_steam_turbine_3,1,35,0.0
TX,natural_gas_steam_turbine_4,1,36,0.0
TX,natural_gas_steam_turbine_5,1,37,0.0
TX,natural_gas_steam_turbine_6,1,38,0.0
TX,natural_gas_steam_turbine_7,1,39,0.0
TX,natural_gas_steam_turbine_8,1,40,0.0
TX,natural_gas_steam_turbine_9,1,41,0.0
TX,natural_gas_steam_turbine_10,1,42,0.0
TX,natural_gas_steam_turbine_11,1,43,0.0
TX,natural_gas_steam_turbine_12,1,44,0.0
TX,natural_gas_steam_turbine_13,1,45,0.0
TX,natural_gas_steam_turbine_14,1,46,0.0
TX,natural_gas_steam_turbine_15,1,47,0.0
TX,natural_gas_steam_turbine_16,1,48,0.0
TX,natural_gas_steam_turbine_17,1,49,0.0
TX,nuclear,1,1,0.0
TX,nuclear_1,1,2,0.0
TX,onshore_wind_turbine,1,1,0.0
TX,onshore_wind_turbine_exp,1,2,0.0
TX_W,onshore_wind_turbine_ppa_1,1,2,0.0
TX_FW,onshore_wind_turbine_ppa_2,1,2,0.0
TX_NC,onshore_wind_turbine_ppa_3,1,2,0.0
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,0.0
TX,solar_photovoltaic_exp,1,2,0.0
TX_W,solar_photovoltaic_ppa_1,1,2,0.0
TX_FW,solar_photovoltaic_ppa_2,1,2,0.0
TX_NC,solar_photovoltaic_ppa_3,1,2,0.0
TX,Battery,1,1,179960.08412519871
TX,Battery_exp,1,2,0.0
TX_W,Battery_ppa_1,1,3,0.0
TX_FW,Battery_ppa_2,1,3,0.0
TX_NC,Battery_ppa_3,1,3,0.0
TX_W,Flexible_demand_1,1,1,0.0
TX_FW,Flexible_demand_2,1,2,0.0
TX_NC,Flexible_demand_3,1,3,0.0
TX_W,Coal_retrofit_1,1,1,113116.9844697506
TX_W,Coal_retrofit_2,1,2,2.306274364213169e6
TX_W,Coal_retrofit_3,1,3,3.598004431391682e6
TX_FW,Coal_retrofit_4,1,4,0.0
TX_FW,Coal_retrofit_5,1,5,0.0
TX_FW,Coal_retrofit_6,1,6,0.0
TX_FW,Coal_retrofit_7,1,7,0.0
TX_FW,Coal_retrofit_8,1,8,5.543650779591793e6
TX_FW,Coal_retrofit_9,1,9,4.9216635691186255e6
TX_NC,Coal_retrofit_10,1,10,429952.1823220874
TX_W,Coal_retrofit_11,1,11,0.0
TX_FW,Coal_retrofit_12,1,12,8.1388059193447605e6
