Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,0.0
TX_W,conventional_steam_coal_1,1,1,0.0
TX_W,conventional_steam_coal_2,1,2,0.0
TX_W,conventional_steam_coal_3,1,3,0.0
TX_FW,conventional_steam_coal_4,1,4,0.0
TX_FW,conventional_steam_coal_5,1,5,0.0
TX_FW,conventional_steam_coal_6,1,6,0.0
TX_FW,conventional_steam_coal_7,1,7,0.0
TX_FW,conventional_steam_coal_8,1,8,0.0
TX_FW,conventional_steam_coal_9,1,9,0.0
TX_NC,conventional_steam_coal_10,1,10,0.0
TX_W,conventional_steam_coal_11,1,11,0.0
TX_FW,conventional_steam_coal_12,1,12,0.0
TX,natural_gas_fired_combined_cycle,1,1,4.144127598006352e7
TX,natural_gas_fired_combined_cycle_1,1,2,1.1803641760487379e8
TX,natural_gas_fired_combined_cycle_2,1,3,3.592155886169801e8
TX,natural_gas_fired_combined_cycle_3,1,4,4.689182077642733e7
TX,natural_gas_fired_combined_cycle_4,1,5,2.794732301687159e7
TX,natural_gas_fired_combined_cycle_5,1,6,2.725272764806971e8
TX,natural_gas_fired_combined_cycle_6,1,7,9.2326572490606e7
TX,natural_gas_fired_combined_cycle_7,1,8,6.309983952545476e7
TX,natural_gas_fired_combined_cycle_8,1,9,6.650647894325155e8
TX,natural_gas_fired_combined_cycle_9,1,10,3.2268080876558848e7
TX,natural_gas_fired_combined_cycle_10,1,11,1.3257215740229253e7
TX,natural_gas_fired_combined_cycle_11,1,12,6.91813005164139e7
TX,natural_gas_fired_combined_cycle_12,1,13,7.192253647001064e7
TX,natural_gas_fired_combined_cycle_13,1,14,5.134774036834494e8
TX,natural_gas_fired_combined_cycle_14,1,15,4.956279789179424e7
TX,natural_gas_fired_combustion_turbine,1,16,2.7644177351666898e7
TX,natural_gas_fired_combustion_turbine_1,1,17,6.3268379278799996e7
TX,natural_gas_fired_combustion_turbine_2,1,18,2.628035017600685e6
TX,natural_gas_fired_combustion_turbine_3,1,19,5.988785205606545e6
TX,natural_gas_fired_combustion_turbine_4,1,20,4.45902658943134e6
TX,natural_gas_fired_combustion_turbine_5,1,21,420955.5167530129
TX,natural_gas_fired_combustion_turbine_6,1,22,1.7211509902725037e7
TX,natural_gas_fired_combustion_turbine_7,1,23,2.8024296825010367e7
TX,natural_gas_fired_combustion_turbine_8,1,24,7.218227507060294e7
TX,natural_gas_fired_combustion_turbine_9,1,25,3.1297830562185768e7
TX,natural_gas_fired_combustion_turbine_10,1,26,1.6621511757850965e7
TX,natural_gas_fired_combustion_turbine_11,1,27,6.889933250464343e6
TX,natural_gas_fired_combustion_turbine_12,1,28,2.6254973413633198e7
TX,natural_gas_fired_combustion_turbine_13,1,29,1.6246516767136278e6
TX,natural_gas_fired_combustion_turbine_14,1,30,1.3881706381367337e7
TX,natural_gas_fired_combustion_turbine_15,1,31,2.78799949135171e6
TX,natural_gas_steam_turbine,1,32,5.416228738819953e7
TX,natural_gas_steam_turbine_1,1,33,0.0
TX,natural_gas_steam_turbine_2,1,34,0.0
TX,natural_gas_steam_turbine_3,1,35,8.48045082022833e7
TX,natural_gas_steam_turbine_4,1,36,7.682706936418726e6
TX,natural_gas_steam_turbine_5,1,37,0.0
TX,natural_gas_steam_turbine_6,1,38,1.671515451128252e8
TX,natural_gas_steam_turbine_7,1,39,6.5643941367549345e7
TX,natural_gas_steam_turbine_8,1,40,2.2186532623281203e7
TX,natural_gas_steam_turbine_9,1,41,3.344592766159929e7
