Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,0.0,0.0,0.0
conventional_steam_coal_1,1,0.0,-5.551115123125783e-14,0.0
conventional_steam_coal_2,1,0.0,0.0,0.0
conventional_steam_coal_3,1,0.0,0.0,0.0
conventional_steam_coal_4,1,0.0,0.0,0.0
conventional_steam_coal_5,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_6,1,0.0,0.0,0.0
conventional_steam_coal_7,1,0.0,0.0,0.0
conventional_steam_coal_8,1,0.0,0.0,0.0
conventional_steam_coal_9,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_10,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_11,1,0.0,0.0,0.0
conventional_steam_coal_12,1,0.0,0.0,0.0
natural_gas_fired_combined_cycle,1,107135.75873846508,780.0,0.015679627493628747
natural_gas_fired_combined_cycle_1,1,417450.34008293774,2121.0,0.022467773885570436
natural_gas_fired_combined_cycle_2,1,3.74481564848517e6,4644.0,0.09205219010156031
natural_gas_fired_combined_cycle_3,1,286175.85950574564,746.0,0.04379152427952879
natural_gas_fired_combined_cycle_4,1,82129.38889302271,704.0,0.013317473032933758
natural_gas_fired_combined_cycle_5,1,2.0430802949167395e6,4029.0,0.05788740237492694
natural_gas_fired_combined_cycle_6,1,242248.5503670768,1740.0,0.015893071325190262
natural_gas_fired_combined_cycle_7,1,375354.5035799294,1031.0,0.041560317772337714
natural_gas_fired_combined_cycle_8,1,9.087379106756777e6,8055.999999999999,0.1287701147157809
natural_gas_fired_combined_cycle_9,1,179371.16384803553,532.0,0.03848902303876942
natural_gas_fired_combined_cycle_10,1,51045.414187787545,237.0,0.02458692859169423
natural_gas_fired_combined_cycle_11,1,310562.2299551617,1188.0,0.029842011242098097
natural_gas_fired_combined_cycle_12,1,820423.2215513549,1026.0,0.09128227962822391
natural_gas_fired_combined_cycle_13,1,3.8878797122940156e6,7481.0,0.059326545243293165
natural_gas_fired_combined_cycle_14,1,263826.47893917054,824.0,0.03654997325375355
natural_gas_fired_combustion_turbine,1,5242.116964285715,741.0,0.0008075778388278497
natural_gas_fired_combustion_turbine_1,1,333008.4415440889,1073.0,0.0354283898198723
natural_gas_fired_combustion_turbine_2,1,240.01256868131878,81.0,0.00033825549450549914
natural_gas_fired_combustion_turbine_3,1,2163.2266483516482,180.0,0.0013719093406593587
natural_gas_fired_combustion_turbine_4,1,4278.274499999996,91.0,0.005366895604395671
natural_gas_fired_combustion_turbine_5,1,36.271875,13.0,0.00031850961538461964
natural_gas_fired_combustion_turbine_6,1,15081.007829670332,354.0,0.004863209706959772
natural_gas_fired_combustion_turbine_7,1,39893.339791441016,557.0,0.008176003990605566
natural_gas_fired_combustion_turbine_8,1,10698.403727130828,1539.0,0.0007935535830307716
natural_gas_fired_combustion_turbine_9,1,4999.0222617325635,846.0,0.0006745444937946812
natural_gas_fired_combustion_turbine_10,1,18574.57214308353,336.0,0.006310669487620874
natural_gas_fired_combustion_turbine_11,1,1196.1571428571428,208.0,0.0006564789377289464
natural_gas_fired_combustion_turbine_12,1,13130.818969803959,547.0,0.0027403143275909554
natural_gas_fired_combustion_turbine_13,1,161.86045329670333,41.0,0.0004506639194139255
natural_gas_fired_combustion_turbine_14,1,17791.9569887737,276.0,0.0073588598491057585
natural_gas_fired_combustion_turbine_15,1,950.2612744752037,84.0,0.00129139660045012
natural_gas_steam_turbine,1,1.1572131464304011e6,825.0,0.1601235846728126
natural_gas_steam_turbine_1,1,0.0,0.0,0.0
natural_gas_steam_turbine_2,1,0.0,0.0,0.0
natural_gas_steam_turbine_3,1,1.1626303819326805e6,1326.0,0.10009077166992913
natural_gas_steam_turbine_4,1,163780.8718829215,167.0,0.11195476983220112
natural_gas_steam_turbine_5,1,0.0,0.0,0.0
natural_gas_steam_turbine_6,1,5.737522880776752e6,2160.0,0.3032260950858716
natural_gas_steam_turbine_7,1,227822.86074114844,1265.0,0.02055903231912497
natural_gas_steam_turbine_8,1,379038.8270452993,344.05539183710937,0.1257625182466018
natural_gas_steam_turbine_9,1,1.317946986505538e6,421.0,0.3573647725315772
natural_gas_steam_turbine_10,1,0.0,0.0,0.0
natural_gas_steam_turbine_11,1,382812.8499640026,392.0,0.11147983935677235
natural_gas_steam_turbine_12,1,0.0,0.0,0.0
natural_gas_steam_turbine_13,1,1.8147543146500255e6,1461.0,0.14179584842511458
natural_gas_steam_turbine_14,1,0.0,0.0,0.0
natural_gas_steam_turbine_15,1,193552.57376654833,169.0,0.1307398974403224
natural_gas_steam_turbine_16,1,92717.62787606839,169.0,0.06262842660024698
natural_gas_steam_turbine_17,1,125928.8822458339,122.0,0.11783150146515044
nuclear,1,2.0971440000000026e7,2520.0,0.9500000000000138
nuclear_1,1,2.0472120000000015e7,2460.0,0.9500000000000133
onshore_wind_turbine,1,9.626108108427191e7,34061.0,0.3226184752747293
onshore_wind_turbine_exp,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_1,1,4.9553288689736435e6,2427.433712824681,0.23303491606715385
onshore_wind_turbine_ppa_2,1,3.4304548971635173e6,2275.13897271116,0.1721233054387097
onshore_wind_turbine_ppa_3,1,1.945711750275739e8,344482.38740089996,0.06447737870653744
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.0051558356318694e7,9147.0,0.2502449633699669
solar_photovoltaic_exp,1,0.0,0.0,0.0
solar_photovoltaic_ppa_1,1,3.562266016842145e6,2972.6635037802785,0.13679697391531456
solar_photovoltaic_ppa_2,1,4.629541575656189e6,3749.6168837701453,0.14094412779257548
