Resource,biomass,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,conventional_steam_coal_5,conventional_steam_coal_6,conventional_steam_coal_7,conventional_steam_coal_8,conventional_steam_coal_9,conventional_steam_coal_10,conventional_steam_coal_11,conventional_steam_coal_12,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,onshore_wind_turbine_exp,onshore_wind_turbine_ppa_1,onshore_wind_turbine_ppa_2,onshore_wind_turbine_ppa_3,small_hydroelectric,solar_photovoltaic,solar_photovoltaic_exp,solar_photovoltaic_ppa_1,solar_photovoltaic_ppa_2,solar_photovoltaic_ppa_3,Battery,Battery_exp,Battery_ppa_1,Battery_ppa_2,Battery_ppa_3,Flexible_demand_1,Flexible_demand_2,Flexible_demand_3,Coal_retrofit_1,Coal_retrofit_2,Coal_retrofit_3,Coal_retrofit_4,Coal_retrofit_5,Coal_retrofit_6,Coal_retrofit_7,Coal_retrofit_8,Coal_retrofit_9,Coal_retrofit_10,Coal_retrofit_11,Coal_retrofit_12,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107135.75873846508,417450.34008293774,3.74481564848517e6,286175.8595057456,82129.38889302273,2.0430802949167402e6,242248.55036707682,375354.5035799294,9.087379106756777e6,179371.1638480356,51045.414187787545,310562.22995516163,820423.221551355,3.8878797122940156e6,263826.47893917054,5242.116964285715,333008.4415440889,240.01256868131878,2163.2266483516482,4278.274499999996,36.271875,15081.007829670332,39893.33979144101,10698.403727130826,4999.0222617325635,18574.57214308353,1196.1571428571428,13130.818969803959,161.86045329670333,17791.9569887737,950.2612744752037,1.1572131464304011e6,0.0,0.0,1.1626303819326807e6,163780.8718829215,0.0,5.737522880776752e6,227822.86074114838,379038.8270452993,1.317946986505538e6,0.0,382812.8499640014,0.0,1.8147543146500257e6,0.0,193552.57376654833,92717.62787606839,125928.8822458339,2.0971440000000026e7,2.0472120000000015e7,9.626108108427191e7,0.0,4.9553288689736435e6,3.430454897163517e6,1.9457117502757388e8,0.0,2.0051558356318694e7,0.0,3.562266016842146e6,4.62954157565618e6,4.665294036086595e6,604102.2620836014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30233.318846311682,699749.3752621699,1.3409957686622534e6,0.0,0.0,0.0,0.0,781316.2353872994,828451.5258562622,288469.11638815096,0.0,1.251029585466539e6,4.145166526714404e8
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.4505040846856,0.0,0.0,0.0,0.0,0.0,2315.165400000001,0.0,0.0,0.0,235.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,20.039999999999996,0.0,308.87999999999994,0.0,55.3929180857746,36.62700000000001,0.0,56.056,0.0,156.327,0.0,0.0,0.0,15.005999999999998,2393.9999999999995,2336.9999999999995,15259.328,0.0,966.1186177042231,93.28069788115758,13627.149071060003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.11048821007696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.9484080331425,39554.485105059066
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.4505040846856,0.0,0.0,0.0,0.0,0.0,2316.965400000001,0.0,0.0,0.0,235.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,20.039999999999996,0.0,308.87999999999994,0.0,55.3929180857746,36.62700000000001,0.0,56.056,0.0,156.327,0.0,0.0,0.0,15.005999999999998,2393.9999999999995,2336.9999999999995,15395.572,0.0,847.1743657758137,2.27513897271116,12933.449798535297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.10839139242133,0.0,155.7520027483652,0.0,0.0,0.0,0.0,0.0,10.759620943889226,0.0,0.0,1008.0,39060.44114053896
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.4505040846856,0.0,0.0,0.0,0.0,0.0,2317.3854000000006,0.0,0.0,0.0,235.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,20.039999999999996,0.0,308.87999999999994,0.0,55.3929180857746,36.62700000000001,0.0,56.056,0.0,156.327,0.0,0.0,0.0,15.005999999999998,2393.9999999999995,2336.9999999999995,15872.426000000001,0.0,805.9079926577942,6.825416918133481,12443.073276636043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.16090442730598,0.0,0.0,0.0,0.0,0.0,511.56162094388935,0.0,0.0,536.6818592230774,39115.40689297671
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.4505040846856,0.0,0.0,0.0,0.0,0.0,2318.6354000000006,0.0,0.0,0.0,235.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,20.039999999999996,0.0,308.87999999999994,0.0,55.3929180857746,36.62700000000001,0.0,56.056,0.0,156.327,0.0,0.0,0.0,15.005999999999998,2393.9999999999995,2336.9999999999995,15395.572,0.0,684.53630701656,22.7513897271116,13336.541344908941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.10839139242133,0.0,381.2073076517186,0.0,0.0,0.0,0.0,0.0,417.3048120072491,0.0,0.0,643.7958043263403,39590.837179200804
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.4505040846856,0.0,0.0,0.0,0.0,0.0,2323.4154000000003,0.0,0.0,0.0,235.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,20.039999999999996,0.0,308.87999999999994,0.0,55.3929180857746,36.62700000000001,0.0,56.056,0.0,156.327,0.0,0.0,0.0,15.005999999999998,2393.9999999999995,2336.9999999999995,13794.705,0.0,466.06727286233877,61.428752263201325,15447.389358541825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.43357139796115,377.5400000000001,0.0,0.0,0.0,0.0,0.0,42.61209199709865,0.0,0.0,1008.0,40161.97586923288
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.4826159240074,0.0,0.0,0.0,0.0,0.0,3474.4517642622304,0.0,0.0,0.0,235.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,20.039999999999996,0.0,308.87999999999994,0.0,55.3929180857746,36.62700000000001,0.0,56.056,0.0,156.327,0.0,0.0,0.0,15.005999999999998,2393.9999999999995,2336.9999999999995,13181.607,0.0,449.075236872566,150.15917219893657,12401.365946432397,0.0,0.0,0.0,0.0,0.0,0.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.55851181200415,566.0,878.0,0.0,0.0,0.0,0.0,182.51250107876325,377.79800000000006,176.18533333333338,0.0,433.44000000000005,39403.57000000002
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1255.3729839742166,0.0,0.0,0.0,0.0,0.0,3843.4553524229086,0.0,0.0,0.0,656.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.65485122047204,0.0,0.0,0.0,62.624999999999986,0.0,1540.0799999999997,0.0,251.50449143292693,276.597,0.0,151.50799999999998,0.0,989.097,0.0,0.0,0.0,45.932999999999986,2393.9999999999995,2336.9999999999995,11989.472,0.0,473.3495740008128,222.96361932569368,8267.5772976216,0.0,0.0,0.0,0.0,0.0,0.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.564389949826353,566.0,878.0,0.0,0.0,0.0,0.0,623.0681067182165,878.6000000000001,526.5073333333335,0.0,1008.0,40502.57000000001
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.6633064814404,0.0,0.0,0.0,0.0,0.0,1915.031714814642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,0.0,20.039999999999996,0.0,308.87999999999994,0.0,55.3929180857746,36.62700000000001,0.0,56.056,0.0,156.327,0.0,0.0,0.0,15.005999999999998,2393.9999999999995,2336.9999999999995,11716.983999999999,0.0,444.22036944691666,261.6409818617834,17568.601757445897,0.0,0.0,0.0,0.0,0.0,0.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.55851181200415,566.0,878.0,0.0,0.0,0.0,0.0,100.49210671821659,377.79800000000006,176.18533333333335,0.0,433.44000000000005,41035.57000000001
