BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.086923054834879e8,5.824347187952586e6,-1.6413781335278148e7,0.0,0.0,0.0,613.6632883668464,0.0,0.0,-3.9810348499945015e8
t1,38633.42620881585,921.0588962432196,-1918.9151050590651,0.0,-0.0,0.0,0.0,0.0,0.0,-37635.57
t2,37867.821125454284,1192.6200150846757,-1244.8711405389604,0.0,-0.0,0.0,0.0,0.0,0.0,-37815.57
t3,37818.00250838244,1297.4043845942726,-1257.8368929767007,0.0,-0.0,0.0,0.0,0.0,0.0,-37857.57
t4,38130.42086382308,1460.4163153777295,-1608.2671792007961,0.0,-0.0,0.0,0.0,0.0,0.0,-37982.57
t5,38465.39020583783,1696.58566339506,-1701.4058692328897,0.0,-0.0,0.0,0.0,0.0,0.0,-38460.57
t6,36054.07565377591,3349.4943462241004,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39403.57
t7,35267.83016999863,5234.7398300013765,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40502.57
t8,37768.09604813645,3267.473951863554,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41035.57
t9,41011.963951583006,1428.2455621168947,-883.6395136999053,0.0,-0.0,0.0,0.0,0.0,0.0,-41556.57
t10,42906.59688998203,851.6574216411885,-1377.6843116232117,0.0,-0.0,0.0,0.0,0.0,0.0,-42380.57
t11,44843.34030047985,204.72240830370075,-2175.4927087835486,0.0,-0.0,0.0,0.0,0.0,0.0,-42872.57
t12,45663.951783446224,0.0,-2743.381783446221,0.0,-0.0,0.0,0.0,0.0,0.0,-42920.57
t13,44251.690960755004,0.0,-1754.1209607549995,0.0,-0.0,0.0,0.0,0.0,0.0,-42497.57
t14,44088.16620727044,0.0,-2100.596207270437,0.0,-0.0,0.0,0.0,0.0,0.0,-41987.57
t15,42053.7153152229,0.0,-456.1453152229042,0.0,-0.0,0.0,0.0,0.0,0.0,-41597.57
t16,42789.15633481121,0.0,-1166.586334811217,0.0,-0.0,0.0,0.0,0.0,0.0,-41622.57
t17,44285.61272996088,227.57185768091128,-2052.614587641786,0.0,-0.0,0.0,0.0,0.0,0.0,-42460.57
t18,44646.06719624115,903.2384257861363,-843.7356220272842,0.0,-0.0,0.0,0.0,0.0,0.0,-44705.57
t19,45612.06163731325,1183.8279729270287,-730.3196102402825,0.0,-0.0,0.0,0.0,0.0,0.0,-46065.57
t20,46116.38034644708,860.2298317544686,-1067.040178201534,0.0,-0.0,0.0,0.0,0.0,0.0,-45909.57
t21,46599.84553006674,561.2598718474819,-1658.5354019142221,0.0,-0.0,0.0,0.0,0.0,0.0,-45502.57
t22,46354.15915572307,172.4428415937811,-1980.0319973168666,0.0,-0.0,0.0,0.0,0.0,0.0,-44546.57
t23,44099.2433764466,15.866491350479562,-1286.539867797081,0.0,-0.0,0.0,0.0,0.0,0.0,-42828.57
t24,41054.03449812545,94.99682937055957,-54.461327496003996,0.0,-0.0,0.0,0.0,0.0,0.0,-41094.57
