Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.6447965312740184e7
TX_W,conventional_steam_coal_1,1,1,4.504191745432807e7
TX_W,conventional_steam_coal_2,1,2,5.348221766634175e7
TX_W,conventional_steam_coal_3,1,3,9.817303247670402e7
TX_FW,conventional_steam_coal_4,1,4,7.340016193697156e7
TX_FW,conventional_steam_coal_5,1,5,8.032548998204052e7
TX_FW,conventional_steam_coal_6,1,6,0.0
TX_FW,conventional_steam_coal_7,1,7,0.0
TX_FW,conventional_steam_coal_8,1,8,1.1290611955906875e8
TX_FW,conventional_steam_coal_9,1,9,1.0858684734750003e8
TX_NC,conventional_steam_coal_10,1,10,0.0
TX_W,conventional_steam_coal_11,1,11,0.0
TX_FW,conventional_steam_coal_12,1,12,1.8277688937120166e8
TX,natural_gas_fired_combined_cycle,1,1,6.905524433768499e7
TX,natural_gas_fired_combined_cycle_1,1,2,2.67376050824452e8
TX,natural_gas_fired_combined_cycle_2,1,3,1.0293689540904638e9
TX,natural_gas_fired_combined_cycle_3,1,4,1.1425707038480483e8
TX,natural_gas_fired_combined_cycle_4,1,5,3.839418743528266e7
TX,natural_gas_fired_combined_cycle_5,1,6,8.364008238542278e8
TX,natural_gas_fired_combined_cycle_6,1,7,1.5085879490533304e8
TX,natural_gas_fired_combined_cycle_7,1,8,1.891060358731611e8
TX,natural_gas_fired_combined_cycle_8,1,9,1.8678197896576753e9
TX,natural_gas_fired_combined_cycle_9,1,10,9.504660045968433e7
TX,natural_gas_fired_combined_cycle_10,1,11,2.4430250018900782e7
TX,natural_gas_fired_combined_cycle_11,1,12,1.492209061352134e8
TX,natural_gas_fired_combined_cycle_12,1,13,1.4859532272673744e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.5242510037674565e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.2644640592765068e8
TX,natural_gas_fired_combustion_turbine,1,16,3.951267551440831e7
TX,natural_gas_fired_combustion_turbine_1,1,17,1.2798563357575428e8
TX,natural_gas_fired_combustion_turbine_2,1,18,3.3049685666370415e6
TX,natural_gas_fired_combustion_turbine_3,1,19,8.918639705493202e6
TX,natural_gas_fired_combustion_turbine_4,1,20,6.184926783429975e6
TX,natural_gas_fired_combustion_turbine_5,1,21,505292.6394938198
TX,natural_gas_fired_combustion_turbine_6,1,22,2.1931458104773395e7
TX,natural_gas_fired_combustion_turbine_7,1,23,5.20749912106275e7
TX,natural_gas_fired_combustion_turbine_8,1,24,1.0511193071044977e8
TX,natural_gas_fired_combustion_turbine_9,1,25,4.2363495004170775e7
TX,natural_gas_fired_combustion_turbine_10,1,26,2.7834818677894123e7
TX,natural_gas_fired_combustion_turbine_11,1,27,9.543467591166226e6
TX,natural_gas_fired_combustion_turbine_12,1,28,3.36785994990306e7
TX,natural_gas_fired_combustion_turbine_13,1,29,2.1809306737468056e6
