Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,509816.3362505893,69.0,0.8434523463877243
conventional_steam_coal_1,1,532638.3223172904,460.0,0.13218143793857887
conventional_steam_coal_2,1,626395.6610479634,543.2744023214474,0.1316210623864453
conventional_steam_coal_3,1,1.420594287591334e6,878.0,0.1847019335652002
conventional_steam_coal_4,1,884317.7202425877,777.0645694444438,0.12991135539147303
conventional_steam_coal_5,1,963484.4164755201,835.8585555555554,0.13158542770509019
conventional_steam_coal_6,1,0.0,0.0,0.0
conventional_steam_coal_7,1,0.0,0.0,0.0
conventional_steam_coal_8,1,1.8878836261726639e6,916.8,0.23506962202417994
conventional_steam_coal_9,1,1.8233440065859554e6,878.6,0.236904499191062
conventional_steam_coal_10,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_11,1,0.0,0.0,0.0
conventional_steam_coal_12,1,4.585476714198307e6,1008.0,0.519301831262952
natural_gas_fired_combined_cycle,1,509390.8784411896,780.0,0.07455082520214207
natural_gas_fired_combined_cycle_1,1,4.328935553408647e6,2121.0,0.23298949800799917
natural_gas_fired_combined_cycle_2,1,3.1094973993889444e7,4644.0,0.7643528349510208
natural_gas_fired_combined_cycle_3,1,2.3465329363885745e6,746.0,0.35907380250049054
natural_gas_fired_combined_cycle_4,1,138542.18866845354,704.0,0.02246494082549414
natural_gas_fired_combined_cycle_5,1,2.3456343867513914e7,4029.0,0.6645978716948874
natural_gas_fired_combined_cycle_6,1,1.0399082191283294e6,1740.0,0.06822470340158658
natural_gas_fired_combined_cycle_7,1,4.699720188208857e6,1031.0,0.5203663805819724
natural_gas_fired_combined_cycle_8,1,5.869087814937679e7,8055.999999999999,0.8316623553699669
natural_gas_fired_combined_cycle_9,1,2.310127177444212e6,532.0,0.4957014062219424
natural_gas_fired_combined_cycle_10,1,280992.40875141165,237.0,0.13534497464087594
natural_gas_fired_combined_cycle_11,1,2.466566471769821e6,1188.0,0.23701305979984907
natural_gas_fired_combined_cycle_12,1,2.842344317410821e6,1026.0,0.3162461300046796
natural_gas_fired_combined_cycle_13,1,4.2792160334412105e7,7481.0,0.6529808594926428
natural_gas_fired_combined_cycle_14,1,2.6137994835949093e6,824.0,0.36211035981000134
natural_gas_fired_combustion_turbine,1,99144.5678196857,741.0,0.015273782778376597
natural_gas_fired_combustion_turbine_1,1,1.9914270818928853e6,1073.0,0.21186566511050736
natural_gas_fired_combustion_turbine_2,1,3217.8510689562727,81.0,0.0045349950236150795
natural_gas_fired_combustion_turbine_3,1,39638.811690433686,180.0,0.025138769463745696
natural_gas_fired_combustion_turbine_4,1,34326.63017508663,91.0,0.04306115481846441
natural_gas_fired_combustion_turbine_5,1,432.627131584016,13.0,0.0037989737582018067
natural_gas_fired_combustion_turbine_6,1,84751.15727909344,354.0,0.027329914247831235
natural_gas_fired_combustion_turbine_7,1,480134.7746535042,557.0,0.09840198524661439
natural_gas_fired_combustion_turbine_8,1,258610.7268290599,1539.0,0.019182438251508224
natural_gas_fired_combustion_turbine_9,1,71309.98437129994,846.0,0.009622233067146617
natural_gas_fired_combustion_turbine_10,1,163674.91264755276,336.0,0.0556081867823015
natural_gas_fired_combustion_turbine_11,1,22910.05533660661,208.0,0.012573572695275132
natural_gas_fired_combustion_turbine_12,1,93682.73909553945,547.0,0.01955096272226689
natural_gas_fired_combustion_turbine_13,1,2618.7416728193507,41.0,0.007291295447208446
natural_gas_fired_combustion_turbine_14,1,210644.19796516828,276.0,0.08712370043559786
natural_gas_fired_combustion_turbine_15,1,9802.008926263834,84.0,0.013320842746064314
natural_gas_steam_turbine,1,1.434821108934236e6,825.0,0.19853619882859486
natural_gas_steam_turbine_1,1,589071.0742931624,521.0,0.12907016588514586
natural_gas_steam_turbine_2,1,4522.867337570965,18.0,0.028683836488908074
natural_gas_steam_turbine_3,1,1.9717646793687858e6,1326.0,0.16974908911417005
natural_gas_steam_turbine_4,1,80960.16423400493,167.0,0.055341484314935886
natural_gas_steam_turbine_5,1,83309.98506848529,171.0,0.05561562729878394
natural_gas_steam_turbine_6,1,7.10641843221761e6,2160.0,0.3755717503920231
natural_gas_steam_turbine_7,1,1.0808613128953672e6,1265.0,0.09753833567016636
natural_gas_steam_turbine_8,1,1.5475150898503158e6,844.0,0.2093092105772599
natural_gas_steam_turbine_9,1,1.3197778788876205e6,421.0,0.3578612237897478
natural_gas_steam_turbine_10,1,196432.43751763384,248.0,0.09041852514989157
natural_gas_steam_turbine_11,1,242529.9037765724,392.0,0.07062770937487642
natural_gas_steam_turbine_12,1,37894.611773358134,61.0,0.07091588399835062
natural_gas_steam_turbine_13,1,3.457856555240162e6,1461.0,0.2701796601470976
natural_gas_steam_turbine_14,1,748789.0857319809,430.0,0.19878652589253235
natural_gas_steam_turbine_15,1,362202.4915531683,169.0,0.24465867684821613
natural_gas_steam_turbine_16,1,113508.62902005334,169.0,0.07667222516282649
natural_gas_steam_turbine_17,1,63995.24300281629,122.0,0.05988027079386289
nuclear,1,2.0971440000000026e7,2520.0,0.9500000000000138
nuclear_1,1,2.0472120000000015e7,2460.0,0.9500000000000133
onshore_wind_turbine,1,9.572362145908684e7,34061.0,0.3208171823446495
onshore_wind_turbine_exp,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_1,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_2,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_3,1,0.0,0.0,0.0
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.003547134030997e7,9147.0,0.25004419619465323
solar_photovoltaic_exp,1,2.4185928226203587e7,11261.746089285685,0.24516186822757546
solar_photovoltaic_ppa_1,1,0.0,0.0,0.0
solar_photovoltaic_ppa_2,1,0.0,0.0,0.0
solar_photovoltaic_ppa_3,1,0.0,0.0,0.0
Battery,1,763448.3992888947,726.0,0.0
Battery_exp,1,0.0,0.0,0.0
Battery_ppa_1,1,0.0,0.0,0.0
Battery_ppa_2,1,0.0,0.0,0.0
Battery_ppa_3,1,0.0,0.0,0.0
Flexible_demand_1,1,0.0,0.0,0.0
Flexible_demand_2,1,0.0,0.0,0.0
Flexible_demand_3,1,0.0,0.0,0.0
Coal_retrofit_1,1,0.0,0.0,0.0
Coal_retrofit_2,1,0.0,0.0,0.0
Coal_retrofit_3,1,0.0,0.0,0.0
Coal_retrofit_4,1,0.0,0.0,0.0
Coal_retrofit_5,1,0.0,0.0,0.0
Coal_retrofit_6,1,0.0,0.0,0.0
Coal_retrofit_7,1,0.0,0.0,0.0
Coal_retrofit_8,1,0.0,0.0,0.0
Coal_retrofit_9,1,0.0,0.0,0.0
Coal_retrofit_10,1,0.0,0.0,0.0
Coal_retrofit_11,1,0.0,0.0,0.0
Coal_retrofit_12,1,0.0,0.0,0.0
