Resource,biomass,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,conventional_steam_coal_5,conventional_steam_coal_6,conventional_steam_coal_7,conventional_steam_coal_8,conventional_steam_coal_9,conventional_steam_coal_10,conventional_steam_coal_11,conventional_steam_coal_12,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,onshore_wind_turbine_exp,onshore_wind_turbine_ppa_1,onshore_wind_turbine_ppa_2,onshore_wind_turbine_ppa_3,small_hydroelectric,solar_photovoltaic,solar_photovoltaic_exp,solar_photovoltaic_ppa_1,solar_photovoltaic_ppa_2,solar_photovoltaic_ppa_3,Battery,Battery_exp,Battery_ppa_1,Battery_ppa_2,Battery_ppa_3,Flexible_demand_1,Flexible_demand_2,Flexible_demand_3,Coal_retrofit_1,Coal_retrofit_2,Coal_retrofit_3,Coal_retrofit_4,Coal_retrofit_5,Coal_retrofit_6,Coal_retrofit_7,Coal_retrofit_8,Coal_retrofit_9,Coal_retrofit_10,Coal_retrofit_11,Coal_retrofit_12,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,509816.3362505893,532638.3223172904,626395.6610479634,1.4205942875913342e6,884317.7202425877,963484.4164755201,0.0,0.0,1.8878836261726639e6,1.8233440065859554e6,0.0,0.0,4.585476714198307e6,509390.8784411896,4.328935553408647e6,3.1094973993889444e7,2.346532936388569e6,138542.18866845322,2.3456343867514025e7,1.0399082191283294e6,4.699720188208857e6,5.869087814937679e7,2.3101271774442126e6,280992.40875141165,2.466566471769821e6,2.8423443174108206e6,4.27921603344121e7,2.6137994835949093e6,99144.5678196857,1.9914270818928853e6,3217.8510689562727,39638.81169043369,34326.630175086626,432.62713158401607,84751.15727909344,480134.77465350373,258610.72682905995,71309.98437129996,163674.91264755276,22910.05533660661,93682.73909553945,2618.741672819351,210644.19796516828,9802.008926263832,1.434821108934236e6,589071.0742931624,4522.867337570965,1.9717646793687858e6,80960.16423400493,83309.98506848529,7.10641843221761e6,1.080861312895367e6,1.5475150898503158e6,1.3197778788876205e6,196432.4375176336,242529.90377657049,37894.61177335847,3.457856555240162e6,748789.085731981,362202.4915531683,113508.62902005335,63995.24300281629,2.0971440000000026e7,2.0472120000000015e7,9.572362145908684e7,0.0,0.0,0.0,0.0,0.0,2.0035471340309966e7,2.4185928226203587e7,0.0,0.0,0.0,763448.3992888953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9900575510343754e8
t1,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.47999999999996,0.0,0.0,2204.9136701055554,343.90600000000006,0.0,1885.5720000000001,0.0,605.1969999999999,6956.649970105555,335.692,0.0,0.0,235.98,3321.5640000000003,197.8351023324532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,52.57725745643643,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,15259.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37635.56999999999
t2,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.47999999999996,0.0,0.0,2227.6916701055543,343.90600000000006,0.0,1885.5720000000001,0.0,605.1969999999999,6977.627970105555,335.692,0.0,0.0,235.98,3321.5640000000003,197.8351023324532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,52.57725745643643,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,15395.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37815.57
t3,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.47999999999996,0.0,0.0,2122.308,343.90600000000006,0.0,1885.5720000000001,0.0,605.1969999999999,6871.8243,335.692,0.0,0.0,235.98,3321.5640000000003,197.8351023324532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,52.57725745643643,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,15872.426000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38081.23665978889
t4,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.47999999999996,0.0,0.0,2382.9866954791846,343.90600000000006,0.0,1885.5720000000001,0.0,605.1969999999999,7131.252995479184,335.692,0.0,0.0,235.98,3321.5640000000003,197.8351023324532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,52.57725745643643,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,15395.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38124.49005074726
t5,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.47999999999996,0.0,0.0,3997.8904701055544,343.90600000000006,0.0,2088.4681701055547,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,197.8351023324532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,52.57725745643643,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,13794.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38460.57
t6,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3347.4604701055573,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3436.9601701055576,197.8351023324532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,52.57725745643643,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,13181.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39403.57000000001
t7,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3626.1,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,5449.455640211115,197.8351023324532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,52.57725745643643,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,11989.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40502.57000000001
t8,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3626.1,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,6254.943640211115,197.8351023324532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,52.57725745643643,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,11716.983999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41035.57000000001
t9,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.6400000000001,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3626.1,0.0,859.7408666144864,7250.4,407.246,0.0,0.0,235.98,6732.900000000001,201.52766894693974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,52.57725745643643,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,10933.581,0.0,0.0,0.0,0.0,0.0,100.617,123.87920698214252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41556.57000000001
t10,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.47999999999996,0.0,0.0,4179.599999999999,343.90600000000006,0.0,3626.1,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3955.0665474968314,197.8351023324532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,52.57725745643643,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,10627.032,0.0,0.0,0.0,0.0,0.0,2122.1040000000003,2612.725092714279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42380.57
t11,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.47999999999996,0.0,0.0,2551.0337,343.90600000000006,0.0,1885.5720000000001,0.0,605.1969999999999,7250.4,335.692,0.0,0.0,235.98,3321.5640000000003,197.8351023324532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,52.57725745643643,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,11478.557,0.0,0.0,0.0,0.0,0.0,3768.564,4639.839388785702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42903.07244857459
t12,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.47999999999996,0.0,0.0,2122.308,343.90600000000006,0.0,1885.5720000000001,0.0,605.1969999999999,6060.990310371827,335.692,0.0,0.0,235.98,3321.5640000000003,197.8351023324532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,245.31,0.0,0.0,308.87999999999994,0.0,135.884,36.62700000000001,0.0,52.57725745643643,0.0,156.327,98.04,30.082,0.0,0.0,2393.9999999999995,2336.9999999999995,12227.899,0.0,0.0,0.0,0.0,0.0,4491.177000000001,5529.517329839272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43646.56999999999
