BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.982423067041484e8,763448.3992888936,-902270.1039869189,0.0,0.0,0.0,0.0,0.0,0.0,-3.9810348499945015e8
t1,37635.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37635.57
t2,37815.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37815.57
t3,38081.23665978889,0.0,-223.66665978889142,0.0,-0.0,0.0,0.0,0.0,0.0,-37857.57
t4,38124.490050747256,0.0,-141.92005074725867,0.0,-0.0,0.0,0.0,0.0,0.0,-37982.57
t5,38460.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38460.57
t6,39403.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39403.57
t7,40502.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40502.57
t8,41035.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41035.57
t9,41556.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41556.57
t10,42380.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42380.57
t11,42903.07244857459,0.0,-30.502448574591366,0.0,-0.0,0.0,0.0,0.0,0.0,-42872.57
t12,43646.569999999985,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42920.57
t13,43223.56999999999,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42497.57
t14,42713.56999999999,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41987.57
t15,41597.63313043478,0.0,-0.0631304347826863,0.0,-0.0,0.0,0.0,0.0,0.0,-41597.57
t16,41622.633130434784,0.0,-0.0631304347826863,0.0,-0.0,0.0,0.0,0.0,0.0,-41622.57
t17,42460.63313043477,0.0,-0.0631304347826863,0.0,-0.0,0.0,0.0,0.0,0.0,-42460.57
t18,44705.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44705.57
t19,45339.57,726.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46065.57
t20,45575.953186144856,333.6168138551381,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45909.57
t21,45355.02718614486,147.54281385513482,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45502.57
t22,44546.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44546.57
t23,42828.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42828.57
t24,41094.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41094.57
t25,39829.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39829.57
t26,39151.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39151.57
t27,39006.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39006.57
t28,39408.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39408.57
t29,40666.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40666.57
t30,43111.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43111.57
t31,45951.56404692857,12.00595307140842,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45963.57
t32,47386.56999999999,726.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48112.57
t33,48528.57,726.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49254.57
t34,50401.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50401.57
t35,51417.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51417.57
t36,51999.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51999.57
t37,52159.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52159.57
t38,52200.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52200.57
t39,52043.41112179204,0.0,-36.84112179204656,0.0,-0.0,0.0,0.0,0.0,0.0,-52006.57
t40,52616.569999999985,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51890.57
t41,52771.603213624985,0.0,-646.0332136249903,0.0,-0.0,0.0,0.0,0.0,0.0,-52125.57
t42,53013.15066895599,466.419331044018,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-53479.57
t43,53321.56999999999,726.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54047.57
t44,53066.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-53066.57
t45,51783.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51783.57
t46,49909.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49909.57
t47,47309.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47309.57
t48,44937.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44937.57
t49,43349.19906768795,0.0,-252.62906768795324,0.0,-0.0,0.0,0.0,0.0,0.0,-43096.57
t50,42783.57,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42057.57
t51,42394.57,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41668.57
t52,42352.56999999999,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41626.57
t53,43345.56999999999,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42619.57
t54,44671.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44671.57
t55,47252.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47252.57
t56,48958.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48958.57
t57,49393.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49393.57
t58,49607.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49607.57
t59,49739.94876367006,0.0,-0.3787636700705708,0.0,-0.0,0.0,0.0,0.0,0.0,-49739.57
t60,49247.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49247.57
t61,48185.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48185.57
t62,46989.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46989.57
t63,45878.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45878.57
t64,45183.88563954808,0.0,-0.3156395480787543,0.0,-0.0,0.0,0.0,0.0,0.0,-45183.57
t65,45429.63313043478,0.0,-0.0631304347826863,0.0,-0.0,0.0,0.0,0.0,0.0,-45429.57
t66,46699.03055650408,493.53944349591336,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47192.57
