Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.646130147801609e7
TX_W,conventional_steam_coal_1,1,1,4.141525087101301e7
TX_W,conventional_steam_coal_2,1,2,5.377687841069989e7
TX_W,conventional_steam_coal_3,1,3,6.153835136127499e7
TX_FW,conventional_steam_coal_4,1,4,7.273511986100312e7
TX_FW,conventional_steam_coal_5,1,5,8.116962125879636e7
TX_FW,conventional_steam_coal_6,1,6,0.0
TX_FW,conventional_steam_coal_7,1,7,0.0
TX_FW,conventional_steam_coal_8,1,8,1.1321779918464938e8
TX_FW,conventional_steam_coal_9,1,9,1.0834094204426196e8
TX_NC,conventional_steam_coal_10,1,10,0.0
TX_W,conventional_steam_coal_11,1,11,0.0
TX_FW,conventional_steam_coal_12,1,12,1.8258107168821317e8
TX,natural_gas_fired_combined_cycle,1,1,6.926047049951164e7
TX,natural_gas_fired_combined_cycle_1,1,2,2.6847797393520206e8
TX,natural_gas_fired_combined_cycle_2,1,3,1.0297477339851426e9
TX,natural_gas_fired_combined_cycle_3,1,4,1.1484221722132003e8
TX,natural_gas_fired_combined_cycle_4,1,5,3.950448317313801e7
TX,natural_gas_fired_combined_cycle_5,1,6,8.40834086517099e8
TX,natural_gas_fired_combined_cycle_6,1,7,1.5144864224513555e8
TX,natural_gas_fired_combined_cycle_7,1,8,1.902054722866686e8
TX,natural_gas_fired_combined_cycle_8,1,9,1.8678922867356467e9
TX,natural_gas_fired_combined_cycle_9,1,10,9.582234560913253e7
TX,natural_gas_fired_combined_cycle_10,1,11,2.4381446864857867e7
TX,natural_gas_fired_combined_cycle_11,1,12,1.5112297302344176e8
TX,natural_gas_fired_combined_cycle_12,1,13,1.472990566917797e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.5231469443064842e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.2646245711663075e8
TX,natural_gas_fired_combustion_turbine,1,16,3.961373336337429e7
TX,natural_gas_fired_combustion_turbine_1,1,17,1.2804944909740677e8
TX,natural_gas_fired_combustion_turbine_2,1,18,3.318928175843794e6
TX,natural_gas_fired_combustion_turbine_3,1,19,8.912229451826371e6
TX,natural_gas_fired_combustion_turbine_4,1,20,6.136826120592198e6
TX,natural_gas_fired_combustion_turbine_5,1,21,507412.8683537692
TX,natural_gas_fired_combustion_turbine_6,1,22,2.1866773268605597e7
TX,natural_gas_fired_combustion_turbine_7,1,23,5.309776960741338e7
TX,natural_gas_fired_combustion_turbine_8,1,24,1.0438206540604596e8
