Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,516684.19773263327,69.0,0.8548147007687118
conventional_steam_coal_1,1,502141.7751107568,431.60941424896015,0.13281017177574758
conventional_steam_coal_2,1,638899.9218257794,548.7168750000001,0.13291696383556834
conventional_steam_coal_3,1,894315.2642354538,548.5857850098389,0.1860981206188062
conventional_steam_coal_4,1,867254.8587636709,751.958555555555,0.13165844776213273
conventional_steam_coal_5,1,975403.3150831142,847.3111030735741,0.1314126653052352
conventional_steam_coal_6,1,0.0,0.0,0.0
conventional_steam_coal_7,1,0.0,0.0,0.0
conventional_steam_coal_8,1,1.898563759755361e6,916.8,0.23639945768229306
conventional_steam_coal_9,1,1.8131955757935594e6,878.6,0.23558592798027364
conventional_steam_coal_10,1,0.0,-1.1102230246251565e-13,0.0
conventional_steam_coal_11,1,0.0,0.0,0.0
conventional_steam_coal_12,1,4.582101951617297e6,1008.0,0.5189196419078148
natural_gas_fired_combined_cycle,1,522756.28343555104,780.0,0.07650689079668042
natural_gas_fired_combined_cycle_1,1,4.381475022144077e6,2121.0,0.23581724730000148
natural_gas_fired_combined_cycle_2,1,3.1116741193558242e7,4644.0,0.7648878995816927
natural_gas_fired_combined_cycle_3,1,2.370089592696003e6,746.0,0.3626785156597798
natural_gas_fired_combined_cycle_4,1,187365.53334966922,704.0,0.03038176067443566
natural_gas_fired_combined_cycle_5,1,2.374540687522534e7,4029.0,0.6727880082650117
natural_gas_fired_combined_cycle_6,1,1.0698253212149914e6,1740.0,0.07018745874763853
natural_gas_fired_combined_cycle_7,1,4.750122987772048e6,1031.0,0.5259471218451864
natural_gas_fired_combined_cycle_8,1,5.867872454028313e7,8055.999999999999,0.8314901361174393
natural_gas_fired_combined_cycle_9,1,2.3456559441148373e6,532.0,0.5033250815641133
natural_gas_fired_combined_cycle_10,1,279840.53767511185,237.0,0.1347901555185228
natural_gas_fired_combined_cycle_11,1,2.5611644306628183e6,1188.0,0.2461030040379876
natural_gas_fired_combined_cycle_12,1,2.793837298397002e6,1026.0,0.31084912129351905
natural_gas_fired_combined_cycle_13,1,4.274449760447706e7,7481.0,0.6522535568718933
natural_gas_fired_combined_cycle_14,1,2.6121569256831915e6,824.0,0.36188280324334277
natural_gas_fired_combustion_turbine,1,110483.74291525711,741.0,0.017020646989946108
natural_gas_fired_combustion_turbine_1,1,1.9921563873253968e6,1073.0,0.21194325508702858
natural_gas_fired_combustion_turbine_2,1,4465.429090934293,81.0,0.006293236781856858
natural_gas_fired_combustion_turbine_3,1,41738.06050550269,180.0,0.026470104328705762
natural_gas_fired_combustion_turbine_4,1,34571.316812303834,91.0,0.04336810278025025
natural_gas_fired_combustion_turbine_5,1,647.2471315840137,13.0,0.005683589142817196
natural_gas_fired_combustion_turbine_6,1,91367.10459318777,354.0,0.029463375059073406
natural_gas_fired_combustion_turbine_7,1,523459.690861528,557.0,0.10728127912527462
natural_gas_fired_combustion_turbine_8,1,259361.16959999982,1539.0,0.01923810230802805
natural_gas_fired_combustion_turbine_9,1,77772.75144502288,846.0,0.010494288384369084
natural_gas_fired_combustion_turbine_10,1,206045.1715431847,336.0,0.0700033878095739
natural_gas_fired_combustion_turbine_11,1,24527.059016622457,208.0,0.013461022027914682
natural_gas_fired_combustion_turbine_12,1,94875.44933362977,547.0,0.019799873392775672
natural_gas_fired_combustion_turbine_13,1,3039.1278944377577,41.0,0.008461766049776696
natural_gas_fired_combustion_turbine_14,1,242731.38458538757,276.0,0.10039515278000744
natural_gas_fired_combustion_turbine_15,1,11146.257692307687,84.0,0.015147664835165029
natural_gas_steam_turbine,1,1.4535883852631238e6,825.0,0.20113302688019138
natural_gas_steam_turbine_1,1,594812.8529458281,521.0,0.13032823533638246
natural_gas_steam_turbine_2,1,4619.0689205469525,18.0,0.029293942925843572
natural_gas_steam_turbine_3,1,1.84593634280651e6,1326.0,0.1589165360515829
natural_gas_steam_turbine_4,1,78478.9494919545,167.0,0.053645414302870655
natural_gas_steam_turbine_5,1,85204.79360509577,171.0,0.05688055328920458
natural_gas_steam_turbine_6,1,7.097112408091153e6,2160.0,0.37507993024328007
natural_gas_steam_turbine_7,1,1.0976137722262715e6,1265.0,0.09905009946633873
natural_gas_steam_turbine_8,1,1.5214443818327934e6,844.0,0.20578301600240395
natural_gas_steam_turbine_9,1,1.3137813650765086e6,421.0,0.3562352533857542
natural_gas_steam_turbine_10,1,200090.07237049562,248.0,0.09210214702574858
natural_gas_steam_turbine_11,1,239730.39273719647,392.0,0.06981245711525011
natural_gas_steam_turbine_12,1,38455.26388736244,61.0,0.07196508699633758
natural_gas_steam_turbine_13,1,3.4605935084618675e6,1461.0,0.2703935120173142
natural_gas_steam_turbine_14,1,751669.3595176217,430.0,0.19955117328173294
natural_gas_steam_turbine_15,1,342126.3978767713,169.0,0.23109778030637906
natural_gas_steam_turbine_16,1,113954.39746888632,169.0,0.07697333054287094
natural_gas_steam_turbine_17,1,64391.915942467655,122.0,0.06025143717949371
nuclear,1,2.0971440000000026e7,2520.0,0.9500000000000138
nuclear_1,1,2.0472120000000015e7,2460.0,0.9500000000000133
onshore_wind_turbine,1,9.585482474425903e7,34061.0,0.32125690942164165
onshore_wind_turbine_exp,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_1,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_2,1,0.0,0.0,0.0
onshore_wind_turbine_ppa_3,1,0.0,0.0,0.0
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.0047180908924036e7,9147.0,0.2501903324957243
solar_photovoltaic_exp,1,2.4305295137385055e7,11261.746089285698,0.2463718368786067
solar_photovoltaic_ppa_1,1,0.0,0.0,0.0
solar_photovoltaic_ppa_2,1,0.0,0.0,0.0
solar_photovoltaic_ppa_3,1,0.0,0.0,0.0
Battery,1,777672.492554593,726.0,0.0
Battery_exp,1,0.0,0.0,0.0
Battery_ppa_1,1,0.0,0.0,0.0
Battery_ppa_2,1,0.0,0.0,0.0
Battery_ppa_3,1,0.0,0.0,0.0
Flexible_demand_1,1,0.0,0.0,0.0
Flexible_demand_2,1,0.0,0.0,0.0
Flexible_demand_3,1,0.0,0.0,0.0
Coal_retrofit_1,1,0.0,0.0,0.0
Coal_retrofit_2,1,0.0,0.0,0.0
Coal_retrofit_3,1,137574.22682897502,329.4142149901611,0.0
Coal_retrofit_4,1,0.0,0.0,0.0
Coal_retrofit_5,1,0.0,0.0,0.0
Coal_retrofit_6,1,0.0,0.0,0.0
Coal_retrofit_7,1,0.0,0.0,0.0
Coal_retrofit_8,1,0.0,0.0,0.0
Coal_retrofit_9,1,0.0,0.0,0.0
Coal_retrofit_10,1,0.0,0.0,0.0
Coal_retrofit_11,1,0.0,0.0,0.0
Coal_retrofit_12,1,0.0,0.0,0.0
